"nodeID_from","nodeID_to","mode","line","year"
1,2,"commuter_rail","Rail Runner Express",2006
2,3,"commuter_rail","Rail Runner Express",2007
3,4,"commuter_rail","Rail Runner Express",2008
4,5,"commuter_rail","Rail Runner Express",2006
5,6,"commuter_rail","Rail Runner Express",2007
6,7,"commuter_rail","Rail Runner Express",2014
7,8,"commuter_rail","Rail Runner Express",2006
8,9,"commuter_rail","Rail Runner Express",2007
9,10,"commuter_rail","Rail Runner Express",2011
10,11,"commuter_rail","Rail Runner Express",2006
11,12,"commuter_rail","Rail Runner Express",2010
12,13,"commuter_rail","Rail Runner Express",2009
13,14,"commuter_rail","Rail Runner Express",2017
14,15,"commuter_rail","Rail Runner Express",2008
