"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","M50",1997
2,3,"heavy_rail","M50",1997
3,4,"heavy_rail","M50",1997
4,5,"heavy_rail","M50",1997
5,6,"heavy_rail","M50",1997
6,8,"heavy_rail","M50",1997
8,9,"heavy_rail","M50",1997
9,10,"heavy_rail","M50",1997
10,11,"heavy_rail","M50",1997
11,14,"heavy_rail","M50",1990
14,53,"heavy_rail","M50",1990
53,55,"heavy_rail","M50",1982
55,25,"heavy_rail","M50",1982
25,48,"heavy_rail","M50",1977
48,50,"heavy_rail","M50",1993
50,49,"heavy_rail","M50",1977
49,52,"heavy_rail","M50",1977
52,51,"heavy_rail","M50",1977
51,72,"heavy_rail","M50",1977
1,11,"heavy_rail","M51",1997
11,14,"heavy_rail","M51",1990
14,33,"heavy_rail","M51",1990
33,36,"heavy_rail","M51",1980
36,39,"heavy_rail","M51",1980
39,23,"heavy_rail","M51",1980
23,27,"heavy_rail","M51",1982
27,29,"heavy_rail","M51",1977
29,31,"heavy_rail","M51",1977
31,10,"heavy_rail","M51",1977
10,9,"heavy_rail","M51",1997
9,8,"heavy_rail","M51",1997
8,6,"heavy_rail","M51",1997
6,2,"heavy_rail","M51",1997
2,72,"heavy_rail","M51",1997
72,74,"heavy_rail","M51",1990
74,75,"heavy_rail","M51",1990
75,76,"heavy_rail","M51",1990
76,77,"heavy_rail","M51",1990
77,78,"heavy_rail","M51",1990
78,79,"heavy_rail","M51",1990
79,80,"heavy_rail","M51",1990
80,81,"heavy_rail","M51",1990
81,82,"heavy_rail","M51",1990
82,83,"heavy_rail","M51",1990
83,84,"heavy_rail","M51",1990
84,85,"heavy_rail","M51",1990
85,86,"heavy_rail","M51",1990
86,87,"heavy_rail","M51",1990
87,88,"heavy_rail","M51",1990
88,89,"heavy_rail","M51",1990
89,90,"heavy_rail","M51",1990
90,91,"heavy_rail","M51",2004
91,92,"heavy_rail","M51",2004
92,4,"heavy_rail","M51",2004
4,5,"heavy_rail","M51",1997
5,3,"heavy_rail","M51",1997
11,16,"heavy_rail","M52",1990
16,17,"heavy_rail","M52",2018
17,18,"heavy_rail","M52",2018
18,19,"heavy_rail","M52",2018
19,20,"heavy_rail","M52",2018
20,21,"heavy_rail","M52",2018
21,22,"heavy_rail","M52",2018
23,25,"heavy_rail","M53",1982
25,27,"heavy_rail","M53",1977
27,29,"heavy_rail","M53",1977
29,31,"heavy_rail","M53",1977
31,33,"heavy_rail","M53",1977
33,36,"heavy_rail","M53",1980
36,39,"heavy_rail","M53",1980
39,42,"heavy_rail","M53",1980
42,43,"heavy_rail","M53",1977
43,44,"heavy_rail","M53",1977
44,45,"heavy_rail","M53",1977
45,46,"heavy_rail","M53",1977
46,47,"heavy_rail","M53",1977
23,25,"heavy_rail","M54",1982
25,27,"heavy_rail","M54",1977
27,29,"heavy_rail","M54",1977
29,31,"heavy_rail","M54",1977
31,33,"heavy_rail","M54",1977
33,36,"heavy_rail","M54",1980
36,39,"heavy_rail","M54",1980
39,48,"heavy_rail","M54",1980
48,49,"heavy_rail","M54",1993
49,50,"heavy_rail","M54",1977
50,51,"heavy_rail","M54",1977
51,52,"heavy_rail","M54",1977
52,53,"heavy_rail","M54",1977
53,55,"heavy_rail","M54",1982
