"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","A",2011
2,3,"light_rail","A",2011
3,4,"light_rail","A",2011
4,5,"light_rail","A",2011
5,6,"light_rail","A",2011
6,7,"light_rail","A",2011
7,8,"light_rail","A",2011
8,9,"light_rail","A",2011
9,10,"light_rail","A",2011
10,11,"light_rail","A",2011
11,12,"light_rail","A",2011
12,25,"light_rail","A",2011
25,26,"light_rail","A",2011
26,27,"light_rail","A",2011
27,28,"light_rail","A",2011
28,29,"light_rail","A",2011
29,30,"light_rail","A",2011
30,31,"light_rail","A",2011
31,32,"light_rail","A",2011
32,33,"light_rail","A",2011
33,34,"light_rail","A",2011
34,35,"light_rail","A",2011
35,36,"light_rail","A",2011
36,37,"light_rail","A",2011
37,38,"light_rail","A",2011
38,39,"light_rail","A",2011
39,40,"light_rail","A",2011
40,41,"light_rail","A",2011
41,42,"light_rail","A",2011
42,43,"light_rail","A",2011
43,44,"light_rail","A",2011
44,45,"light_rail","A",2011
45,46,"light_rail","A",2011
46,47,"light_rail","A",2011
47,48,"light_rail","A",2011
48,59,"light_rail","A",2011
59,60,"light_rail","A",2011
60,61,"light_rail","A",2011
61,62,"light_rail","A",2011
62,63,"light_rail","A",2011
63,64,"light_rail","A",2022
64,65,"light_rail","A",2011
65,66,"light_rail","A",2011
66,67,"light_rail","A",2011
67,68,"light_rail","A",2011
13,15,"light_rail","B",2022
15,17,"light_rail","B",2022
17,19,"light_rail","B",2022
19,20,"light_rail","B",2022
20,21,"light_rail","B",2022
21,22,"light_rail","B",2022
22,23,"light_rail","B",2022
23,24,"light_rail","B",2022
24,49,"light_rail","B",2022
49,50,"light_rail","B",2022
50,53,"light_rail","B",2022
53,55,"light_rail","B",2022
55,57,"light_rail","B",2022
13,15,"light_rail","C",2022
15,17,"light_rail","C",2022
17,50,"light_rail","C",2022
50,49,"light_rail","C",2022
49,53,"light_rail","C",2022
53,55,"light_rail","C",2022
55,57,"light_rail","C",2022
