"nodeID_from","nodeID_to","mode","line","year"
12,13,"light_rail","AnkaRay",1996
13,18,"light_rail","AnkaRay",1996
18,19,"light_rail","AnkaRay",1996
19,20,"light_rail","AnkaRay",1996
20,21,"light_rail","AnkaRay",1996
21,22,"light_rail","AnkaRay",1996
22,23,"light_rail","AnkaRay",1996
23,24,"light_rail","AnkaRay",1996
24,25,"light_rail","AnkaRay",1996
25,54,"light_rail","AnkaRay",1996
54,48,"light_rail","AnkaRay",1997
1,2,"heavy_rail","M1",1997
2,3,"heavy_rail","M1",1997
3,4,"heavy_rail","M1",1997
4,5,"heavy_rail","M1",1997
5,6,"heavy_rail","M1",1997
6,7,"heavy_rail","M1",1997
7,8,"heavy_rail","M1",1997
8,9,"heavy_rail","M1",1997
9,10,"heavy_rail","M1",1997
10,11,"heavy_rail","M1",1997
11,36,"heavy_rail","M1",1997
36,38,"heavy_rail","M1",2014
38,40,"heavy_rail","M1",2014
40,42,"heavy_rail","M1",2014
42,14,"heavy_rail","M1",2014
14,15,"heavy_rail","M1",2014
15,16,"heavy_rail","M1",2014
16,17,"heavy_rail","M1",2014
17,48,"heavy_rail","M1",2014
48,50,"heavy_rail","M1",2014
50,52,"heavy_rail","M1",2014
52,54,"heavy_rail","M1",2014
54,35,"heavy_rail","M1",1997
14,15,"heavy_rail","M2",2014
15,16,"heavy_rail","M2",2014
16,17,"heavy_rail","M2",2014
17,36,"heavy_rail","M2",2014
36,38,"heavy_rail","M2",2014
38,40,"heavy_rail","M2",2014
40,42,"heavy_rail","M2",2014
42,48,"heavy_rail","M2",2014
48,50,"heavy_rail","M2",2014
50,52,"heavy_rail","M2",2014
52,54,"heavy_rail","M2",2014
26,27,"heavy_rail","M4",2017
27,28,"heavy_rail","M4",2017
28,29,"heavy_rail","M4",2017
29,30,"heavy_rail","M4",2017
30,31,"heavy_rail","M4",2017
31,32,"heavy_rail","M4",2017
32,33,"heavy_rail","M4",2017
33,34,"heavy_rail","M4",2017
34,55,"heavy_rail","M4",2017
55,54,"heavy_rail","M4",2018
55,56,"commuter_rail","Başkentray",2018
56,57,"commuter_rail","Başkentray",2018
57,58,"commuter_rail","Başkentray",2018
58,59,"commuter_rail","Başkentray",2018
59,60,"commuter_rail","Başkentray",2018
60,61,"commuter_rail","Başkentray",2018
61,62,"commuter_rail","Başkentray",2018
62,63,"commuter_rail","Başkentray",2018
63,64,"commuter_rail","Başkentray",2018
64,65,"commuter_rail","Başkentray",2018
65,66,"commuter_rail","Başkentray",2018
66,67,"commuter_rail","Başkentray",2018
67,68,"commuter_rail","Başkentray",2018
68,69,"commuter_rail","Başkentray",2018
69,70,"commuter_rail","Başkentray",2018
70,71,"commuter_rail","Başkentray",2018
71,72,"commuter_rail","Başkentray",2018
72,73,"commuter_rail","Başkentray",2018
73,74,"commuter_rail","Başkentray",2018
74,75,"commuter_rail","Başkentray",2018
75,76,"commuter_rail","Başkentray",2018
76,77,"commuter_rail","Başkentray",2018
