"nodeID_from","nodeID_to","mode","line","year"
30,42,"tram","T1A Fatih - Havalimanı ✈️",2009
42,44,"tram","T1A Fatih - Havalimanı ✈️",2009
44,46,"tram","T1A Fatih - Havalimanı ✈️",2009
46,48,"tram","T1A Fatih - Havalimanı ✈️",2009
48,50,"tram","T1A Fatih - Havalimanı ✈️",2009
50,52,"tram","T1A Fatih - Havalimanı ✈️",2009
52,54,"tram","T1A Fatih - Havalimanı ✈️",2009
54,56,"tram","T1A Fatih - Havalimanı ✈️",2009
56,58,"tram","T1A Fatih - Havalimanı ✈️",2009
58,60,"tram","T1A Fatih - Havalimanı ✈️",2009
60,62,"tram","T1A Fatih - Havalimanı ✈️",2009
62,64,"tram","T1A Fatih - Havalimanı ✈️",2009
64,70,"tram","T1A Fatih - Havalimanı ✈️",2009
70,72,"tram","T1A Fatih - Havalimanı ✈️",2009
72,74,"tram","T1A Fatih - Havalimanı ✈️",2009
74,76,"tram","T1A Fatih - Havalimanı ✈️",2009
76,78,"tram","T1A Fatih - Havalimanı ✈️",2009
78,80,"tram","T1A Fatih - Havalimanı ✈️",2009
42,44,"tram","T1B Fatih - EXPO",2009
44,46,"tram","T1B Fatih - EXPO",2009
46,48,"tram","T1B Fatih - EXPO",2009
48,50,"tram","T1B Fatih - EXPO",2009
50,52,"tram","T1B Fatih - EXPO",2009
52,54,"tram","T1B Fatih - EXPO",2009
54,56,"tram","T1B Fatih - EXPO",2009
56,58,"tram","T1B Fatih - EXPO",2009
58,60,"tram","T1B Fatih - EXPO",2009
60,62,"tram","T1B Fatih - EXPO",2009
62,64,"tram","T1B Fatih - EXPO",2009
64,66,"tram","T1B Fatih - EXPO",2009
66,67,"tram","T1B Fatih - EXPO",2009
67,68,"tram","T1B Fatih - EXPO",2009
68,69,"tram","T1B Fatih - EXPO",2009
69,70,"tram","T1B Fatih - EXPO",2009
70,72,"tram","T1B Fatih - EXPO",2009
72,74,"tram","T1B Fatih - EXPO",2009
74,76,"tram","T1B Fatih - EXPO",2009
76,78,"tram","T1B Fatih - EXPO",2009
78,80,"tram","T1B Fatih - EXPO",2009
31,32,"tram","T2 Müze - Zerdalilik",1999
32,33,"tram","T2 Müze - Zerdalilik",1999
33,34,"tram","T2 Müze - Zerdalilik",1999
34,35,"tram","T2 Müze - Zerdalilik",1999
35,36,"tram","T2 Müze - Zerdalilik",1999
36,37,"tram","T2 Müze - Zerdalilik",1999
37,38,"tram","T2 Müze - Zerdalilik",1999
38,39,"tram","T2 Müze - Zerdalilik",1999
39,40,"tram","T2 Müze - Zerdalilik",1999
40,41,"tram","T2 Müze - Zerdalilik",1999
1,2,"tram","T3 Varsak - Müze",2021
2,3,"tram","T3 Varsak - Müze",2021
3,4,"tram","T3 Varsak - Müze",2021
4,5,"tram","T3 Varsak - Müze",2021
5,6,"tram","T3 Varsak - Müze",2021
6,7,"tram","T3 Varsak - Müze",2021
7,8,"tram","T3 Varsak - Müze",2021
8,9,"tram","T3 Varsak - Müze",2021
9,10,"tram","T3 Varsak - Müze",2021
10,11,"tram","T3 Varsak - Müze",2021
11,12,"tram","T3 Varsak - Müze",2021
12,13,"tram","T3 Varsak - Müze",2021
13,14,"tram","T3 Varsak - Müze",2021
14,15,"tram","T3 Varsak - Müze",2021
15,16,"tram","T3 Varsak - Müze",2021
16,17,"tram","T3 Varsak - Müze",2021
17,18,"tram","T3 Varsak - Müze",2021
18,19,"tram","T3 Varsak - Müze",2021
19,20,"tram","T3 Varsak - Müze",2021
20,21,"tram","T3 Varsak - Müze",2021
21,22,"tram","T3 Varsak - Müze",2021
22,23,"tram","T3 Varsak - Müze",2021
23,24,"tram","T3 Varsak - Müze",2021
24,25,"tram","T3 Varsak - Müze",2021
25,26,"tram","T3 Varsak - Müze",2021
26,27,"tram","T3 Varsak - Müze",2021
27,28,"tram","T3 Varsak - Müze",2021
28,29,"tram","T3 Varsak - Müze",2021
