"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Blue Line",1979
2,3,"heavy_rail","Blue Line",1979
3,4,"heavy_rail","Blue Line",1979
4,5,"heavy_rail","Blue Line",1979
5,6,"heavy_rail","Blue Line",1979
6,7,"heavy_rail","Blue Line",1979
7,8,"heavy_rail","Blue Line",1979
8,9,"heavy_rail","Blue Line",1979
9,10,"heavy_rail","Blue Line",1979
10,11,"heavy_rail","Blue Line",1979
11,12,"heavy_rail","Blue Line",1979
12,13,"heavy_rail","Blue Line",1979
13,23,"heavy_rail","Blue Line",1979
23,24,"heavy_rail","Blue Line",1993
11,10,"heavy_rail","Green Line",1979
10,8,"heavy_rail","Green Line",1979
8,9,"heavy_rail","Green Line",1979
9,7,"heavy_rail","Green Line",1979
7,6,"heavy_rail","Green Line",1979
6,5,"heavy_rail","Green Line",1979
5,4,"heavy_rail","Green Line",1979
4,22,"heavy_rail","Green Line",1979
25,8,"heavy_rail","Gold Line",1981
8,29,"heavy_rail","Gold Line",1979
29,31,"heavy_rail","Gold Line",1982
31,33,"heavy_rail","Gold Line",1981
33,35,"heavy_rail","Gold Line",1981
35,37,"heavy_rail","Gold Line",1982
37,39,"heavy_rail","Gold Line",1982
39,41,"heavy_rail","Gold Line",1982
41,43,"heavy_rail","Gold Line",1984
43,45,"heavy_rail","Gold Line",1984
45,47,"heavy_rail","Gold Line",1984
47,49,"heavy_rail","Gold Line",1986
25,8,"heavy_rail","Red Line",1981
8,29,"heavy_rail","Red Line",1979
29,31,"heavy_rail","Red Line",1982
31,33,"heavy_rail","Red Line",1981
33,35,"heavy_rail","Red Line",1981
35,37,"heavy_rail","Red Line",1982
37,39,"heavy_rail","Red Line",1982
39,41,"heavy_rail","Red Line",1982
41,43,"heavy_rail","Red Line",1984
43,45,"heavy_rail","Red Line",1984
45,47,"heavy_rail","Red Line",1984
47,49,"heavy_rail","Red Line",1986
