"nodeID_from","nodeID_to","mode","line","year"
1,9,"heavy_rail","Purple Line",2023
9,10,"heavy_rail","Purple Line",2015
10,11,"heavy_rail","Purple Line",2011
11,13,"heavy_rail","Purple Line",2016
13,14,"heavy_rail","Purple Line",2021
14,15,"heavy_rail","Purple Line",2023
15,16,"heavy_rail","Purple Line",2021
16,24,"heavy_rail","Purple Line",2023
24,25,"heavy_rail","Purple Line",2011
25,26,"heavy_rail","Purple Line",2011
26,27,"heavy_rail","Purple Line",2011
27,28,"heavy_rail","Purple Line",2011
28,29,"heavy_rail","Purple Line",2011
29,30,"heavy_rail","Purple Line",2016
30,31,"heavy_rail","Purple Line",2016
31,32,"heavy_rail","Purple Line",2016
32,33,"heavy_rail","Purple Line",2016
33,34,"heavy_rail","Purple Line",2015
34,35,"heavy_rail","Purple Line",2015
35,36,"heavy_rail","Purple Line",2015
36,37,"heavy_rail","Purple Line",2015
37,38,"heavy_rail","Purple Line",2015
38,39,"heavy_rail","Purple Line",2021
39,40,"heavy_rail","Purple Line",2021
40,41,"heavy_rail","Purple Line",2021
6,11,"heavy_rail","Green Line",2017
11,17,"heavy_rail","Green Line",2016
17,18,"heavy_rail","Green Line",2015
18,19,"heavy_rail","Green Line",2017
19,20,"heavy_rail","Green Line",2023
20,42,"heavy_rail","Green Line",2021
42,43,"heavy_rail","Green Line",2015
43,44,"heavy_rail","Green Line",2015
44,45,"heavy_rail","Green Line",2015
45,46,"heavy_rail","Green Line",2014
46,47,"heavy_rail","Green Line",2014
47,48,"heavy_rail","Green Line",2014
48,49,"heavy_rail","Green Line",2014
49,50,"heavy_rail","Green Line",2014
50,51,"heavy_rail","Green Line",2014
51,52,"heavy_rail","Green Line",2014
52,53,"heavy_rail","Green Line",2014
53,54,"heavy_rail","Green Line",2014
54,55,"heavy_rail","Green Line",2021
55,56,"heavy_rail","Green Line",2021
56,57,"heavy_rail","Green Line",2021
57,58,"heavy_rail","Green Line",2021
58,59,"heavy_rail","Green Line",2017
59,60,"heavy_rail","Green Line",2017
60,61,"heavy_rail","Green Line",2017
61,62,"heavy_rail","Green Line",2017
62,63,"heavy_rail","Green Line",2017
63,64,"heavy_rail","Green Line",2017
64,65,"heavy_rail","Green Line",2017
5,6,"heavy_rail","Yellow Line",2023
6,8,"heavy_rail","Yellow Line",2017
21,22,"heavy_rail","Pink Line",2024
22,23,"heavy_rail","Pink Line",2024
1,3,"heavy_rail","Blue Line",2023
3,4,"heavy_rail","Blue Line",2025
66,67,"commuter_rail","Kanaka Line",2026
67,68,"commuter_rail","Kanaka Line",2026
