"nodeID_from","nodeID_to","mode","line","year"
11,12,"heavy_rail","L1",1989
12,13,"heavy_rail","L1",1989
13,14,"heavy_rail","L1",1987
14,15,"heavy_rail","L1",1987
15,16,"heavy_rail","L1",1983
16,17,"heavy_rail","L1",1987
17,18,"heavy_rail","L1",1983
18,19,"heavy_rail","L1",1983
19,21,"heavy_rail","L1",1926
21,22,"heavy_rail","L1",1926
22,23,"heavy_rail","L1",1926
23,24,"heavy_rail","L1",1926
24,25,"heavy_rail","L1",1926
25,6,"heavy_rail","L1",1926
6,28,"heavy_rail","L1",1926
28,29,"heavy_rail","L1",1932
29,31,"heavy_rail","L1",1932
31,32,"heavy_rail","L1",1933
32,33,"heavy_rail","L1",1951
33,34,"heavy_rail","L1",1951
34,36,"heavy_rail","L1",1953
36,37,"heavy_rail","L1",1968
37,39,"heavy_rail","L1",1968
39,41,"heavy_rail","L1",1983
41,42,"heavy_rail","L1",1983
42,43,"heavy_rail","L1",1983
43,44,"heavy_rail","L1",1992
44,185,"heavy_rail","L1",1954
185,232,"heavy_rail","L1",1926
232,233,"heavy_rail","L1",2030
233,234,"heavy_rail","L1",2030
234,81,"heavy_rail","L1",2030
81,280,"heavy_rail","L1",2010
280,106,"heavy_rail","L1",1848
106,198,"heavy_rail","L1",0
1,2,"heavy_rail","L2",1997
2,3,"heavy_rail","L2",1997
3,4,"heavy_rail","L2",1997
4,5,"heavy_rail","L2",1995
5,6,"heavy_rail","L2",1995
6,7,"heavy_rail","L2",1926
7,8,"heavy_rail","L2",1997
8,9,"heavy_rail","L2",1997
9,10,"heavy_rail","L2",1995
10,72,"heavy_rail","L2",1995
72,80,"heavy_rail","L2",1995
80,81,"heavy_rail","L2",2002
81,82,"heavy_rail","L2",2010
82,83,"heavy_rail","L2",2002
83,84,"heavy_rail","L2",2002
84,85,"heavy_rail","L2",2002
85,98,"heavy_rail","L2",2002
98,99,"heavy_rail","L2",NA
99,101,"heavy_rail","L2",NA
101,73,"heavy_rail","L2",0
73,103,"heavy_rail","L2",1970
103,100,"heavy_rail","L2",0
20,27,"heavy_rail","L3",1975
27,30,"heavy_rail","L3",1968
30,35,"heavy_rail","L3",1925
35,38,"heavy_rail","L3",1924
38,40,"heavy_rail","L3",1924
40,45,"heavy_rail","L3",1924
45,46,"heavy_rail","L3",1924
46,47,"heavy_rail","L3",1975
47,48,"heavy_rail","L3",1975
48,49,"heavy_rail","L3",1975
49,50,"heavy_rail","L3",1975
50,51,"heavy_rail","L3",1924
51,52,"heavy_rail","L3",1975
52,53,"heavy_rail","L3",1975
53,54,"heavy_rail","L3",1975
54,56,"heavy_rail","L3",1985
56,57,"heavy_rail","L3",1985
57,67,"heavy_rail","L3",1985
67,73,"heavy_rail","L3",1985
73,74,"heavy_rail","L3",1970
74,75,"heavy_rail","L3",0
75,76,"heavy_rail","L3",0
76,77,"heavy_rail","L3",0
77,112,"heavy_rail","L3",0
112,113,"heavy_rail","L3",0
113,115,"heavy_rail","L3",NA
115,116,"heavy_rail","L3",NA
116,117,"heavy_rail","L3",NA
117,118,"heavy_rail","L3",NA
118,119,"heavy_rail","L3",NA
119,120,"heavy_rail","L3",NA
120,121,"heavy_rail","L3",NA
121,39,"heavy_rail","L3",NA
39,185,"heavy_rail","L3",1983
68,69,"heavy_rail","L4",1926
69,78,"heavy_rail","L4",1926
78,79,"heavy_rail","L4",1982
79,123,"heavy_rail","L4",1982
123,124,"heavy_rail","L4",1982
124,125,"heavy_rail","L4",1982
125,133,"heavy_rail","L4",1982
133,134,"heavy_rail","L4",1977
134,135,"heavy_rail","L4",1977
135,136,"heavy_rail","L4",1977
136,137,"heavy_rail","L4",1982
137,138,"heavy_rail","L4",1977
138,145,"heavy_rail","L4",1977
145,146,"heavy_rail","L4",1976
146,147,"heavy_rail","L4",1982
147,148,"heavy_rail","L4",1982
148,149,"heavy_rail","L4",1982
149,150,"heavy_rail","L4",1982
150,152,"heavy_rail","L4",1982
152,153,"heavy_rail","L4",1982
153,155,"heavy_rail","L4",1926
155,206,"heavy_rail","L4",2027
206,75,"heavy_rail","L4",2027
75,198,"heavy_rail","L4",0
55,58,"heavy_rail","L5",1969
58,59,"heavy_rail","L5",1969
59,60,"heavy_rail","L5",1970
60,61,"heavy_rail","L5",1969
61,62,"heavy_rail","L5",1970
62,63,"heavy_rail","L5",1969
63,64,"heavy_rail","L5",1970
64,65,"heavy_rail","L5",1970
65,66,"heavy_rail","L5",1969
66,88,"heavy_rail","L5",1969
88,89,"heavy_rail","L5",2010
89,90,"heavy_rail","L5",2010
90,91,"heavy_rail","L5",2021
91,92,"heavy_rail","L5",1973
92,93,"heavy_rail","L5",1976
93,94,"heavy_rail","L5",1976
94,95,"heavy_rail","L5",1976
95,96,"heavy_rail","L5",1983
96,67,"heavy_rail","L5",1983
67,127,"heavy_rail","L5",1985
127,129,"heavy_rail","L5",1967
129,131,"heavy_rail","L5",1959
131,139,"heavy_rail","L5",1959
139,141,"heavy_rail","L5",1959
141,209,"heavy_rail","L5",1959
209,198,"heavy_rail","L5",1969
113,35,"heavy_rail","L6",NA
35,158,"heavy_rail","L6",1924
158,160,"heavy_rail","L6",1929
160,161,"heavy_rail","L6",1863
161,162,"heavy_rail","L6",1908
162,163,"heavy_rail","L6",1887
163,164,"heavy_rail","L6",1906
164,165,"heavy_rail","L6",1863
165,166,"heavy_rail","L6",1973
166,167,"heavy_rail","L6",NA
167,168,"heavy_rail","L6",NA
35,158,"heavy_rail","L7",1924
158,168,"heavy_rail","L7",1929
168,170,"heavy_rail","L7",1882
170,171,"heavy_rail","L7",1953
171,172,"heavy_rail","L7",1953
173,174,"heavy_rail","L8",2000
174,175,"heavy_rail","L8",1912
175,176,"heavy_rail","L8",1985
176,177,"heavy_rail","L8",NA
177,16,"heavy_rail","L8",1985
16,179,"heavy_rail","L8",1987
179,180,"heavy_rail","L8",1985
180,181,"heavy_rail","L8",1987
181,183,"heavy_rail","L8",2007
183,184,"heavy_rail","L8",1987
184,185,"heavy_rail","L8",1997
185,188,"heavy_rail","L8",1926
188,32,"heavy_rail","L8",2028
32,61,"heavy_rail","L8",1951
61,425,"heavy_rail","L8",1970
425,125,"heavy_rail","L8",NA
86,87,"heavy_rail","L9",2009
87,101,"heavy_rail","L9",2009
101,103,"heavy_rail","L9",0
103,104,"heavy_rail","L9",0
104,105,"heavy_rail","L9",0
105,106,"heavy_rail","L9",0
106,107,"heavy_rail","L9",0
107,108,"heavy_rail","L9",0
108,109,"heavy_rail","L9",0
109,110,"heavy_rail","L9",0
110,111,"heavy_rail","L9",1975
111,181,"heavy_rail","L9",0
181,171,"heavy_rail","L9",2007
171,193,"heavy_rail","L9",1953
193,43,"heavy_rail","L9",2009
43,195,"heavy_rail","L9",1992
195,196,"heavy_rail","L9",2011
196,197,"heavy_rail","L9",2009
197,198,"heavy_rail","L9",2010
198,199,"heavy_rail","L9",2020
199,200,"heavy_rail","L9",NA
200,201,"heavy_rail","L9",2027
201,202,"heavy_rail","L9",NA
202,46,"heavy_rail","L9",2027
46,205,"heavy_rail","L9",1975
205,206,"heavy_rail","L9",2027
206,150,"heavy_rail","L9",2027
150,209,"heavy_rail","L9",1982
209,15,"heavy_rail","L9",1969
15,217,"heavy_rail","L9",1983
217,220,"heavy_rail","L9",2010
220,219,"heavy_rail","L9",2027
219,221,"heavy_rail","L9",2027
221,50,"heavy_rail","L9",2027
50,222,"heavy_rail","L9",1924
