"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",1971
2,3,"heavy_rail","Line 1",1971
3,4,"heavy_rail","Line 1",1971
4,5,"heavy_rail","Line 1",1971
5,6,"heavy_rail","Line 1",2023
6,7,"heavy_rail","Line 1",1971
7,9,"heavy_rail","Line 1",1971
9,12,"heavy_rail","Line 1",1971
12,13,"heavy_rail","Line 1",1971
13,14,"heavy_rail","Line 1",1971
14,272,"heavy_rail","Line 1",1971
272,273,"heavy_rail","Line 1",1987
273,274,"heavy_rail","Line 1",1992
274,275,"heavy_rail","Line 1",1999
275,276,"heavy_rail","Line 1",1999
276,277,"heavy_rail","Line 1",1999
277,278,"heavy_rail","Line 1",1999
278,279,"heavy_rail","Line 1",1999
279,282,"heavy_rail","Line 1",1999
282,283,"heavy_rail","Line 1",1999
283,284,"heavy_rail","Line 1",1999
284,285,"heavy_rail","Line 1",1999
285,420,"heavy_rail","Line 1",1999
420,421,"heavy_rail","Line 1",1971
421,422,"heavy_rail","Line 1",1971
422,423,"heavy_rail","Line 1",1971
423,424,"heavy_rail","Line 1",1971
424,460,"heavy_rail","Line 1",1971
42,89,"heavy_rail","Line 2",1984
89,286,"heavy_rail","Line 2",1984
286,287,"heavy_rail","Line 2",1984
287,288,"heavy_rail","Line 2",1984
288,290,"heavy_rail","Line 2",1984
290,292,"heavy_rail","Line 2",1984
292,293,"heavy_rail","Line 2",1984
293,294,"heavy_rail","Line 2",1984
294,297,"heavy_rail","Line 2",1984
297,298,"heavy_rail","Line 2",1984
298,299,"heavy_rail","Line 2",1984
299,300,"heavy_rail","Line 2",1984
300,301,"heavy_rail","Line 2",1987
301,302,"heavy_rail","Line 2",1987
302,303,"heavy_rail","Line 2",1987
303,304,"heavy_rail","Line 2",1987
304,305,"heavy_rail","Line 2",1987
29,30,"heavy_rail","Line 4",2009
30,32,"heavy_rail","Line 4",2009
32,34,"heavy_rail","Line 4",2009
34,36,"heavy_rail","Line 4",2009
36,37,"heavy_rail","Line 4",2009
37,38,"heavy_rail","Line 4",2009
38,40,"heavy_rail","Line 4",2009
40,41,"heavy_rail","Line 4",2009
41,43,"heavy_rail","Line 4",2009
43,45,"heavy_rail","Line 4",2009
45,46,"heavy_rail","Line 4",2009
46,70,"heavy_rail","Line 4",2009
70,72,"heavy_rail","Line 4",2009
72,73,"heavy_rail","Line 4",2009
73,75,"heavy_rail","Line 4",2009
75,76,"heavy_rail","Line 4",2009
76,78,"heavy_rail","Line 4",2009
78,79,"heavy_rail","Line 4",2009
79,80,"heavy_rail","Line 4",2009
80,85,"heavy_rail","Line 4",2009
85,114,"heavy_rail","Line 4",2009
114,306,"heavy_rail","Line 4",2009
306,428,"heavy_rail","Line 4",2009
35,39,"heavy_rail","Line 5",2007
39,44,"heavy_rail","Line 5",2007
44,47,"heavy_rail","Line 5",2007
47,50,"heavy_rail","Line 5",2007
50,55,"heavy_rail","Line 5",2007
55,56,"heavy_rail","Line 5",2007
56,57,"heavy_rail","Line 5",2007
57,59,"heavy_rail","Line 5",2007
59,60,"heavy_rail","Line 5",2007
60,61,"heavy_rail","Line 5",2007
61,71,"heavy_rail","Line 5",2007
71,74,"heavy_rail","Line 5",2007
74,77,"heavy_rail","Line 5",2007
77,81,"heavy_rail","Line 5",2007
81,82,"heavy_rail","Line 5",2007
82,90,"heavy_rail","Line 5",2007
90,91,"heavy_rail","Line 5",2007
91,92,"heavy_rail","Line 5",2007
92,94,"heavy_rail","Line 5",2007
94,95,"heavy_rail","Line 5",2007
95,96,"heavy_rail","Line 5",2007
96,98,"heavy_rail","Line 5",2007
33,53,"heavy_rail","Line 6",2012
53,58,"heavy_rail","Line 6",2012
58,62,"heavy_rail","Line 6",2022
62,63,"heavy_rail","Line 6",2012
63,64,"heavy_rail","Line 6",2012
64,93,"heavy_rail","Line 6",2012
93,97,"heavy_rail","Line 6",2012
97,99,"heavy_rail","Line 6",2012
99,100,"heavy_rail","Line 6",2012
100,101,"heavy_rail","Line 6",2012
101,102,"heavy_rail","Line 6",2012
102,115,"heavy_rail","Line 6",2012
115,116,"heavy_rail","Line 6",2012
116,118,"heavy_rail","Line 6",2012
118,119,"heavy_rail","Line 6",2012
119,120,"heavy_rail","Line 6",2012
120,141,"heavy_rail","Line 6",2012
141,142,"heavy_rail","Line 6",2012
142,144,"heavy_rail","Line 6",2012
144,145,"heavy_rail","Line 6",2012
145,222,"heavy_rail","Line 6",2012
222,232,"heavy_rail","Line 6",2018
232,244,"heavy_rail","Line 6",2014
244,246,"heavy_rail","Line 6",2014
246,247,"heavy_rail","Line 6",2014
247,248,"heavy_rail","Line 6",2014
248,249,"heavy_rail","Line 6",2014
249,250,"heavy_rail","Line 6",2024
250,271,"heavy_rail","Line 6",2014
271,309,"heavy_rail","Line 6",2018
309,311,"heavy_rail","Line 6",2018
311,312,"heavy_rail","Line 6",2018
312,313,"heavy_rail","Line 6",2018
313,314,"heavy_rail","Line 6",2018
10,16,"heavy_rail","Line 7",2014
16,18,"heavy_rail","Line 7",2014
18,19,"heavy_rail","Line 7",2019
19,20,"heavy_rail","Line 7",2014
20,21,"heavy_rail","Line 7",2014
21,22,"heavy_rail","Line 7",2014
22,23,"heavy_rail","Line 7",2014
23,24,"heavy_rail","Line 7",2014
24,25,"heavy_rail","Line 7",2014
25,26,"heavy_rail","Line 7",2014
26,27,"heavy_rail","Line 7",2014
27,28,"heavy_rail","Line 7",2014
28,69,"heavy_rail","Line 7",2014
69,107,"heavy_rail","Line 7",2014
107,108,"heavy_rail","Line 7",2018
108,109,"heavy_rail","Line 7",2014
109,110,"heavy_rail","Line 7",2014
110,111,"heavy_rail","Line 7",2014
111,112,"heavy_rail","Line 7",2014
112,113,"heavy_rail","Line 7",2014
113,316,"heavy_rail","Line 7",2014
316,317,"heavy_rail","Line 7",2019
317,318,"heavy_rail","Line 7",2019
318,319,"heavy_rail","Line 7",2019
319,320,"heavy_rail","Line 7",2019
320,321,"heavy_rail","Line 7",2019
321,322,"heavy_rail","Line 7",2019
322,323,"heavy_rail","Line 7",2019
323,324,"heavy_rail","Line 7",2021
291,310,"heavy_rail","Line 8",2012
310,315,"heavy_rail","Line 8",2013
315,325,"heavy_rail","Line 8",2018
325,326,"heavy_rail","Line 8",2013
326,327,"heavy_rail","Line 8",2013
327,328,"heavy_rail","Line 8",2013
328,329,"heavy_rail","Line 8",2011
329,331,"heavy_rail","Line 8",2011
331,332,"heavy_rail","Line 8",2011
332,333,"heavy_rail","Line 8",2011
333,334,"heavy_rail","Line 8",2011
334,335,"heavy_rail","Line 8",2011
335,336,"heavy_rail","Line 8",2008
336,338,"heavy_rail","Line 8",2008
338,339,"heavy_rail","Line 8",2008
339,340,"heavy_rail","Line 8",2008
340,341,"heavy_rail","Line 8",2012
341,342,"heavy_rail","Line 8",2012
342,343,"heavy_rail","Line 8",2013
343,344,"heavy_rail","Line 8",2018
344,345,"heavy_rail","Line 8",2018
345,346,"heavy_rail","Line 8",2018
346,347,"heavy_rail","Line 8",2018
347,348,"heavy_rail","Line 8",2018
348,349,"heavy_rail","Line 8",2023
349,350,"heavy_rail","Line 8",2018
350,351,"heavy_rail","Line 8",2018
351,352,"heavy_rail","Line 8",2018
352,353,"heavy_rail","Line 8",2018
353,354,"heavy_rail","Line 8",2018
354,355,"heavy_rail","Line 8",2018
355,461,"heavy_rail","Line 8",2018
461,462,"heavy_rail","Line 8",2021
462,463,"heavy_rail","Line 8",2021
219,224,"heavy_rail","Line 9",2011
224,229,"heavy_rail","Line 9",2011
229,234,"heavy_rail","Line 9",2013
234,236,"heavy_rail","Line 9",2012
236,237,"heavy_rail","Line 9",2011
237,238,"heavy_rail","Line 9",2012
238,239,"heavy_rail","Line 9",2011
239,240,"heavy_rail","Line 9",2011
240,241,"heavy_rail","Line 9",2012
241,242,"heavy_rail","Line 9",2012
242,243,"heavy_rail","Line 9",2011
243,245,"heavy_rail","Line 9",2011
8,11,"heavy_rail","Line 10",2012
11,15,"heavy_rail","Line 10",2012
15,17,"heavy_rail","Line 10",2012
17,65,"heavy_rail","Line 10",2012
65,66,"heavy_rail","Line 10",2012
66,67,"heavy_rail","Line 10",2012
67,68,"heavy_rail","Line 10",2012
68,103,"heavy_rail","Line 10",2012
103,104,"heavy_rail","Line 10",2012
104,105,"heavy_rail","Line 10",2012
105,106,"heavy_rail","Line 10",2012
106,164,"heavy_rail","Line 10",2012
164,165,"heavy_rail","Line 10",2008
165,166,"heavy_rail","Line 10",2008
166,167,"heavy_rail","Line 10",2008
167,168,"heavy_rail","Line 10",2008
168,169,"heavy_rail","Line 10",2008
169,171,"heavy_rail","Line 10",2008
171,172,"heavy_rail","Line 10",2008
172,173,"heavy_rail","Line 10",2008
173,174,"heavy_rail","Line 10",2012
174,176,"heavy_rail","Line 10",2008
176,177,"heavy_rail","Line 10",2008
177,178,"heavy_rail","Line 10",2012
178,179,"heavy_rail","Line 10",2008
179,181,"heavy_rail","Line 10",2008
181,182,"heavy_rail","Line 10",2008
182,183,"heavy_rail","Line 10",2012
183,184,"heavy_rail","Line 10",2008
184,185,"heavy_rail","Line 10",2008
185,186,"heavy_rail","Line 10",2008
186,187,"heavy_rail","Line 10",2012
