"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Line 1",2010
2,3,"light_rail","Line 1",2010
3,4,"light_rail","Line 1",2010
4,5,"light_rail","Line 1",2010
5,6,"light_rail","Line 1",2010
6,7,"light_rail","Line 1",2010
7,8,"light_rail","Line 1",2010
8,9,"light_rail","Line 1",2010
9,10,"light_rail","Line 1",2010
10,11,"light_rail","Line 1",2010
11,12,"light_rail","Line 1",2010
12,13,"light_rail","Line 1",2010
13,14,"light_rail","Line 1",2010
14,15,"light_rail","Line 1",2010
15,16,"light_rail","Line 1",2010
16,17,"light_rail","Line 1",2013
17,18,"light_rail","Line 1",2013
18,19,"light_rail","Line 1",2013
19,20,"light_rail","Line 1",2013
20,21,"light_rail","Line 1",2013
21,22,"light_rail","Line 1",2017
22,23,"light_rail","Line 1",2017
23,24,"light_rail","Line 1",2017
24,25,"light_rail","Line 1",2017
25,26,"light_rail","Line 1",2017
26,27,"light_rail","Line 1",2017
