"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","Troncal B - Norte",2000
2,3,"default","Troncal B - Norte",2000
3,7,"default","Troncal B - Norte",2000
7,8,"default","Troncal B - Norte",2000
8,9,"default","Troncal B - Norte",2000
9,10,"default","Troncal B - Norte",2000
10,11,"default","Troncal B - Norte",2000
11,18,"default","Troncal B - Norte",2000
18,19,"default","Troncal B - Norte",2000
19,20,"default","Troncal B - Norte",2000
20,21,"default","Troncal B - Norte",2000
21,23,"default","Troncal B - Norte",2000
23,31,"default","Troncal B - Norte",2012
31,32,"default","Troncal B - Norte",2000
32,33,"default","Troncal B - Norte",2000
33,34,"default","Troncal B - Norte",2000
12,13,"default","Troncal A - Caracas",2000
13,14,"default","Troncal A - Caracas",2000
14,15,"default","Troncal A - Caracas",2000
15,16,"default","Troncal A - Caracas",2000
16,17,"default","Troncal A - Caracas",2000
17,24,"default","Troncal A - Caracas",2000
24,26,"default","Troncal A - Caracas",2000
26,27,"default","Troncal A - Caracas",2000
27,28,"default","Troncal A - Caracas",2000
28,29,"default","Troncal A - Caracas",2000
29,30,"default","Troncal A - Caracas",2000
30,35,"default","Troncal A - Caracas",2000
35,36,"default","Troncal A - Caracas",2000
25,37,"default","Tren Turístico (Del Norte)",1926
4,5,"default","Ciudad Bolivar",2018
5,6,"default","Ciudad Bolivar",2018
6,22,"default","Ciudad Bolivar",2018
