"nodeID_from","nodeID_to","mode","line","year"
8,9,"default","A",2007
9,10,"default","A",2005
10,11,"default","A",2007
11,12,"default","A",2007
12,13,"default","A",2007
13,14,"default","A",2007
14,15,"default","A",2007
15,16,"default","A",2007
16,17,"default","A",2007
17,18,"default","A",2007
18,19,"default","A",2007
19,20,"default","A",2008
20,21,"default","A",2003
21,22,"default","A",2003
22,23,"default","A",2008
23,24,"default","A",2003
24,25,"default","A",2007
25,27,"default","A",2007
27,28,"default","A",2003
28,29,"default","A",2003
29,30,"default","A",2007
30,31,"default","A",2007
31,32,"default","A",2005
32,33,"default","A",2007
33,34,"default","A",2003
34,35,"default","A",2007
35,36,"default","A",2003
36,37,"default","A",2003
37,38,"default","A",2003
38,39,"default","A",2008
39,40,"default","A",2003
40,41,"default","A",2003
41,42,"default","A",2003
42,43,"default","A",2007
43,44,"default","A",2003
44,45,"default","A",2003
45,46,"default","A",2003
46,47,"default","A",2003
47,48,"default","A",2003
48,50,"default","A",2003
50,51,"default","A",2008
51,52,"default","A",2003
52,53,"default","A",2003
53,54,"default","A",2003
54,56,"default","A",2003
56,58,"default","A",2003
58,59,"default","A",2003
59,60,"default","A",2003
60,61,"default","A",2003
61,62,"default","A",2003
62,63,"default","A",2003
63,64,"default","A",2003
64,65,"default","A",2003
65,68,"default","A",2003
68,69,"default","A",2005
69,71,"default","A",2003
71,74,"default","A",2003
74,75,"default","A",2003
75,76,"default","A",2005
76,77,"default","A",2003
77,78,"default","A",2003
78,82,"default","A",2005
82,85,"default","A",2003
85,86,"default","A",2003
86,88,"default","A",2003
88,90,"default","A",2003
90,91,"default","A",2005
91,92,"default","A",2003
92,93,"default","A",2003
93,94,"default","A",2015
94,95,"default","A",2005
95,96,"default","A",2015
96,97,"default","A",2015
97,98,"default","A",2005
98,99,"default","A",2005
99,101,"default","A",2015
101,102,"default","A",2015
102,110,"default","A",2015
110,112,"default","A",2005
112,114,"default","A",2005
114,115,"default","A",2005
115,117,"default","A",2015
117,118,"default","A",2015
118,120,"default","A",2015
120,132,"default","A",2015
132,164,"default","A",2015
67,70,"default","B",2004
70,72,"default","B",2004
72,73,"default","B",2004
73,79,"default","B",2004
79,80,"default","B",2004
80,83,"default","B",2004
83,84,"default","B",2004
84,89,"default","B",2004
89,100,"default","B",2004
100,103,"default","B",2004
103,104,"default","B",2004
104,105,"default","B",2004
105,106,"default","B",2004
106,107,"default","B",2004
107,108,"default","B",2004
108,109,"default","B",2004
109,113,"default","B",2004
113,116,"default","B",2004
116,119,"default","B",2004
119,121,"default","B",2004
121,122,"default","B",2004
122,123,"default","B",2004
123,124,"default","B",2004
124,125,"default","B",2004
125,126,"default","B",2004
126,127,"default","B",2004
127,128,"default","B",2004
128,129,"default","B",2004
129,130,"default","B",2004
130,131,"default","B",2004
131,133,"default","B",2004
133,134,"default","B",2004
134,135,"default","B",2004
135,136,"default","B",2004
136,137,"default","B",2004
137,138,"default","B",2004
138,139,"default","B",2004
139,140,"default","B",2004
140,141,"default","B",2004
141,142,"default","B",2004
142,143,"default","B",2016
143,144,"default","B",2007
144,146,"default","B",2007
146,147,"default","B",2007
147,148,"default","B",2015
148,149,"default","B",2015
149,150,"default","B",2015
150,151,"default","B",2007
151,152,"default","B",2015
152,153,"default","B",2015
153,154,"default","B",2014
154,155,"default","B",2008
155,156,"default","B",2007
156,157,"default","B",2007
157,159,"default","B",2007
159,160,"default","B",2008
160,161,"default","B",2008
161,173,"default","B",2008
173,175,"default","B",2016
175,176,"default","B",2007
176,177,"default","B",2007
177,179,"default","B",2015
179,180,"default","B",2015
180,181,"default","B",2015
181,182,"default","B",2015
182,184,"default","B",2015
184,186,"default","B",2008
186,187,"default","B",2007
187,188,"default","B",2007
188,189,"default","B",2007
189,190,"default","B",2008
190,191,"default","B",2008
191,192,"default","B",2007
2,3,"default","C",2015
3,4,"default","C",2015
4,5,"default","C",2015
5,6,"default","C",2016
6,7,"default","C",2016
7,26,"default","C",2016
26,49,"default","C",2004
49,55,"default","C",2004
55,57,"default","C",2004
57,66,"default","C",2004
66,81,"default","C",2004
81,87,"default","C",2004
87,111,"default","C",2004
111,145,"default","C",2004
145,158,"default","C",2007
158,162,"default","C",2004
162,163,"default","C",2004
163,165,"default","C",2004
165,166,"default","C",2008
166,167,"default","C",2015
167,168,"default","C",2008
168,169,"default","C",2015
169,170,"default","C",2015
170,171,"default","C",2007
171,172,"default","C",2007
172,174,"default","C",2007
174,178,"default","C",2007
178,183,"default","C",2007
183,185,"default","C",2004
185,193,"default","C",2004
193,194,"default","C",2004
194,195,"default","C",2008
195,196,"default","C",2015
196,197,"default","C",2008
197,198,"default","C",2015
198,199,"default","C",2015
199,200,"default","C",2015
200,201,"default","C",2007
201,202,"default","C",2008
202,203,"default","C",2007
203,205,"default","C",2008
205,206,"default","C",2007
206,207,"default","C",2007
207,208,"default","C",2008
208,211,"default","C",2014
211,212,"default","C",2015
212,213,"default","C",2015
213,214,"default","C",2015
214,215,"default","C",2016
215,217,"default","C",2016
217,218,"default","C",2007
218,219,"default","C",2008
219,221,"default","C",2008
1,204,"default","Bat³",2013
204,209,"default","Bat³",2013
209,210,"default","Bat³",2013
210,216,"default","Bat³",2016
216,220,"default","Bat³",2013
222,223,"default","D",2019
223,224,"default","D",2019
224,225,"default","D",2019
225,226,"default","D",2019
226,227,"default","D",2019
227,228,"default","D",2019
228,229,"default","D",2019
229,230,"default","D",2019
230,231,"default","D",2019
231,232,"default","D",2019
232,233,"default","D",2019
233,234,"default","D",2019
234,235,"default","D",2019
235,236,"default","D",2019
236,237,"default","D",2019
