"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","A",2012
2,3,"default","A",2012
3,4,"default","A",2012
4,5,"default","A",2012
5,6,"default","A",2012
6,7,"default","A",2012
7,8,"default","A",2012
8,9,"default","A",2012
9,10,"default","A",2012
10,11,"default","A",2012
11,12,"default","A",2012
12,13,"default","A",2012
13,14,"default","A",2012
14,15,"default","A",2012
15,16,"default","A",2012
16,17,"default","A",2012
17,18,"default","A",2012
18,19,"default","A",2012
19,20,"default","A",2012
20,21,"default","A",2012
21,22,"default","A",2012
22,23,"default","A",2012
23,24,"default","A",2012
24,25,"default","A",2012
25,26,"default","A",2012
26,27,"default","A",2012
27,28,"default","A",2012
28,29,"default","A",2012
29,30,"default","A",2012
30,31,"default","A",2012
31,32,"default","A",2012
32,33,"default","A",2012
33,34,"default","A",2012
34,35,"default","A",2012
35,36,"default","A",2012
36,37,"default","A",2012
37,38,"default","A",2012
38,39,"default","A",2012
39,40,"default","A",2012
40,41,"default","A",2012
41,42,"default","A",2012
42,43,"default","A",2012
43,44,"default","A",2012
44,45,"default","A",2012
45,46,"default","A",2012
46,47,"default","A",2012
47,48,"default","A",2012
48,49,"default","A",2012
49,50,"default","A",2012
50,51,"default","A",2012
51,52,"default","A",2012
52,53,"default","A",2012
53,54,"default","A",2012
55,56,"default","C",2016
