"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","1",0
2,5,"heavy_rail","1",0
5,7,"heavy_rail","1",0
7,9,"heavy_rail","1",0
9,11,"heavy_rail","1",0
11,15,"heavy_rail","1",0
15,19,"heavy_rail","1",0
19,21,"heavy_rail","1",0
21,23,"heavy_rail","1",0
23,25,"heavy_rail","1",0
25,27,"heavy_rail","1",0
27,29,"heavy_rail","1",0
29,30,"heavy_rail","1",0
30,31,"heavy_rail","1",0
31,32,"heavy_rail","1",0
32,33,"heavy_rail","1",0
33,34,"heavy_rail","1",0
34,35,"heavy_rail","1",0
35,36,"heavy_rail","1",0
36,37,"heavy_rail","1",0
11,15,"heavy_rail","2",0
15,54,"heavy_rail","2",0
54,56,"heavy_rail","2",0
56,58,"heavy_rail","2",0
58,59,"heavy_rail","2",0
59,61,"heavy_rail","2",0
61,63,"heavy_rail","2",0
63,65,"heavy_rail","2",0
65,67,"heavy_rail","2",0
67,69,"heavy_rail","2",0
69,21,"heavy_rail","2",0
21,73,"heavy_rail","2",0
73,75,"heavy_rail","2",0
75,77,"heavy_rail","2",0
77,79,"heavy_rail","2",0
79,81,"heavy_rail","2",0
81,83,"heavy_rail","2",0
83,87,"heavy_rail","2",0
87,89,"heavy_rail","2",0
89,91,"heavy_rail","2",0
91,92,"heavy_rail","2",0
92,93,"heavy_rail","2",0
93,94,"heavy_rail","2",0
94,95,"heavy_rail","2",0
95,96,"heavy_rail","2",0
2,1,"heavy_rail","5",0
1,5,"heavy_rail","5",0
5,7,"heavy_rail","5",0
7,9,"heavy_rail","5",0
9,11,"heavy_rail","5",0
11,15,"heavy_rail","5",0
15,19,"heavy_rail","5",0
19,21,"heavy_rail","5",0
21,23,"heavy_rail","5",0
23,25,"heavy_rail","5",0
25,27,"heavy_rail","5",0
27,38,"heavy_rail","5",0
38,39,"heavy_rail","5",0
39,40,"heavy_rail","5",0
40,41,"heavy_rail","5",0
41,42,"heavy_rail","5",0
42,43,"heavy_rail","5",0
43,44,"heavy_rail","5",0
44,45,"heavy_rail","5",0
45,46,"heavy_rail","5",0
46,47,"heavy_rail","5",0
47,48,"heavy_rail","5",0
48,49,"heavy_rail","5",0
49,50,"heavy_rail","5",0
50,51,"heavy_rail","5",0
51,52,"heavy_rail","5",0
52,53,"heavy_rail","5",0
11,15,"heavy_rail","6",0
15,54,"heavy_rail","6",0
54,56,"heavy_rail","6",0
56,59,"heavy_rail","6",0
59,61,"heavy_rail","6",0
61,63,"heavy_rail","6",0
63,65,"heavy_rail","6",0
65,67,"heavy_rail","6",0
67,69,"heavy_rail","6",0
69,21,"heavy_rail","6",0
21,73,"heavy_rail","6",0
73,75,"heavy_rail","6",0
75,77,"heavy_rail","6",0
77,79,"heavy_rail","6",0
79,81,"heavy_rail","6",0
81,83,"heavy_rail","6",0
83,87,"heavy_rail","6",0
87,89,"heavy_rail","6",0
83,81,"light_rail","3",0
81,1,"light_rail","3",0
1,65,"light_rail","3",0
65,105,"light_rail","3",0
105,107,"light_rail","3",0
107,111,"light_rail","3",0
111,114,"light_rail","3",0
114,119,"light_rail","3",0
119,122,"light_rail","3",0
122,125,"light_rail","3",0
125,128,"light_rail","3",0
128,130,"light_rail","3",0
130,135,"light_rail","3",0
83,81,"light_rail","4",0
81,1,"light_rail","4",0
1,65,"light_rail","4",0
65,105,"light_rail","4",0
105,107,"light_rail","4",0
107,111,"light_rail","4",0
111,114,"light_rail","4",0
114,119,"light_rail","4",0
119,122,"light_rail","4",0
122,125,"light_rail","4",0
125,130,"light_rail","4",0
130,134,"light_rail","4",0
128,130,"light_rail","7",0
130,96,"light_rail","7",0
96,29,"light_rail","7",0
29,39,"light_rail","7",0
94,56,"tram","19",0
107,65,"tram","25",0
65,29,"tram","25",0
29,39,"tram","25",0
1,105,"tram","32",0
105,111,"tram","32",0
111,114,"tram","32",0
114,107,"tram","32",0
107,65,"tram","32",0
65,83,"tram","32",0
29,37,"tram","39",0
83,81,"tram","51",0
81,114,"tram","51",0
114,119,"tram","51",0
119,122,"tram","51",0
122,125,"tram","51",0
125,91,"tram","51",0
107,65,"tram","55",0
83,27,"tram","81",0
27,29,"tram","81",0
114,83,"tram","82",0
130,67,"tram","92",0
67,77,"tram","92",0
77,19,"tram","92",0
67,77,"tram","93",0
77,93,"tram","93",0
93,19,"tram","93",0
77,33,"light_rail","8",0
