"nodeID_from","nodeID_to","mode","line","year"
2,1,"heavy_rail","M1",1987
1,8,"heavy_rail","M1",1992
8,10,"heavy_rail","M1",1979
10,12,"heavy_rail","M1",1989
12,14,"heavy_rail","M1",1979
14,16,"heavy_rail","M1",1979
16,19,"heavy_rail","M1",1979
19,20,"heavy_rail","M1",1979
20,21,"heavy_rail","M1",1979
21,36,"heavy_rail","M1",1984
36,38,"heavy_rail","M1",1981
38,40,"heavy_rail","M1",1981
40,41,"heavy_rail","M1",1989
41,55,"heavy_rail","M1",1981
55,56,"heavy_rail","M1",1981
56,57,"heavy_rail","M1",1981
57,58,"heavy_rail","M1",1981
58,59,"heavy_rail","M1",1991
59,60,"heavy_rail","M1",1989
60,61,"heavy_rail","M1",1989
61,62,"heavy_rail","M1",1989
5,6,"heavy_rail","M2",1988
6,7,"heavy_rail","M2",1987
7,11,"heavy_rail","M2",1986
11,45,"heavy_rail","M2",1987
45,46,"heavy_rail","M2",1986
46,47,"heavy_rail","M2",1986
47,48,"heavy_rail","M2",1988
48,49,"heavy_rail","M2",1986
49,50,"heavy_rail","M2",1986
50,51,"heavy_rail","M2",1986
51,52,"heavy_rail","M2",1986
52,53,"heavy_rail","M2",1987
53,54,"heavy_rail","M2",1987
8,12,"heavy_rail","M3",1979
12,14,"heavy_rail","M3",1979
14,16,"heavy_rail","M3",1979
16,22,"heavy_rail","M3",1979
22,23,"heavy_rail","M3",1983
23,24,"heavy_rail","M3",1983
24,25,"heavy_rail","M3",1994
25,26,"heavy_rail","M3",1983
26,36,"heavy_rail","M3",1983
36,38,"heavy_rail","M3",1981
38,41,"heavy_rail","M3",1981
1,3,"heavy_rail","M4",1992
3,43,"heavy_rail","M4",2000
43,44,"heavy_rail","M4",2000
18,27,"heavy_rail","M5",2020
27,28,"heavy_rail","M5",2020
28,29,"heavy_rail","M5",2020
29,30,"heavy_rail","M5",2020
30,31,"heavy_rail","M5",2020
31,32,"heavy_rail","M5",2020
32,33,"heavy_rail","M5",2020
33,34,"heavy_rail","M5",2020
34,35,"heavy_rail","M5",2020
