"nodeID_from","nodeID_to","mode","line","year"
31,32,"heavy_rail","M2",1970
32,33,"heavy_rail","M2",1970
33,34,"heavy_rail","M2",1970
34,35,"heavy_rail","M2",1970
35,36,"heavy_rail","M2",1970
36,9,"heavy_rail","M2",1970
9,38,"heavy_rail","M2",1896
38,39,"heavy_rail","M2",1972
39,40,"heavy_rail","M2",1972
40,41,"heavy_rail","M2",1972
1,2,"light_rail","M1",1896
2,3,"light_rail","M1",1896
3,4,"light_rail","M1",1896
4,5,"light_rail","M1",1896
5,6,"light_rail","M1",1896
6,7,"light_rail","M1",1896
7,8,"light_rail","M1",1896
8,9,"light_rail","M1",1973
9,10,"light_rail","M1",1896
10,23,"light_rail","M1",1896
42,43,"heavy_rail","M4",2014
43,44,"heavy_rail","M4",2014
44,45,"heavy_rail","M4",2014
45,46,"heavy_rail","M4",2014
46,47,"heavy_rail","M4",2014
47,11,"heavy_rail","M4",2014
NA,34,"heavy_rail","M4",NA
11,12,"heavy_rail","M3",1976
12,13,"heavy_rail","M3",1976
13,14,"heavy_rail","M3",1981
14,15,"heavy_rail","M3",1981
15,16,"heavy_rail","M3",1981
16,17,"heavy_rail","M3",1980
17,18,"heavy_rail","M3",1980
18,19,"heavy_rail","M3",1984
19,20,"heavy_rail","M3",1984
20,21,"heavy_rail","M3",1990
21,22,"heavy_rail","M3",1990
22,24,"heavy_rail","M3",1990
24,25,"heavy_rail","M3",1980
25,26,"heavy_rail","M3",1980
26,27,"heavy_rail","M3",1976
27,28,"heavy_rail","M3",1980
28,29,"heavy_rail","M3",1976
29,9,"heavy_rail","M3",1976
