"nodeID_from","nodeID_to","mode","line","year"
231,255,"heavy_rail","A",1913
255,256,"heavy_rail","A",1913
256,257,"heavy_rail","A",1913
257,258,"heavy_rail","A",1913
258,259,"heavy_rail","A",1913
259,260,"heavy_rail","A",1913
260,261,"heavy_rail","A",1913
261,262,"heavy_rail","A",1913
262,263,"heavy_rail","A",1914
263,264,"heavy_rail","A",1914
264,265,"heavy_rail","A",1914
265,266,"heavy_rail","A",1914
266,289,"heavy_rail","A",1914
289,292,"heavy_rail","A",1913
292,293,"heavy_rail","A",2008
293,297,"heavy_rail","A",2008
297,298,"heavy_rail","A",2013
112,227,"heavy_rail","B",1931
227,247,"heavy_rail","B",1931
247,248,"heavy_rail","B",1931
248,249,"heavy_rail","B",1930
249,250,"heavy_rail","B",1930
250,251,"heavy_rail","B",1930
251,252,"heavy_rail","B",1930
252,253,"heavy_rail","B",1930
253,254,"heavy_rail","B",1930
254,286,"heavy_rail","B",1930
286,291,"heavy_rail","B",1930
291,307,"heavy_rail","B",2003
307,308,"heavy_rail","B",1931
308,309,"heavy_rail","B",1930
309,310,"heavy_rail","B",2003
310,311,"heavy_rail","B",2013
228,229,"heavy_rail","C",1934
229,230,"heavy_rail","C",1934
230,232,"heavy_rail","C",1934
232,244,"heavy_rail","C",1934
244,245,"heavy_rail","C",1936
245,246,"heavy_rail","C",1936
246,278,"heavy_rail","C",1934
278,312,"heavy_rail","C",1937
237,238,"heavy_rail","D",1937
238,239,"heavy_rail","D",1938
239,240,"heavy_rail","D",1937
240,241,"heavy_rail","D",1938
241,242,"heavy_rail","D",1938
242,243,"heavy_rail","D",1938
243,275,"heavy_rail","D",1940
275,276,"heavy_rail","D",1938
276,277,"heavy_rail","D",1938
277,282,"heavy_rail","D",1938
282,283,"heavy_rail","D",1993
283,284,"heavy_rail","D",1997
284,285,"heavy_rail","D",1997
285,288,"heavy_rail","D",1999
288,290,"heavy_rail","D",1937
290,299,"heavy_rail","D",2000
299,771,"heavy_rail","D",1987
86,164,"heavy_rail","E",1986
164,165,"heavy_rail","E",1973
165,267,"heavy_rail","E",1985
267,268,"heavy_rail","E",1966
268,269,"heavy_rail","E",1966
269,270,"heavy_rail","E",1966
270,271,"heavy_rail","E",1944
271,272,"heavy_rail","E",1944
272,273,"heavy_rail","E",1944
273,274,"heavy_rail","E",1944
274,279,"heavy_rail","E",1944
279,280,"heavy_rail","E",1985
280,281,"heavy_rail","E",1966
281,287,"heavy_rail","E",1960
287,300,"heavy_rail","E",1985
300,301,"heavy_rail","E",1944
301,302,"heavy_rail","E",1944
302,303,"heavy_rail","E",2019
303,304,"heavy_rail","E",2019
1,163,"heavy_rail","H",2016
163,233,"heavy_rail","H",2015
233,234,"heavy_rail","H",2007
234,235,"heavy_rail","H",2007
235,236,"heavy_rail","H",2007
236,294,"heavy_rail","H",2007
294,295,"heavy_rail","H",2010
295,296,"heavy_rail","H",2011
296,305,"heavy_rail","H",2013
305,306,"heavy_rail","H",NA
306,313,"heavy_rail","H",2015
313,652,"heavy_rail","H",2007
652,755,"heavy_rail","H",2018
87,89,"tram","Premetro",1987
89,90,"tram","Premetro",1987
90,91,"tram","Premetro",1987
91,92,"tram","Premetro",1987
92,93,"tram","Premetro",1987
93,94,"tram","Premetro",1987
94,95,"tram","Premetro",1987
95,96,"tram","Premetro",1987
96,97,"tram","Premetro",1987
97,98,"tram","Premetro",1987
98,103,"tram","Premetro",1987
103,104,"tram","Premetro",1987
104,105,"tram","Premetro",1987
105,106,"tram","Premetro",2000
106,107,"tram","Premetro",1987
107,108,"tram","Premetro",1987
108,109,"tram","Premetro",2006
109,111,"tram","Premetro",1987
56,57,"commuter_rail","Urquiza",1914
57,59,"commuter_rail","Urquiza",1888
59,60,"commuter_rail","Urquiza",1914
60,61,"commuter_rail","Urquiza",1888
61,62,"commuter_rail","Urquiza",1888
62,63,"commuter_rail","Urquiza",1914
63,64,"commuter_rail","Urquiza",1888
64,65,"commuter_rail","Urquiza",1888
65,66,"commuter_rail","Urquiza",1888
66,67,"commuter_rail","Urquiza",1888
67,68,"commuter_rail","Urquiza",1888
68,71,"commuter_rail","Urquiza",1888
71,72,"commuter_rail","Urquiza",1888
72,73,"commuter_rail","Urquiza",1888
73,74,"commuter_rail","Urquiza",1888
74,75,"commuter_rail","Urquiza",1888
75,88,"commuter_rail","Urquiza",1888
88,99,"commuter_rail","Urquiza",1888
99,100,"commuter_rail","Urquiza",1888
100,101,"commuter_rail","Urquiza",1888
101,102,"commuter_rail","Urquiza",1914
102,140,"commuter_rail","Urquiza",1914
140,141,"commuter_rail","Urquiza",1888
141,142,"commuter_rail","Urquiza",1908
142,143,"commuter_rail","Urquiza",1888
143,144,"commuter_rail","Urquiza",1914
144,145,"commuter_rail","Urquiza",1974
145,146,"commuter_rail","Urquiza",1914
146,147,"commuter_rail","Urquiza",1914
147,148,"commuter_rail","Urquiza",1888
148,151,"commuter_rail","Urquiza",1914
151,343,"commuter_rail","Urquiza",1974
343,344,"commuter_rail","Urquiza",1911
344,345,"commuter_rail","Urquiza",1911
2,3,"commuter_rail","Mitre",1898
3,4,"commuter_rail","Mitre",1960
4,5,"commuter_rail","Mitre",1892
5,6,"commuter_rail","Mitre",1892
6,7,"commuter_rail","Mitre",1892
7,8,"commuter_rail","Mitre",1892
8,9,"commuter_rail","Mitre",1894
9,10,"commuter_rail","Mitre",1894
10,11,"commuter_rail","Mitre",1894
11,12,"commuter_rail","Mitre",1894
12,13,"commuter_rail","Mitre",1900
13,14,"commuter_rail","Mitre",1894
14,15,"commuter_rail","Mitre",1894
15,16,"commuter_rail","Mitre",1881
16,17,"commuter_rail","Mitre",1894
17,18,"commuter_rail","Mitre",1894
