"nodeID_from","nodeID_to","mode","line","year"
1,3,"heavy_rail","1",2002
3,4,"heavy_rail","1",2002
4,5,"heavy_rail","1",2002
5,10,"heavy_rail","1",2002
10,11,"heavy_rail","1",2002
11,12,"heavy_rail","1",2002
12,13,"heavy_rail","1",2011
13,22,"heavy_rail","1",2011
22,24,"heavy_rail","1",2002
24,26,"heavy_rail","1",2002
26,28,"heavy_rail","1",2002
28,30,"heavy_rail","1",2002
30,32,"heavy_rail","1",2008
32,34,"heavy_rail","1",2002
34,36,"heavy_rail","1",2002
36,38,"heavy_rail","1",2008
38,40,"heavy_rail","1",2008
40,42,"heavy_rail","1",2008
42,44,"heavy_rail","1",2008
44,53,"heavy_rail","1",2008
53,54,"heavy_rail","1",2026
54,55,"heavy_rail","1",2026
55,56,"heavy_rail","1",2026
1,6,"heavy_rail","2",2002
6,7,"heavy_rail","2",2002
7,8,"heavy_rail","2",2002
8,9,"heavy_rail","2",2002
9,14,"heavy_rail","2",2021
14,15,"heavy_rail","2",2002
15,16,"heavy_rail","2",2002
16,17,"heavy_rail","2",2010
17,18,"heavy_rail","2",2010
18,19,"heavy_rail","2",2010
19,20,"heavy_rail","2",2011
20,21,"heavy_rail","2",2011
21,22,"heavy_rail","2",2011
22,24,"heavy_rail","2",2002
24,26,"heavy_rail","2",2002
26,28,"heavy_rail","2",2002
28,30,"heavy_rail","2",2002
30,32,"heavy_rail","2",2008
32,34,"heavy_rail","2",2002
34,36,"heavy_rail","2",2002
36,38,"heavy_rail","2",2008
38,40,"heavy_rail","2",2008
40,42,"heavy_rail","2",2008
42,44,"heavy_rail","2",2008
44,46,"heavy_rail","2",2008
46,47,"heavy_rail","2",2014
47,48,"heavy_rail","2",2014
48,49,"heavy_rail","2",2014
49,50,"heavy_rail","2",2014
50,51,"heavy_rail","2",2014
51,52,"heavy_rail","2",2014
68,69,"tram","T1",2013
69,70,"tram","T1",2013
70,71,"tram","T1",2013
71,72,"tram","T1",2013
72,73,"tram","T1",2013
73,74,"tram","T1",2013
74,75,"tram","T1",2013
75,76,"tram","T1",2013
76,77,"tram","T1",2013
77,78,"tram","T1",2013
78,79,"tram","T1",NA
79,80,"tram","T1",2013
80,81,"tram","T1",2013
81,58,"tram","T1",2013
57,58,"light_rail","T2",2022
58,59,"light_rail","T2",2013
59,60,"light_rail","T2",2022
60,61,"light_rail","T2",2022
61,62,"light_rail","T2",2022
62,63,"light_rail","T2",2022
63,64,"light_rail","T2",2022
64,65,"light_rail","T2",2022
65,66,"light_rail","T2",2022
66,67,"light_rail","T2",2022
