"nodeID_from","nodeID_to","mode","line","year"
2,4,"heavy_rail","Line 1",1987
4,7,"heavy_rail","Line 1",1987
7,8,"heavy_rail","Line 1",1987
8,53,"heavy_rail","Line 1",1987
53,54,"heavy_rail","Line 1",1987
54,55,"heavy_rail","Line 1",1987
55,56,"heavy_rail","Line 1",1987
56,57,"heavy_rail","Line 1",1987
57,58,"heavy_rail","Line 1",1987
58,59,"heavy_rail","Line 1",1987
59,60,"heavy_rail","Line 1",1987
60,61,"heavy_rail","Line 1",1987
61,62,"heavy_rail","Line 1",1987
62,63,"heavy_rail","Line 1",1987
63,64,"heavy_rail","Line 1",1987
64,65,"heavy_rail","Line 1",1987
65,66,"heavy_rail","Line 1",1987
66,67,"heavy_rail","Line 1",1987
67,68,"heavy_rail","Line 1",1987
68,69,"heavy_rail","Line 1",1987
69,70,"heavy_rail","Line 1",1987
70,71,"heavy_rail","Line 1",1987
71,72,"heavy_rail","Line 1",1987
72,73,"heavy_rail","Line 1",1987
73,74,"heavy_rail","Line 1",1987
74,75,"heavy_rail","Line 1",1987
75,76,"heavy_rail","Line 1",1987
76,77,"heavy_rail","Line 1",1987
77,78,"heavy_rail","Line 1",1987
78,79,"heavy_rail","Line 1",1987
79,80,"heavy_rail","Line 1",1987
80,81,"heavy_rail","Line 1",1987
81,82,"heavy_rail","Line 1",1987
82,83,"heavy_rail","Line 1",1987
2,5,"heavy_rail","Line 2",1987
5,8,"heavy_rail","Line 2",1996
8,10,"heavy_rail","Line 2",1987
10,11,"heavy_rail","Line 2",1996
11,12,"heavy_rail","Line 2",1996
12,13,"heavy_rail","Line 2",1996
13,14,"heavy_rail","Line 2",1996
14,15,"heavy_rail","Line 2",1996
15,16,"heavy_rail","Line 2",1996
16,17,"heavy_rail","Line 2",1996
17,18,"heavy_rail","Line 2",1996
18,84,"heavy_rail","Line 2",1996
84,85,"heavy_rail","Line 2",1996
85,1,"heavy_rail","Line 2",1996
1,87,"heavy_rail","Line 2",1996
87,88,"heavy_rail","Line 2",1996
88,89,"heavy_rail","Line 2",1996
89,90,"heavy_rail","Line 2",1996
90,91,"heavy_rail","Line 2",1996
1,5,"heavy_rail","Line 3",1996
5,19,"heavy_rail","Line 3",1996
19,20,"heavy_rail","Line 3",2022
20,21,"heavy_rail","Line 3",2022
21,22,"heavy_rail","Line 3",2022
22,35,"heavy_rail","Line 3",2012
35,36,"heavy_rail","Line 3",2012
36,37,"heavy_rail","Line 3",2012
37,38,"heavy_rail","Line 3",2012
38,39,"heavy_rail","Line 3",2012
39,40,"heavy_rail","Line 3",2012
40,41,"heavy_rail","Line 3",2012
41,42,"heavy_rail","Line 3",2012
42,43,"heavy_rail","Line 3",2012
43,44,"heavy_rail","Line 3",2012
44,45,"heavy_rail","Line 3",2012
45,46,"heavy_rail","Line 3",2012
46,48,"heavy_rail","Line 3",2012
48,49,"heavy_rail","Line 3",2012
