"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","LYNX Blue Line",2007
2,3,"light_rail","LYNX Blue Line",2007
3,4,"light_rail","LYNX Blue Line",2007
4,5,"light_rail","LYNX Blue Line",2007
5,6,"light_rail","LYNX Blue Line",2007
6,7,"light_rail","LYNX Blue Line",2007
7,8,"light_rail","LYNX Blue Line",2007
8,9,"light_rail","LYNX Blue Line",2007
9,10,"light_rail","LYNX Blue Line",2007
10,11,"light_rail","LYNX Blue Line",2007
11,12,"light_rail","LYNX Blue Line",2007
12,13,"light_rail","LYNX Blue Line",2007
13,14,"light_rail","LYNX Blue Line",2007
14,15,"light_rail","LYNX Blue Line",2007
15,17,"light_rail","LYNX Blue Line",2007
17,18,"light_rail","LYNX Blue Line",2018
18,19,"light_rail","LYNX Blue Line",2018
19,20,"light_rail","LYNX Blue Line",2018
20,21,"light_rail","LYNX Blue Line",2018
21,22,"light_rail","LYNX Blue Line",2018
22,23,"light_rail","LYNX Blue Line",2018
23,24,"light_rail","LYNX Blue Line",2018
24,25,"light_rail","LYNX Blue Line",2018
25,26,"light_rail","LYNX Blue Line",2018
26,27,"light_rail","LYNX Blue Line",2018
14,28,"tram","LYNX Gold Line",2007
28,29,"tram","LYNX Gold Line",2015
29,30,"tram","LYNX Gold Line",2015
30,31,"tram","LYNX Gold Line",2015
31,32,"tram","LYNX Gold Line",2015
32,33,"tram","LYNX Gold Line",2015
33,34,"tram","LYNX Gold Line",2021
34,35,"tram","LYNX Gold Line",2021
35,36,"tram","LYNX Gold Line",2021
36,37,"tram","LYNX Gold Line",2021
37,38,"tram","LYNX Gold Line",2021
38,39,"tram","LYNX Gold Line",2021
39,40,"tram","LYNX Gold Line",2021
40,41,"tram","LYNX Gold Line",2021
41,42,"tram","LYNX Gold Line",2021
