"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Blue Line",2019
2,3,"heavy_rail","Blue Line",2019
3,4,"heavy_rail","Blue Line",2019
4,5,"heavy_rail","Blue Line",2019
5,6,"heavy_rail","Blue Line",2019
6,7,"heavy_rail","Blue Line",2019
7,8,"heavy_rail","Blue Line",2019
8,9,"heavy_rail","Blue Line",2018
9,10,"heavy_rail","Blue Line",2018
10,11,"heavy_rail","Blue Line",2018
11,12,"heavy_rail","Blue Line",2018
12,13,"heavy_rail","Blue Line",2016
13,14,"heavy_rail","Blue Line",2016
14,15,"heavy_rail","Blue Line",2016
15,16,"heavy_rail","Blue Line",2016
16,17,"heavy_rail","Blue Line",2016
17,21,"heavy_rail","Blue Line",2016
21,22,"heavy_rail","Blue Line",2021
22,23,"heavy_rail","Blue Line",2021
23,24,"heavy_rail","Blue Line",2021
24,25,"heavy_rail","Blue Line",2021
25,26,"heavy_rail","Blue Line",2021
18,19,"heavy_rail","Green Line",2017
19,20,"heavy_rail","Green Line",2018
20,27,"heavy_rail","Green Line",2015
27,28,"heavy_rail","Green Line",2016
28,29,"heavy_rail","Green Line",2015
29,30,"heavy_rail","Green Line",2015
30,31,"heavy_rail","Green Line",2015
31,32,"heavy_rail","Green Line",2015
32,33,"heavy_rail","Green Line",2015
33,34,"heavy_rail","Green Line",2015
34,35,"heavy_rail","Green Line",2017
35,36,"heavy_rail","Green Line",2017
36,37,"heavy_rail","Green Line",2017
37,38,"heavy_rail","Green Line",2017
38,39,"heavy_rail","Green Line",2017
39,40,"heavy_rail","Green Line",2017
