"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2011
2,3,"heavy_rail","Line 1",2011
3,4,"heavy_rail","Line 1",2011
4,5,"heavy_rail","Line 1",2011
5,6,"heavy_rail","Line 1",2011
6,7,"heavy_rail","Line 1",2011
7,8,"heavy_rail","Line 1",2011
8,9,"heavy_rail","Line 1",2011
9,10,"heavy_rail","Line 1",2011
10,11,"heavy_rail","Line 1",2011
11,12,"heavy_rail","Line 1",2011
12,13,"heavy_rail","Line 1",2011
13,14,"heavy_rail","Line 1",2011
14,15,"heavy_rail","Line 1",2011
15,16,"heavy_rail","Line 1",2013
16,17,"heavy_rail","Line 1",2012
17,18,"heavy_rail","Line 1",2014
18,19,"heavy_rail","Line 1",2012
19,20,"heavy_rail","Line 1",2012
20,21,"heavy_rail","Line 1",2013
21,22,"heavy_rail","Line 1",2012
22,23,"heavy_rail","Line 1",2012
23,24,"heavy_rail","Line 1",2014
24,260,"heavy_rail","Line 1",2019
25,26,"heavy_rail","Line 2",2004
26,27,"heavy_rail","Line 2",2004
27,28,"heavy_rail","Line 2",2004
28,29,"heavy_rail","Line 2",2004
29,30,"heavy_rail","Line 2",2004
30,31,"heavy_rail","Line 2",2004
31,32,"heavy_rail","Line 2",2004
32,33,"heavy_rail","Line 2",2004
33,34,"heavy_rail","Line 2",2004
34,35,"heavy_rail","Line 2",2004
35,36,"heavy_rail","Line 2",2004
36,37,"heavy_rail","Line 2",2004
37,38,"heavy_rail","Line 2",2004
38,39,"heavy_rail","Line 2",2006
39,40,"heavy_rail","Line 2",2006
40,41,"heavy_rail","Line 2",2006
41,42,"heavy_rail","Line 2",2006
42,43,"heavy_rail","Line 2",2006
43,44,"heavy_rail","Line 2",2014
44,45,"heavy_rail","Line 2",2014
45,46,"heavy_rail","Line 2",2014
46,47,"heavy_rail","Line 2",2014
47,48,"heavy_rail","Line 2",2014
48,49,"heavy_rail","Line 2",2014
50,51,"heavy_rail","Line 3",2011
51,52,"heavy_rail","Line 3",2013
52,53,"heavy_rail","Line 3",2012
53,54,"heavy_rail","Line 3",2012
54,55,"heavy_rail","Line 3",2012
55,56,"heavy_rail","Line 3",2013
56,57,"heavy_rail","Line 3",2013
57,58,"heavy_rail","Line 3",2012
58,59,"heavy_rail","Line 3",2012
59,60,"heavy_rail","Line 3",2012
60,61,"heavy_rail","Line 3",2011
61,62,"heavy_rail","Line 3",2011
62,63,"heavy_rail","Line 3",2013
63,64,"heavy_rail","Line 3",2011
64,65,"heavy_rail","Line 3",2011
65,66,"heavy_rail","Line 3",2012
66,67,"heavy_rail","Line 3",2012
67,68,"heavy_rail","Line 3",2012
68,69,"heavy_rail","Line 3",2011
69,70,"heavy_rail","Line 3",2011
70,71,"heavy_rail","Line 3",2011
71,72,"heavy_rail","Line 3",2012
72,73,"heavy_rail","Line 3",2011
73,74,"heavy_rail","Line 3",2012
74,75,"heavy_rail","Line 3",2011
75,76,"heavy_rail","Line 3",2011
76,77,"heavy_rail","Line 3",2011
77,78,"heavy_rail","Line 3",2013
78,79,"heavy_rail","Line 3",2011
79,80,"heavy_rail","Line 3",2011
80,81,"heavy_rail","Line 3",2011
81,82,"heavy_rail","Line 3",2011
82,83,"heavy_rail","Line 3",2011
83,84,"heavy_rail","Line 3",2011
84,85,"heavy_rail","Line 3",2011
85,86,"heavy_rail","Line 3",2011
86,87,"heavy_rail","Line 3",2011
87,88,"heavy_rail","Line 3",2011
88,89,"heavy_rail","Line 3",2011
89,90,"heavy_rail","Line 3",2016
90,91,"heavy_rail","Line 3",2016
91,92,"heavy_rail","Line 3",2016
92,93,"heavy_rail","Line 3",2016
93,94,"heavy_rail","Line 3",2016
95,96,"heavy_rail","Line 4",2019
96,97,"heavy_rail","Line 4",2018
97,98,"heavy_rail","Line 4",2018
98,99,"heavy_rail","Line 4",2018
99,100,"heavy_rail","Line 4",2018
100,101,"heavy_rail","Line 4",2018
101,102,"heavy_rail","Line 4",2018
102,242,"heavy_rail","Line 4",2018
242,243,"heavy_rail","Line 4",2022
243,244,"heavy_rail","Line 4",2022
244,245,"heavy_rail","Line 4",2022
245,246,"heavy_rail","Line 4",2022
246,247,"heavy_rail","Line 4",2022
247,248,"heavy_rail","Line 4",2022
248,249,"heavy_rail","Line 4",2022
249,250,"heavy_rail","Line 4",2022
250,251,"heavy_rail","Line 4",2022
251,252,"heavy_rail","Line 4",2022
252,253,"heavy_rail","Line 4",2022
253,255,"heavy_rail","Line 4",2022
255,256,"heavy_rail","Line 4",2022
256,257,"heavy_rail","Line 4",2022
257,277,"heavy_rail","Line 4",2022
103,104,"heavy_rail","Line 5",2017
104,105,"heavy_rail","Line 5",2017
105,106,"heavy_rail","Line 5",2017
106,107,"heavy_rail","Line 5",2017
107,108,"heavy_rail","Line 5",2017
108,109,"heavy_rail","Line 5",2017
109,110,"heavy_rail","Line 5",2017
110,111,"heavy_rail","Line 5",2017
111,112,"heavy_rail","Line 5",2017
112,189,"heavy_rail","Line 5",2018
189,190,"heavy_rail","Line 5",2023
190,191,"heavy_rail","Line 5",2023
191,192,"heavy_rail","Line 5",2021
192,193,"heavy_rail","Line 5",2021
193,195,"heavy_rail","Line 5",2021
195,196,"heavy_rail","Line 5",2021
196,197,"heavy_rail","Line 5",2021
197,198,"heavy_rail","Line 5",2021
198,199,"heavy_rail","Line 5",2021
199,200,"heavy_rail","Line 5",2021
200,201,"heavy_rail","Line 5",2021
201,202,"heavy_rail","Line 5",2021
202,267,"heavy_rail","Line 5",2021
267,268,"heavy_rail","Line 5",2023
268,269,"heavy_rail","Line 5",2023
269,270,"heavy_rail","Line 5",NA
270,271,"heavy_rail","Line 5",2023
271,272,"heavy_rail","Line 5",2023
272,273,"heavy_rail","Line 5",2023
273,208,"heavy_rail","Line 5",2023
208,9,"heavy_rail","Line 5",2022
113,114,"heavy_rail","Line 6",2014
114,115,"heavy_rail","Line 6",2014
115,116,"heavy_rail","Line 6",2014
116,117,"heavy_rail","Line 6",2014
117,118,"heavy_rail","Line 6",2014
118,119,"heavy_rail","Line 6",2014
119,120,"heavy_rail","Line 6",2014
120,121,"heavy_rail","Line 6",2014
121,122,"heavy_rail","Line 6",2012
122,123,"heavy_rail","Line 6",2012
123,124,"heavy_rail","Line 6",2012
124,125,"heavy_rail","Line 6",2012
125,126,"heavy_rail","Line 6",2012
126,127,"heavy_rail","Line 6",2012
127,128,"heavy_rail","Line 6",2012
128,129,"heavy_rail","Line 6",2012
129,130,"heavy_rail","Line 6",2012
130,131,"heavy_rail","Line 6",2013
131,132,"heavy_rail","Line 6",2012
132,133,"heavy_rail","Line 6",2012
133,134,"heavy_rail","Line 6",2015
134,135,"heavy_rail","Line 6",2015
135,136,"heavy_rail","Line 6",2014
136,137,"heavy_rail","Line 6",0
137,138,"heavy_rail","Line 6",0
138,139,"heavy_rail","Line 6",0
139,140,"heavy_rail","Line 6",0
140,141,"heavy_rail","Line 6",0
141,142,"heavy_rail","Line 6",0
142,143,"heavy_rail","Line 6",0
143,236,"heavy_rail","Line 6",0
236,237,"heavy_rail","Line 6",0
237,238,"heavy_rail","Line 6",2020
238,239,"heavy_rail","Line 6",2020
239,240,"heavy_rail","Line 6",2020
240,241,"heavy_rail","Line 6",2020
144,145,"heavy_rail","Line 10",2017
145,146,"heavy_rail","Line 10",2017
146,147,"heavy_rail","Line 10",2017
147,148,"heavy_rail","Line 10",2017
148,149,"heavy_rail","Line 10",2017
149,150,"heavy_rail","Line 10",2017
150,151,"heavy_rail","Line 10",2017
151,152,"heavy_rail","Line 10",2017
152,153,"heavy_rail","Line 10",2017
153,154,"heavy_rail","Line 10",2017
154,155,"heavy_rail","Line 10",2017
155,156,"heavy_rail","Line 10",2017
156,157,"heavy_rail","Line 10",2017
157,158,"heavy_rail","Line 10",2017
158,159,"heavy_rail","Line 10",2017
159,160,"heavy_rail","Line 10",2017
160,161,"heavy_rail","Line 10",2017
161,162,"heavy_rail","Line 10",2017
162,229,"heavy_rail","Line 10",2017
229,230,"heavy_rail","Line 10",2023
230,231,"heavy_rail","Line 10",2023
231,232,"heavy_rail","Line 10",2023
232,233,"heavy_rail","Line 10",2023
233,234,"heavy_rail","Line 10",2023
234,235,"heavy_rail","Line 10",2023
235,164,"heavy_rail","Line 10",NA
163,164,"heavy_rail","Line 0",2018
164,165,"heavy_rail","Line 0",2018
165,166,"heavy_rail","Line 0",2018
166,167,"heavy_rail","Line 0",2019
167,168,"heavy_rail","Line 0",2018
168,169,"heavy_rail","Line 0",NA
169,170,"heavy_rail","Line 0",2021
170,171,"heavy_rail","Line 0",2018
171,172,"heavy_rail","Line 0",2018
