"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","Red Line",2011
2,3,"default","Red Line",2011
3,4,"default","Red Line",2011
4,5,"default","Red Line",2011
5,6,"default","Red Line",2011
6,7,"default","Red Line",2011
7,8,"default","Red Line",2011
8,9,"default","Red Line",2011
9,10,"default","Red Line",2011
10,11,"default","Red Line",2013
11,12,"default","Red Line",2013
12,13,"default","Red Line",2013
13,14,"default","Red Line",2014
14,15,"default","Red Line",2015
15,16,"default","Red Line",2013
16,17,"default","Red Line",2014
