"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Red Line",1968
2,3,"heavy_rail","Red Line",1969
3,4,"heavy_rail","Red Line",1968
4,5,"heavy_rail","Red Line",1958
5,6,"heavy_rail","Red Line",1958
6,7,"heavy_rail","Red Line",1955
7,8,"heavy_rail","Red Line",1955
8,9,"heavy_rail","Red Line",1955
9,10,"heavy_rail","Red Line",1955
10,11,"heavy_rail","Red Line",1955
11,12,"heavy_rail","Red Line",1955
12,13,"heavy_rail","Red Line",1955
13,14,"heavy_rail","Red Line",2015
14,15,"heavy_rail","Red Line",1955
15,16,"heavy_rail","Red Line",1930
16,17,"heavy_rail","Red Line",1920
17,18,"heavy_rail","Red Line",1920
18,26,"heavy_rail","Red Line",1930
18,15,"light_rail","Blue Line",1930
15,16,"light_rail","Blue Line",1930
16,33,"light_rail","Blue Line",1920
33,35,"light_rail","Blue Line",1920
35,37,"light_rail","Blue Line",1920
37,39,"light_rail","Blue Line",1920
39,41,"light_rail","Blue Line",1920
41,42,"light_rail","Blue Line",1948
42,43,"light_rail","Blue Line",1920
43,44,"light_rail","Blue Line",1920
44,45,"light_rail","Blue Line",1920
45,46,"light_rail","Blue Line",1920
46,47,"light_rail","Blue Line",1920
47,48,"light_rail","Blue Line",1920
48,49,"light_rail","Blue Line",1920
49,50,"light_rail","Blue Line",1920
50,51,"light_rail","Blue Line",1930
18,15,"light_rail","Green Line",1930
15,16,"light_rail","Green Line",1930
16,33,"light_rail","Green Line",1920
33,35,"light_rail","Green Line",1920
35,37,"light_rail","Green Line",1920
37,39,"light_rail","Green Line",1920
18,27,"light_rail","Waterfront Line",1930
27,28,"light_rail","Waterfront Line",1996
28,29,"light_rail","Waterfront Line",1996
29,30,"light_rail","Waterfront Line",1999
30,31,"light_rail","Waterfront Line",NA
31,32,"light_rail","Waterfront Line",1996
