"nodeID_from","nodeID_to","mode","line","year"
1,3,"default","Línea 1",2001
3,5,"default","Línea 1",2001
5,6,"default","Línea 1",2001
6,7,"default","Línea 1",2005
7,8,"default","Línea 1",1999
8,9,"default","Línea 1",1999
9,10,"default","Línea 1",2005
10,12,"default","Línea 1",1999
12,13,"default","Línea 1",2005
13,14,"default","Línea 1",1999
14,15,"default","Línea 1",1999
15,16,"default","Línea 1",2001
2,4,"default","Línea 2",2017
4,11,"default","Línea 2",2016
11,17,"default","Línea 2",2016
17,18,"default","Línea 2",2016
18,19,"default","Línea 2",2005
19,20,"default","Línea 2",2005
20,21,"default","Línea 2",2016
21,22,"default","Línea 2",2016
22,23,"default","Línea 2",2005
23,24,"default","Línea 2",2005
24,25,"default","Línea 2",2016
25,26,"default","Línea 2",2014
26,13,"default","Línea 2",2016
27,28,"brt","Paicaví",2005
28,29,"brt","Paicaví",2005
29,30,"brt","Paicaví",2005
30,31,"brt","Paicaví",2005
31,32,"brt","Paicaví",2005
32,33,"brt","Paicaví",2005
33,34,"brt","Paicaví",2005
34,35,"brt","Paicaví",2005
36,37,"brt","Colón",2014
37,38,"brt","Colón",2014
38,39,"brt","Colón",2014
39,40,"brt","Colón",2014
40,41,"brt","Colón",2014
41,42,"brt","Colón",2014
42,43,"brt","Colón",2014
43,44,"brt","Colón",2014
44,45,"brt","Colón",2014
45,46,"brt","Colón",2014
47,48,"brt","Manuel Rodríguez",2005
48,49,"brt","Manuel Rodríguez",2005
49,50,"brt","Manuel Rodríguez",2005
50,51,"brt","Manuel Rodríguez",2005
51,52,"brt","Manuel Rodríguez",2005
52,53,"brt","Manuel Rodríguez",2005
53,54,"brt","Manuel Rodríguez",2005
54,55,"brt","Manuel Rodríguez",2005
55,56,"brt","Manuel Rodríguez",2005
56,57,"brt","Manuel Rodríguez",2005
57,58,"brt","Manuel Rodríguez",2005
58,59,"brt","Manuel Rodríguez",2005
59,60,"brt","Manuel Rodríguez",2005
60,61,"brt","Manuel Rodríguez",2005
62,63,"brt","Pedro Aguirre Cerda",2005
63,64,"brt","Pedro Aguirre Cerda",2005
64,65,"brt","Pedro Aguirre Cerda",2005
