"nodeID_from","nodeID_to","mode","line","year"
2,4,"commuter_rail","C-1",2005
4,5,"commuter_rail","C-1",1980
5,6,"commuter_rail","C-1",2002
6,7,"commuter_rail","C-1",2002
7,8,"commuter_rail","C-1",2002
8,9,"commuter_rail","C-1",1998
9,10,"commuter_rail","C-1",2011
10,11,"commuter_rail","C-1",1980
11,12,"commuter_rail","C-1",1980
12,13,"commuter_rail","C-1",1980
13,14,"commuter_rail","C-1",2008
14,15,"commuter_rail","C-1",1980
15,16,"commuter_rail","C-1",2010
16,17,"commuter_rail","C-1",2007
17,33,"commuter_rail","C-1",1992
33,35,"commuter_rail","C-1",2022
35,37,"commuter_rail","C-1",2022
1,2,"commuter_rail","C-1a",2005
18,19,"light_rail","1",2022
19,20,"light_rail","1",2022
20,21,"light_rail","1",2022
21,22,"light_rail","1",2022
22,23,"light_rail","1",2022
23,24,"light_rail","1",2022
24,25,"light_rail","1",2022
25,26,"light_rail","1",2022
26,27,"light_rail","1",2022
27,28,"light_rail","1",2022
28,29,"light_rail","1",2022
29,30,"light_rail","1",2022
30,31,"light_rail","1",2022
31,32,"light_rail","1",2022
32,33,"light_rail","1",2022
33,35,"light_rail","1",2022
35,37,"light_rail","1",2022
