"nodeID_from","nodeID_to","mode","line","year"
1,6,"light_rail","D Line ",1994
6,8,"light_rail","D Line ",2000
8,10,"light_rail","D Line ",2000
10,12,"light_rail","D Line ",2000
12,14,"light_rail","D Line ",2000
14,16,"light_rail","D Line ",2000
16,21,"light_rail","D Line ",1994
21,26,"light_rail","D Line ",1994
26,29,"light_rail","D Line ",1994
29,32,"light_rail","D Line ",2004
32,35,"light_rail","D Line ",1994
35,38,"light_rail","D Line ",1994
38,42,"light_rail","D Line ",1994
42,46,"light_rail","D Line ",1994
46,50,"light_rail","D Line ",1994
1,6,"light_rail","C Line",1994
6,8,"light_rail","C Line",2000
8,10,"light_rail","C Line",2000
10,12,"light_rail","C Line",2000
12,14,"light_rail","C Line",2000
14,16,"light_rail","C Line",2000
16,21,"light_rail","C Line",1994
1,16,"light_rail","E Line",1994
16,21,"light_rail","E Line",1994
21,59,"light_rail","E Line",1994
59,61,"light_rail","E Line",2006
61,63,"light_rail","E Line",2006
63,65,"light_rail","E Line",2006
65,68,"light_rail","E Line",2006
68,71,"light_rail","E Line",2006
71,74,"light_rail","E Line",2006
74,77,"light_rail","E Line",2006
77,80,"light_rail","E Line",2006
80,83,"light_rail","E Line",2006
83,86,"light_rail","E Line",2006
1,16,"light_rail","F Line",1994
16,21,"light_rail","F Line",1994
21,26,"light_rail","F Line",1994
26,29,"light_rail","F Line",1994
29,32,"light_rail","F Line",2004
32,35,"light_rail","F Line",1994
35,38,"light_rail","F Line",1994
38,42,"light_rail","F Line",1994
42,46,"light_rail","F Line",1994
46,50,"light_rail","F Line",1994
50,59,"light_rail","F Line",1994
59,61,"light_rail","F Line",2006
61,63,"light_rail","F Line",2006
63,65,"light_rail","F Line",2006
65,68,"light_rail","F Line",2006
68,71,"light_rail","F Line",2006
71,74,"light_rail","F Line",2006
74,77,"light_rail","F Line",2006
77,80,"light_rail","F Line",2006
80,83,"light_rail","F Line",2006
83,86,"light_rail","F Line",2006
1,16,"light_rail","H Line",1994
16,21,"light_rail","H Line",1994
21,26,"light_rail","H Line",1994
26,29,"light_rail","H Line",1994
29,32,"light_rail","H Line",2004
32,35,"light_rail","H Line",1994
35,38,"light_rail","H Line",1994
38,42,"light_rail","H Line",1994
42,46,"light_rail","H Line",1994
46,50,"light_rail","H Line",1994
50,65,"light_rail","H Line",1994
65,68,"light_rail","H Line",2006
68,71,"light_rail","H Line",2006
71,74,"light_rail","H Line",2006
74,77,"light_rail","H Line",2006
38,42,"light_rail","L Line",1994
42,46,"light_rail","L Line",1994
46,50,"light_rail","L Line",1994
50,54,"light_rail","L Line",1994
54,55,"light_rail","L Line",1994
55,56,"light_rail","L Line",1994
56,57,"light_rail","L Line",1994
57,58,"light_rail","L Line",1995
80,83,"light_rail","R Line",2006
83,86,"light_rail","R Line",2006
86,63,"light_rail","R Line",2006
63,61,"light_rail","R Line",2006
61,59,"light_rail","R Line",2006
