"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 6",2022
2,3,"heavy_rail","Line 6",2022
3,4,"heavy_rail","Line 6",2022
4,5,"heavy_rail","Line 6",2023
5,6,"heavy_rail","Line 6",2022
6,7,"heavy_rail","Line 6",2022
7,8,"heavy_rail","Line 6",2022
8,9,"heavy_rail","Line 6",2022
9,10,"heavy_rail","Line 6",2022
10,11,"heavy_rail","Line 6",2024
11,12,"heavy_rail","Line 6",2023
12,13,"heavy_rail","Line 6",2024
13,14,"heavy_rail","Line 6",2024
14,15,"heavy_rail","Line 6",2024
15,16,"heavy_rail","Line 6",2023
