"nodeID_from","nodeID_to","mode","line","year"
23,24,"heavy_rail","Red Line",2019
24,25,"heavy_rail","Red Line",2019
25,26,"heavy_rail","Red Line",2019
26,27,"heavy_rail","Red Line",2019
27,28,"heavy_rail","Red Line",2019
28,29,"heavy_rail","Red Line",2019
29,30,"heavy_rail","Red Line",2019
30,31,"heavy_rail","Red Line",2019
31,32,"heavy_rail","Red Line",2019
32,33,"heavy_rail","Red Line",2019
33,34,"heavy_rail","Red Line",2019
34,35,"heavy_rail","Red Line",2019
35,36,"heavy_rail","Red Line",2019
36,37,"heavy_rail","Red Line",2019
37,38,"heavy_rail","Red Line",2019
38,39,"heavy_rail","Red Line",2020
39,40,"heavy_rail","Red Line",2019
1,2,"heavy_rail","Green Line",2019
2,3,"heavy_rail","Green Line",2019
3,4,"heavy_rail","Green Line",2019
4,5,"heavy_rail","Green Line",2019
5,6,"heavy_rail","Green Line",2019
6,7,"heavy_rail","Green Line",2019
7,8,"heavy_rail","Green Line",2019
8,9,"heavy_rail","Green Line",2019
9,10,"heavy_rail","Green Line",2019
10,11,"heavy_rail","Green Line",2019
12,13,"heavy_rail","Gold Line",2019
13,14,"heavy_rail","Gold Line",2019
14,15,"heavy_rail","Gold Line",2019
15,16,"heavy_rail","Gold Line",2019
16,17,"heavy_rail","Gold Line",2019
17,18,"heavy_rail","Gold Line",2019
18,19,"heavy_rail","Gold Line",2019
19,20,"heavy_rail","Gold Line",2019
20,21,"heavy_rail","Gold Line",2019
21,22,"heavy_rail","Gold Line",2019
49,51,"tram","Blue Line",2019
51,53,"tram","Blue Line",2019
53,55,"tram","Blue Line",2019
55,57,"tram","Blue Line",2019
57,58,"tram","Blue Line",2019
58,59,"tram","Blue Line",2019
41,42,"tram","Yellow Line",2021
42,43,"tram","Yellow Line",2021
43,44,"tram","Yellow Line",2021
44,45,"tram","Yellow Line",2021
45,46,"tram","Yellow Line",2021
46,47,"tram","Yellow Line",2021
47,48,"tram","Yellow Line",2021
48,49,"tram","Yellow Line",2021
49,51,"tram","Yellow Line",2019
51,53,"tram","Yellow Line",2019
53,55,"tram","Yellow Line",2019
67,68,"tram","Orange Line",2022
68,69,"tram","Orange Line",2022
60,61,"tram","Msheireb Tram",2019
61,62,"tram","Msheireb Tram",2019
62,63,"tram","Msheireb Tram",2019
63,64,"tram","Msheireb Tram",2019
64,65,"tram","Msheireb Tram",2019
65,66,"tram","Msheireb Tram",2019
