"nodeID_from","nodeID_to","mode","line","year"
5,6,"tram","Green",2004
6,7,"tram","Green",2004
7,8,"tram","Green",2004
8,9,"tram","Green",2004
9,10,"tram","Green",2002
10,11,"tram","Green",2004
11,12,"tram","Green",2004
12,13,"tram","Green",2004
13,14,"tram","Green",2002
14,15,"tram","Green",2004
15,16,"tram","Green",2004
16,17,"tram","Green",2004
17,18,"tram","Green",2004
18,19,"tram","Green",2010
19,20,"tram","Green",2010
20,21,"tram","Green",2010
21,22,"tram","Green",2010
1,2,"commuter_rail","DART",1855
2,3,"commuter_rail","DART",1854
3,24,"commuter_rail","DART",2001
3,24,"default","South Eastern Commuter",2001
