"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","1",2017
2,3,"light_rail","1",2017
3,4,"light_rail","1",2017
4,5,"light_rail","1",2017
5,6,"light_rail","1",2017
6,7,"light_rail","1",2017
7,8,"light_rail","1",2017
8,9,"light_rail","1",2017
9,10,"light_rail","1",2017
10,11,"light_rail","1",2017
11,12,"light_rail","1",2017
12,13,"light_rail","1",2017
13,14,"light_rail","1",2017
14,15,"light_rail","1",2017
15,16,"light_rail","1",2017
16,17,"light_rail","1",2017
17,18,"light_rail","1",2017
18,19,"light_rail","1",2017
19,20,"light_rail","1",2017
20,21,"light_rail","1",2017
21,22,"light_rail","1",2017
22,23,"light_rail","1",2017
23,24,"light_rail","1",2017
24,25,"light_rail","1",2017
25,26,"light_rail","1",2017
