"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","Mariatroster Bahn",1898
2,4,"default","Mariatroster Bahn",1898
4,6,"default","Mariatroster Bahn",1916
6,7,"default","Mariatroster Bahn",1900
7,10,"default","Mariatroster Bahn",1898
10,11,"default","Mariatroster Bahn",1898
11,12,"default","Mariatroster Bahn",1916
12,13,"default","Mariatroster Bahn",1898
13,14,"default","Mariatroster Bahn",1898
14,15,"default","Mariatroster Bahn",1898
15,17,"default","Mariatroster Bahn",1898
17,18,"default","Mariatroster Bahn",1898
18,19,"default","Mariatroster Bahn",1898
19,20,"default","Mariatroster Bahn",1898
3,5,"default","Linie 1",1911
5,8,"default","Linie 1",1911
8,9,"default","Linie 1",1911
9,16,"default","Linie 1",1911
16,21,"default","Linie 1",1911
21,22,"default","Linie 1",1911
22,23,"default","Linie 1",1911
23,24,"default","Linie 1",1911
24,25,"default","Linie 1",1911
25,26,"default","Linie 1",1933
26,27,"default","Linie 1",1933
27,28,"default","Linie 1",1911
28,29,"default","Linie 1",1935
29,30,"default","Linie 1",1935
30,31,"default","Linie 1",1990
31,32,"default","Linie 1",1938
32,33,"default","Linie 1",1911
33,34,"default","Linie 1",1911
34,35,"default","Linie 1",1911
35,36,"default","Linie 1",1911
36,37,"default","Linie 1",1919
37,38,"default","Linie 1",1919
38,39,"default","Linie 1",1911
39,40,"default","Linie 1",1933
40,41,"default","Linie 1",1935
41,42,"default","Linie 1",1935
42,43,"default","Linie 1",1935
43,44,"default","Linie 1",1935
44,45,"default","Linie 1",1941
45,46,"default","Linie 1",1938
46,47,"default","Linie 1",1938
47,48,"default","Linie 1",1938
48,49,"default","Linie 1",1938
49,50,"default","Linie 1",1938
50,51,"default","Linie 1",1938
51,52,"default","Linie 1",1938
52,53,"default","Linie 1",1941
53,54,"default","Linie 1",1941
54,55,"default","Linie 1",1941
55,56,"default","Linie 1",1957
56,57,"default","Linie 1",1941
57,58,"default","Linie 1",1941
58,59,"default","Linie 1",1990
59,60,"default","Linie 1",1990
60,61,"default","Linie 1",2012
61,62,"default","Linie 1",1941
62,63,"default","Linie 1",1941
63,64,"default","Linie 1",1989
64,65,"default","Linie 1",1941
65,66,"default","Linie 1",2015
66,67,"default","Linie 1",1957
67,68,"default","Linie 1",1957
68,69,"default","Linie 1",2006
69,70,"default","Linie 1",1957
70,71,"default","Linie 1",1957
71,72,"default","Linie 1",1957
72,73,"default","Linie 1",1990
73,74,"default","Linie 1",1990
74,75,"default","Linie 1",2011
75,76,"default","Linie 1",1963
76,77,"default","Linie 1",1957
