"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 1",2018
2,3,"heavy_rail","Line 1",2018
3,4,"heavy_rail","Line 1",2018
4,5,"heavy_rail","Line 1",2018
5,6,"heavy_rail","Line 1",2018
6,7,"heavy_rail","Line 1",2018
7,8,"heavy_rail","Line 1",2018
8,9,"heavy_rail","Line 1",2018
9,10,"heavy_rail","Line 1",2018
10,11,"heavy_rail","Line 1",2018
11,12,"heavy_rail","Line 1",2017
12,13,"heavy_rail","Line 1",2017
13,14,"heavy_rail","Line 1",2017
14,15,"heavy_rail","Line 1",2017
15,16,"heavy_rail","Line 1",2017
16,17,"heavy_rail","Line 1",2017
17,18,"heavy_rail","Line 1",2017
18,19,"heavy_rail","Line 1",2017
19,20,"heavy_rail","Line 1",2018
20,21,"heavy_rail","Line 1",2017
21,22,"heavy_rail","Line 1",2017
22,23,"heavy_rail","Line 1",2019
24,25,"heavy_rail","Line 2",2021
25,26,"heavy_rail","Line 2",2021
26,27,"heavy_rail","Line 2",2021
27,28,"heavy_rail","Line 2",2021
28,29,"heavy_rail","Line 2",2021
29,30,"heavy_rail","Line 2",2021
30,31,"heavy_rail","Line 2",2021
31,32,"heavy_rail","Line 2",2021
32,33,"heavy_rail","Line 2",2021
33,34,"heavy_rail","Line 2",2021
34,35,"heavy_rail","Line 2",2021
35,36,"heavy_rail","Line 2",2021
36,37,"heavy_rail","Line 2",2021
37,38,"heavy_rail","Line 2",2021
38,39,"heavy_rail","Line 2",2021
39,40,"heavy_rail","Line 2",2021
40,41,"heavy_rail","Line 2",2021
41,42,"heavy_rail","Line 2",2021
42,43,"heavy_rail","Line 2",2021
43,44,"heavy_rail","Line 2",2021
44,45,"heavy_rail","Line 2",2021
45,46,"heavy_rail","Line 2",2021
46,47,"heavy_rail","Line 2",2021
47,48,"heavy_rail","Line 2",2021
48,49,"heavy_rail","Line 2",2021
49,50,"heavy_rail","Line 2",2021
50,51,"heavy_rail","Line 2",2021
51,52,"heavy_rail","Line 2",2021
52,53,"heavy_rail","Line 2",2021
53,54,"heavy_rail","Line 2",2021
