"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
2,3,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
3,4,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
4,5,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
5,6,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
6,7,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
7,8,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
8,9,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
9,10,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
10,11,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
11,12,"heavy_rail","Line 2A - Cát Linh Line (C)",2022
13,14,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
14,15,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
15,16,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
16,17,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
17,18,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
18,19,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
19,20,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
20,21,"heavy_rail","Line 3 - Văn Miếu Line (V)",2023
21,22,"heavy_rail","Line 3 - Văn Miếu Line (V)",2024
22,23,"heavy_rail","Line 3 - Văn Miếu Line (V)",2024
23,24,"heavy_rail","Line 3 - Văn Miếu Line (V)",2024
