"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Metro",NA
2,3,"heavy_rail","Metro",NA
3,4,"heavy_rail","Metro",NA
4,5,"heavy_rail","Metro",NA
5,6,"heavy_rail","Metro",NA
6,7,"heavy_rail","Metro",NA
7,8,"heavy_rail","Metro",NA
8,9,"heavy_rail","Metro",NA
9,10,"heavy_rail","Metro",NA
10,11,"heavy_rail","Metro",NA
11,12,"heavy_rail","Metro",NA
12,13,"heavy_rail","Metro",NA
13,14,"heavy_rail","Metro",NA
14,15,"heavy_rail","Metro",NA
15,16,"heavy_rail","Metro",NA
16,17,"heavy_rail","Metro",NA
17,18,"heavy_rail","Metro",NA
18,19,"heavy_rail","Metro",NA
19,20,"heavy_rail","Metro",NA
20,21,"heavy_rail","Metro",NA
21,22,"heavy_rail","Metro",NA
22,23,"heavy_rail","Metro",NA
23,24,"heavy_rail","Metro",NA
24,25,"heavy_rail","Metro",NA
25,26,"heavy_rail","Metro",NA
26,27,"heavy_rail","Metro",NA
27,28,"heavy_rail","Metro",NA
28,29,"heavy_rail","Metro",NA
29,30,"heavy_rail","Metro",NA
30,31,"heavy_rail","Metro",NA
31,32,"heavy_rail","Metro",NA
32,33,"heavy_rail","Metro",NA
33,34,"heavy_rail","Metro",NA
34,35,"heavy_rail","Metro",NA
35,36,"heavy_rail","Metro",NA
36,37,"heavy_rail","Metro",NA
37,38,"heavy_rail","Metro",NA
38,39,"heavy_rail","Metro",NA
39,40,"heavy_rail","Metro",NA
40,41,"heavy_rail","Metro",1989
41,42,"heavy_rail","Metro",NA
42,43,"heavy_rail","Metro",NA
43,44,"heavy_rail","Metro",NA
44,45,"heavy_rail","Metro",NA
45,46,"heavy_rail","Metro",NA
46,47,"heavy_rail","Metro",NA
47,48,"heavy_rail","Metro",NA
48,49,"heavy_rail","Metro",NA
49,200,"heavy_rail","Metro",NA
200,201,"heavy_rail","Metro",2022
201,202,"heavy_rail","Metro",2022
202,203,"heavy_rail","Metro",2022
203,204,"heavy_rail","Metro",2022
204,473,"heavy_rail","Metro",2022
473,474,"heavy_rail","Metro",1995
50,51,"commuter_rail","Coastal Line",NA
51,98,"commuter_rail","Coastal Line",NA
98,99,"commuter_rail","Coastal Line",NA
99,100,"commuter_rail","Coastal Line",NA
100,101,"commuter_rail","Coastal Line",NA
101,107,"commuter_rail","Coastal Line",NA
107,108,"commuter_rail","Coastal Line",NA
108,110,"commuter_rail","Coastal Line",NA
110,111,"commuter_rail","Coastal Line",NA
111,112,"commuter_rail","Coastal Line",NA
112,113,"commuter_rail","Coastal Line",NA
113,114,"commuter_rail","Coastal Line",NA
114,115,"commuter_rail","Coastal Line",NA
115,116,"commuter_rail","Coastal Line",NA
116,117,"commuter_rail","Coastal Line",NA
117,118,"commuter_rail","Coastal Line",NA
118,119,"commuter_rail","Coastal Line",NA
119,120,"commuter_rail","Coastal Line",NA
120,121,"commuter_rail","Coastal Line",NA
121,122,"commuter_rail","Coastal Line",NA
122,123,"commuter_rail","Coastal Line",NA
123,124,"commuter_rail","Coastal Line",NA
124,125,"commuter_rail","Coastal Line",NA
125,126,"commuter_rail","Coastal Line",NA
126,127,"commuter_rail","Coastal Line",NA
127,128,"commuter_rail","Coastal Line",NA
128,129,"commuter_rail","Coastal Line",NA
129,130,"commuter_rail","Coastal Line",NA
130,131,"commuter_rail","Coastal Line",NA
131,132,"commuter_rail","Coastal Line",NA
132,133,"commuter_rail","Coastal Line",NA
133,134,"commuter_rail","Coastal Line",NA
134,135,"commuter_rail","Coastal Line",NA
135,136,"commuter_rail","Coastal Line",NA
136,142,"commuter_rail","Coastal Line",NA
142,143,"commuter_rail","Coastal Line",NA
143,144,"commuter_rail","Coastal Line",NA
144,145,"commuter_rail","Coastal Line",NA
145,146,"commuter_rail","Coastal Line",NA
146,147,"commuter_rail","Coastal Line",NA
147,148,"commuter_rail","Coastal Line",NA
148,149,"commuter_rail","Coastal Line",NA
149,150,"commuter_rail","Coastal Line",NA
150,151,"commuter_rail","Coastal Line",NA
151,152,"commuter_rail","Coastal Line",NA
152,153,"commuter_rail","Coastal Line",NA
