"nodeID_from","nodeID_to","mode","line","year"
33,34,"heavy_rail","Island Line",1986
34,35,"heavy_rail","Island Line",2015
35,36,"heavy_rail","Island Line",2014
36,37,"heavy_rail","Island Line",2014
37,38,"heavy_rail","Island Line",1985
38,39,"heavy_rail","Island Line",1985
39,112,"heavy_rail","Island Line",1985
112,113,"heavy_rail","Island Line",1986
113,114,"heavy_rail","Island Line",1985
114,115,"heavy_rail","Island Line",1985
115,116,"heavy_rail","Island Line",1985
116,117,"heavy_rail","Island Line",1985
117,118,"heavy_rail","Island Line",1985
118,119,"heavy_rail","Island Line",1985
119,120,"heavy_rail","Island Line",1985
120,121,"heavy_rail","Island Line",1985
2,51,"commuter_rail","East Rail Line",2007
51,52,"commuter_rail","East Rail Line",1985
52,53,"commuter_rail","East Rail Line",1978
53,54,"commuter_rail","East Rail Line",1910
54,55,"commuter_rail","East Rail Line",1982
55,99,"commuter_rail","East Rail Line",1910
99,123,"commuter_rail","East Rail Line",2007
123,124,"commuter_rail","East Rail Line",2022
124,133,"commuter_rail","East Rail Line",2022
133,134,"commuter_rail","East Rail Line",1983
134,135,"commuter_rail","East Rail Line",1982
135,132,"commuter_rail","East Rail Line",1975
19,20,"heavy_rail","Tsuen Wan Line",1979
20,21,"heavy_rail","Tsuen Wan Line",1979
21,22,"heavy_rail","Tsuen Wan Line",1985
22,23,"heavy_rail","Tsuen Wan Line",1985
23,24,"heavy_rail","Tsuen Wan Line",1982
24,25,"heavy_rail","Tsuen Wan Line",1982
25,26,"heavy_rail","Tsuen Wan Line",1982
26,27,"heavy_rail","Tsuen Wan Line",1982
27,28,"heavy_rail","Tsuen Wan Line",1985
28,29,"heavy_rail","Tsuen Wan Line",1982
29,30,"heavy_rail","Tsuen Wan Line",1982
30,31,"heavy_rail","Tsuen Wan Line",1982
31,32,"heavy_rail","Tsuen Wan Line",1982
32,101,"heavy_rail","Tsuen Wan Line",1982
101,102,"heavy_rail","Tsuen Wan Line",1979
102,103,"heavy_rail","Tsuen Wan Line",1979
103,104,"heavy_rail","Tsuen Wan Line",1985
104,105,"heavy_rail","Tsuen Wan Line",1980
105,108,"heavy_rail","Tsuen Wan Line",1980
1,3,"heavy_rail","Kwun Tong Line",2016
3,4,"heavy_rail","Kwun Tong Line",2016
4,5,"heavy_rail","Kwun Tong Line",1985
5,6,"heavy_rail","Kwun Tong Line",1985
6,7,"heavy_rail","Kwun Tong Line",1982
7,8,"heavy_rail","Kwun Tong Line",1979
8,9,"heavy_rail","Kwun Tong Line",1979
9,10,"heavy_rail","Kwun Tong Line",1979
10,11,"heavy_rail","Kwun Tong Line",1979
11,12,"heavy_rail","Kwun Tong Line",1979
12,13,"heavy_rail","Kwun Tong Line",1979
13,14,"heavy_rail","Kwun Tong Line",1979
14,15,"heavy_rail","Kwun Tong Line",1979
15,16,"heavy_rail","Kwun Tong Line",1989
16,17,"heavy_rail","Kwun Tong Line",2002
17,18,"heavy_rail","Kwun Tong Line",2002
18,106,"heavy_rail","Kwun Tong Line",1979
106,107,"heavy_rail","Kwun Tong Line",1982
107,109,"heavy_rail","Kwun Tong Line",1982
109,110,"heavy_rail","Kwun Tong Line",1989
48,49,"heavy_rail","Tseung Kwan O Line",2002
49,50,"heavy_rail","Tseung Kwan O Line",2002
50,56,"heavy_rail","Tseung Kwan O Line",2002
56,57,"heavy_rail","Tseung Kwan O Line",2002
57,58,"heavy_rail","Tseung Kwan O Line",2002
58,59,"heavy_rail","Tseung Kwan O Line",2002
59,111,"heavy_rail","Tseung Kwan O Line",2009
40,41,"commuter_rail","Tung Chung Line",1998
41,42,"commuter_rail","Tung Chung Line",1998
42,43,"commuter_rail","Tung Chung Line",1998
43,44,"commuter_rail","Tung Chung Line",2003
44,45,"commuter_rail","Tung Chung Line",1998
45,46,"commuter_rail","Tung Chung Line",1998
46,47,"commuter_rail","Tung Chung Line",2005
73,74,"heavy_rail","Disneyland Resort Line",2005
68,69,"commuter_rail","Airport Express",1998
69,70,"commuter_rail","Airport Express",1998
70,71,"commuter_rail","Airport Express",1998
71,72,"commuter_rail","Airport Express",1998
60,78,"commuter_rail","West Rail Line",2009
78,79,"commuter_rail","West Rail Line",2003
79,80,"commuter_rail","West Rail Line",2003
80,81,"commuter_rail","West Rail Line",2003
81,82,"commuter_rail","West Rail Line",2003
82,83,"commuter_rail","West Rail Line",2003
83,84,"commuter_rail","West Rail Line",2003
84,130,"commuter_rail","West Rail Line",2009
130,131,"commuter_rail","West Rail Line",2003
131,132,"commuter_rail","West Rail Line",2003
61,62,"heavy_rail","Tuen Ma Line",2020
62,63,"heavy_rail","Tuen Ma Line",2020
63,75,"heavy_rail","Tuen Ma Line",2020
75,76,"heavy_rail","Tuen Ma Line",2004
76,77,"heavy_rail","Tuen Ma Line",2004
77,125,"heavy_rail","Tuen Ma Line",2004
125,126,"heavy_rail","Tuen Ma Line",2021
126,127,"heavy_rail","Tuen Ma Line",2021
127,128,"heavy_rail","Tuen Ma Line",2021
128,236,"heavy_rail","Tuen Ma Line",2021
236,239,"heavy_rail","Tuen Ma Line",2004
239,242,"heavy_rail","Tuen Ma Line",2004
242,245,"heavy_rail","Tuen Ma Line",2004
245,248,"heavy_rail","Tuen Ma Line",2004
