"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Red Line",2004
2,3,"light_rail","Red Line",2004
3,4,"light_rail","Red Line",2004
4,5,"light_rail","Red Line",2004
5,6,"light_rail","Red Line",2004
6,7,"light_rail","Red Line",2004
7,8,"light_rail","Red Line",2004
8,9,"light_rail","Red Line",2004
9,10,"light_rail","Red Line",2004
10,11,"light_rail","Red Line",2004
11,12,"light_rail","Red Line",2004
12,13,"light_rail","Red Line",2004
13,14,"light_rail","Red Line",2004
14,15,"light_rail","Red Line",2004
15,16,"light_rail","Red Line",2004
16,17,"light_rail","Red Line",2004
17,18,"light_rail","Red Line",2004
18,19,"light_rail","Red Line",2004
19,20,"light_rail","Red Line",2013
20,21,"light_rail","Red Line",2013
21,22,"light_rail","Red Line",2013
22,23,"light_rail","Red Line",2013
23,24,"light_rail","Red Line",2013
24,25,"light_rail","Red Line",2013
25,26,"light_rail","Red Line",2013
27,29,"light_rail","Purple Line",2015
29,31,"light_rail","Purple Line",2015
31,33,"light_rail","Purple Line",2015
33,35,"light_rail","Purple Line",2015
35,37,"light_rail","Purple Line",2015
37,39,"light_rail","Purple Line",2015
39,41,"light_rail","Purple Line",2015
41,42,"light_rail","Purple Line",2015
42,43,"light_rail","Purple Line",2015
43,44,"light_rail","Purple Line",2015
27,29,"light_rail","Green Line",2015
29,31,"light_rail","Green Line",2015
31,33,"light_rail","Green Line",2015
33,35,"light_rail","Green Line",2015
35,37,"light_rail","Green Line",2015
37,39,"light_rail","Green Line",2015
