"nodeID_from","nodeID_to","mode","line","year"
4,5,"heavy_rail","Red Line",2018
5,6,"heavy_rail","Red Line",2018
6,7,"heavy_rail","Red Line",2018
7,14,"heavy_rail","Red Line",2018
14,15,"heavy_rail","Red Line",2018
15,16,"heavy_rail","Red Line",2018
16,17,"heavy_rail","Red Line",2018
17,18,"heavy_rail","Red Line",2018
18,19,"heavy_rail","Red Line",2018
19,20,"heavy_rail","Red Line",2018
20,21,"heavy_rail","Red Line",2018
21,22,"heavy_rail","Red Line",2018
22,23,"heavy_rail","Red Line",2018
23,24,"heavy_rail","Red Line",2018
24,25,"heavy_rail","Red Line",2018
25,26,"heavy_rail","Red Line",2018
26,27,"heavy_rail","Red Line",2017
27,51,"heavy_rail","Red Line",2017
51,52,"heavy_rail","Red Line",2017
52,53,"heavy_rail","Red Line",2017
53,54,"heavy_rail","Red Line",2017
54,55,"heavy_rail","Red Line",2017
55,56,"heavy_rail","Red Line",2017
56,57,"heavy_rail","Red Line",2017
57,58,"heavy_rail","Red Line",2017
28,29,"heavy_rail","Blue Line",2019
29,30,"heavy_rail","Blue Line",2019
30,31,"heavy_rail","Blue Line",2019
31,32,"heavy_rail","Blue Line",NA
32,33,"heavy_rail","Blue Line",2019
33,34,"heavy_rail","Blue Line",2019
34,35,"heavy_rail","Blue Line",2019
35,36,"heavy_rail","Blue Line",2019
36,37,"heavy_rail","Blue Line",2019
37,38,"heavy_rail","Blue Line",2019
38,39,"heavy_rail","Blue Line",2017
39,40,"heavy_rail","Blue Line",2017
40,41,"heavy_rail","Blue Line",2017
41,42,"heavy_rail","Blue Line",2017
42,43,"heavy_rail","Blue Line",2017
43,44,"heavy_rail","Blue Line",2017
44,45,"heavy_rail","Blue Line",2017
45,46,"heavy_rail","Blue Line",2017
46,47,"heavy_rail","Blue Line",2017
47,48,"heavy_rail","Blue Line",2017
48,49,"heavy_rail","Blue Line",2017
49,50,"heavy_rail","Blue Line",2017
1,2,"heavy_rail","Green Line",2020
2,3,"heavy_rail","Green Line",2020
3,8,"heavy_rail","Green Line",2020
8,9,"heavy_rail","Green Line",2020
9,10,"heavy_rail","Green Line",2020
10,11,"heavy_rail","Green Line",2020
11,12,"heavy_rail","Green Line",2020
12,13,"heavy_rail","Green Line",2020
