"nodeID_from","nodeID_to","mode","line","year"
1,2,"brt","1 Saddar – Pak Secretariat",2015
2,3,"brt","1 Saddar – Pak Secretariat",2015
3,4,"brt","1 Saddar – Pak Secretariat",2015
4,5,"brt","1 Saddar – Pak Secretariat",2015
5,6,"brt","1 Saddar – Pak Secretariat",2015
6,7,"brt","1 Saddar – Pak Secretariat",2015
7,8,"brt","1 Saddar – Pak Secretariat",2015
8,9,"brt","1 Saddar – Pak Secretariat",2015
9,10,"brt","1 Saddar – Pak Secretariat",2015
10,11,"brt","1 Saddar – Pak Secretariat",2015
11,12,"brt","1 Saddar – Pak Secretariat",2015
12,13,"brt","1 Saddar – Pak Secretariat",2015
13,14,"brt","1 Saddar – Pak Secretariat",2015
14,15,"brt","1 Saddar – Pak Secretariat",2015
15,16,"brt","1 Saddar – Pak Secretariat",2015
16,17,"brt","1 Saddar – Pak Secretariat",2015
17,18,"brt","1 Saddar – Pak Secretariat",2015
18,19,"brt","1 Saddar – Pak Secretariat",2015
19,20,"brt","1 Saddar – Pak Secretariat",2015
20,21,"brt","1 Saddar – Pak Secretariat",2015
21,22,"brt","1 Saddar – Pak Secretariat",2015
22,23,"brt","1 Saddar – Pak Secretariat",2015
23,24,"brt","1 Saddar – Pak Secretariat",2015
10,26,"brt","2 Peshawar Morr – Airport",2015
26,27,"brt","2 Peshawar Morr – Airport",2022
27,28,"brt","2 Peshawar Morr – Airport",2022
28,29,"brt","2 Peshawar Morr – Airport",2022
29,30,"brt","2 Peshawar Morr – Airport",2022
30,31,"brt","2 Peshawar Morr – Airport",2022
31,32,"brt","2 Peshawar Morr – Airport",2022
