"nodeID_from","nodeID_to","mode","line","year"
7,8,"brt","TJ koridor 1",2004
8,9,"brt","TJ koridor 1",2004
9,10,"brt","TJ koridor 1",2004
10,11,"brt","TJ koridor 1",2004
11,12,"brt","TJ koridor 1",2004
12,13,"brt","TJ koridor 1",2004
13,14,"brt","TJ koridor 1",2004
14,15,"brt","TJ koridor 1",2004
15,17,"brt","TJ koridor 1",2004
17,18,"brt","TJ koridor 1",2004
18,19,"brt","TJ koridor 1",2004
19,22,"brt","TJ koridor 1",2004
22,24,"brt","TJ koridor 1",2014
24,25,"brt","TJ koridor 1",2004
25,27,"brt","TJ koridor 1",2014
27,28,"brt","TJ koridor 1",2004
28,30,"brt","TJ koridor 1",2004
30,32,"brt","TJ koridor 1",2004
32,363,"brt","TJ koridor 1",2004
363,364,"brt","TJ koridor 1",2019
364,365,"brt","TJ koridor 1",2004
365,366,"brt","TJ koridor 1",2004
366,380,"brt","TJ koridor 1",2004
380,164,"brt","TJ koridor 1",2019
164,421,"brt","TJ koridor 1",2006
421,422,"brt","TJ koridor 1",2022
143,144,"brt","TJ koridor 2",2006
144,145,"brt","TJ koridor 2",2006
145,146,"brt","TJ koridor 2",2006
146,147,"brt","TJ koridor 2",2006
147,149,"brt","TJ koridor 2",2006
149,150,"brt","TJ koridor 2",2006
150,151,"brt","TJ koridor 2",2006
151,152,"brt","TJ koridor 2",2006
152,153,"brt","TJ koridor 2",2006
153,154,"brt","TJ koridor 2",2006
154,155,"brt","TJ koridor 2",2006
155,156,"brt","TJ koridor 2",2006
156,157,"brt","TJ koridor 2",2006
157,158,"brt","TJ koridor 2",2006
158,159,"brt","TJ koridor 2",2006
159,160,"brt","TJ koridor 2",2006
160,162,"brt","TJ koridor 2",2006
162,163,"brt","TJ koridor 2",2006
163,164,"brt","TJ koridor 2",2006
164,165,"brt","TJ koridor 2",2006
165,166,"brt","TJ koridor 2",2006
166,167,"brt","TJ koridor 2",2006
167,381,"brt","TJ koridor 2",2006
381,118,"brt","TJ koridor 2",2006
160,168,"brt","TJ koridor 3",2006
168,169,"brt","TJ koridor 3",2006
169,170,"brt","TJ koridor 3",2006
170,171,"brt","TJ koridor 3",2006
171,172,"brt","TJ koridor 3",2006
172,173,"brt","TJ koridor 3",2006
173,174,"brt","TJ koridor 3",2006
174,175,"brt","TJ koridor 3",2006
175,176,"brt","TJ koridor 3",2006
176,177,"brt","TJ koridor 3",2006
177,178,"brt","TJ koridor 3",2006
178,180,"brt","TJ koridor 3",2006
180,167,"brt","TJ koridor 3",2006
167,162,"brt","TJ koridor 3",2006
162,185,"brt","TJ koridor 3",2006
35,110,"brt","TJ koridor 4",2007
110,112,"brt","TJ koridor 4",2007
112,118,"brt","TJ koridor 4",2007
118,119,"brt","TJ koridor 4",2007
119,120,"brt","TJ koridor 4",2007
120,121,"brt","TJ koridor 4",2007
121,122,"brt","TJ koridor 4",2007
122,123,"brt","TJ koridor 4",2007
123,124,"brt","TJ koridor 4",2007
124,125,"brt","TJ koridor 4",2007
125,126,"brt","TJ koridor 4",2007
126,128,"brt","TJ koridor 4",2007
128,129,"brt","TJ koridor 4",2007
129,130,"brt","TJ koridor 4",2007
130,131,"brt","TJ koridor 4",2007
131,132,"brt","TJ koridor 4",2007
67,68,"brt","TJ koridor 5",2007
68,69,"brt","TJ koridor 5",2011
69,70,"brt","TJ koridor 5",2007
70,71,"brt","TJ koridor 5",2007
71,72,"brt","TJ koridor 5",2007
72,73,"brt","TJ koridor 5",2007
73,74,"brt","TJ koridor 5",2007
74,75,"brt","TJ koridor 5",2007
75,76,"brt","TJ koridor 5",2007
76,77,"brt","TJ koridor 5",2007
77,78,"brt","TJ koridor 5",2007
78,79,"brt","TJ koridor 5",2007
79,80,"brt","TJ koridor 5",2007
80,81,"brt","TJ koridor 5",2007
81,83,"brt","TJ koridor 5",2007
83,85,"brt","TJ koridor 5",2007
85,86,"brt","TJ koridor 5",2007
132,110,"brt","TJ koridor 6",2007
110,135,"brt","TJ koridor 6",2007
135,233,"brt","TJ koridor 6",2007
233,293,"brt","TJ koridor 6",2007
293,294,"brt","TJ koridor 6",2007
294,295,"brt","TJ koridor 6",2007
295,296,"brt","TJ koridor 6",2007
296,297,"brt","TJ koridor 6",2007
297,298,"brt","TJ koridor 6",2007
298,299,"brt","TJ koridor 6",2007
299,300,"brt","TJ koridor 6",2007
300,301,"brt","TJ koridor 6",2007
301,302,"brt","TJ koridor 6",2007
302,303,"brt","TJ koridor 6",2007
303,304,"brt","TJ koridor 6",2007
304,305,"brt","TJ koridor 6",2007
305,306,"brt","TJ koridor 6",2007
306,307,"brt","TJ koridor 6",2007
307,308,"brt","TJ koridor 6",2007
204,206,"brt","TJ koridor 7",2007
206,210,"brt","TJ koridor 7",2007
210,211,"brt","TJ koridor 7",2007
211,212,"brt","TJ koridor 7",2007
