"nodeID_from","nodeID_to","mode","line","year"
27,28,"heavy_rail","Red Line",2012
28,29,"heavy_rail","Red Line",2008
29,30,"heavy_rail","Red Line",2008
30,31,"heavy_rail","Red Line",2008
31,32,"heavy_rail","Red Line",2008
32,33,"heavy_rail","Red Line",2008
33,34,"heavy_rail","Red Line",2008
34,35,"heavy_rail","Red Line",2008
35,36,"heavy_rail","Red Line",2008
36,37,"heavy_rail","Red Line",2008
37,38,"heavy_rail","Red Line",2008
38,39,"heavy_rail","Red Line",2008
39,40,"heavy_rail","Red Line",2008
40,41,"heavy_rail","Red Line",2008
41,42,"heavy_rail","Red Line",2008
42,43,"heavy_rail","Red Line",2008
43,44,"heavy_rail","Red Line",2008
44,45,"heavy_rail","Red Line",2008
45,46,"heavy_rail","Red Line",2008
46,47,"heavy_rail","Red Line",2008
47,48,"heavy_rail","Red Line",2008
48,49,"heavy_rail","Red Line",2008
49,50,"heavy_rail","Red Line",2008
51,52,"heavy_rail","Orange Line",2008
52,53,"heavy_rail","Orange Line",2008
53,54,"heavy_rail","Orange Line",2008
54,55,"heavy_rail","Orange Line",2008
55,56,"heavy_rail","Orange Line",2008
56,57,"heavy_rail","Orange Line",2008
57,58,"heavy_rail","Orange Line",2008
58,59,"heavy_rail","Orange Line",2008
59,60,"heavy_rail","Orange Line",2008
60,61,"heavy_rail","Orange Line",2008
61,62,"heavy_rail","Orange Line",2008
62,63,"heavy_rail","Orange Line",2008
63,64,"heavy_rail","Orange Line",2008
1,2,"light_rail","Green Line",2021
2,3,"light_rail","Green Line",2021
3,4,"light_rail","Green Line",2016
4,5,"light_rail","Green Line",2021
5,6,"light_rail","Green Line",2016
6,7,"light_rail","Green Line",2016
7,8,"light_rail","Green Line",2016
8,9,"light_rail","Green Line",2016
9,10,"light_rail","Green Line",2016
10,11,"light_rail","Green Line",2021
11,12,"light_rail","Green Line",2016
12,13,"light_rail","Green Line",2016
13,14,"light_rail","Green Line",2016
14,15,"light_rail","Green Line",2016
15,16,"light_rail","Green Line",2016
16,17,"light_rail","Green Line",2016
17,18,"light_rail","Green Line",2016
18,19,"light_rail","Green Line",2016
19,20,"light_rail","Green Line",2021
20,21,"light_rail","Green Line",2021
21,22,"light_rail","Green Line",2021
22,23,"light_rail","Green Line",2021
23,24,"light_rail","Green Line",2021
24,25,"light_rail","Green Line",2021
25,26,"light_rail","Green Line",2021
26,65,"light_rail","Green Line",2021
65,66,"light_rail","Green Line",2022
66,67,"light_rail","Green Line",2022
67,68,"light_rail","Green Line",2022
68,69,"light_rail","Green Line",2022
