"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Orange Line",2020
2,3,"heavy_rail","Orange Line",2020
3,4,"heavy_rail","Orange Line",2020
4,5,"heavy_rail","Orange Line",2020
5,6,"heavy_rail","Orange Line",2020
6,7,"heavy_rail","Orange Line",2020
7,8,"heavy_rail","Orange Line",2020
8,9,"heavy_rail","Orange Line",2020
9,10,"heavy_rail","Orange Line",2020
10,11,"heavy_rail","Orange Line",2020
11,12,"heavy_rail","Orange Line",2020
12,13,"heavy_rail","Orange Line",2020
13,14,"heavy_rail","Orange Line",2020
14,15,"heavy_rail","Orange Line",2020
15,16,"heavy_rail","Orange Line",2020
16,17,"heavy_rail","Orange Line",2020
17,18,"heavy_rail","Orange Line",2020
18,19,"heavy_rail","Orange Line",2020
19,20,"heavy_rail","Orange Line",2020
20,21,"heavy_rail","Orange Line",2020
21,22,"heavy_rail","Orange Line",2020
22,23,"heavy_rail","Orange Line",2020
23,24,"heavy_rail","Orange Line",2020
24,25,"heavy_rail","Orange Line",2020
25,26,"heavy_rail","Orange Line",2020
27,28,"brt","Lahore Metrobus",2013
28,29,"brt","Lahore Metrobus",2013
29,30,"brt","Lahore Metrobus",2013
30,31,"brt","Lahore Metrobus",2013
31,32,"brt","Lahore Metrobus",2013
32,33,"brt","Lahore Metrobus",2013
33,34,"brt","Lahore Metrobus",2013
34,35,"brt","Lahore Metrobus",2013
35,36,"brt","Lahore Metrobus",2013
36,37,"brt","Lahore Metrobus",2013
37,38,"brt","Lahore Metrobus",2013
38,39,"brt","Lahore Metrobus",2013
39,40,"brt","Lahore Metrobus",2013
40,41,"brt","Lahore Metrobus",2013
41,42,"brt","Lahore Metrobus",2013
42,43,"brt","Lahore Metrobus",2013
43,44,"brt","Lahore Metrobus",2013
44,45,"brt","Lahore Metrobus",2013
45,46,"brt","Lahore Metrobus",2013
46,47,"brt","Lahore Metrobus",2013
47,48,"brt","Lahore Metrobus",2013
48,49,"brt","Lahore Metrobus",2013
49,50,"brt","Lahore Metrobus",2013
50,51,"brt","Lahore Metrobus",2013
51,52,"brt","Lahore Metrobus",2013
