"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","A",2012
2,4,"light_rail","A",2012
4,6,"light_rail","A",2012
6,8,"light_rail","A",2012
8,10,"light_rail","A",2012
10,12,"light_rail","A",2012
12,14,"light_rail","A",2012
14,16,"light_rail","A",2012
16,18,"light_rail","A",2012
18,20,"light_rail","A",2012
20,22,"light_rail","A",2012
22,24,"light_rail","A",2012
24,26,"light_rail","A",2012
26,28,"light_rail","A",2012
28,29,"light_rail","A",2012
29,30,"light_rail","A",2012
30,31,"light_rail","A",2012
31,32,"light_rail","A",2012
32,33,"light_rail","A",2012
33,34,"light_rail","A",2012
34,35,"light_rail","A",2012
35,36,"light_rail","A",2012
36,37,"light_rail","A",2012
37,38,"light_rail","A",2012
38,39,"light_rail","A",2012
39,40,"light_rail","A",2012
40,41,"light_rail","A",2012
2,4,"light_rail","B",2012
4,6,"light_rail","B",2012
6,8,"light_rail","B",2012
8,10,"light_rail","B",2012
10,12,"light_rail","B",2012
12,14,"light_rail","B",2012
14,16,"light_rail","B",2012
16,18,"light_rail","B",2012
18,20,"light_rail","B",2012
20,22,"light_rail","B",2012
22,24,"light_rail","B",2012
24,26,"light_rail","B",2012
26,42,"light_rail","B",2012
42,43,"light_rail","B",2012
43,44,"light_rail","B",2012
44,45,"light_rail","B",2012
45,46,"light_rail","B",2012
