"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","T1",2007
2,3,"light_rail","T1",2007
3,4,"light_rail","T1",2007
4,5,"light_rail","T1",2007
5,6,"light_rail","T1",2007
6,7,"light_rail","T1",2007
7,8,"light_rail","T1",2007
8,9,"light_rail","T1",2007
9,10,"light_rail","T1",2007
10,11,"light_rail","T1",2007
11,12,"light_rail","T1",2007
12,13,"light_rail","T1",2007
13,14,"light_rail","T1",2007
14,15,"light_rail","T1",2007
15,16,"light_rail","T1",2007
16,17,"light_rail","T1",2007
17,18,"light_rail","T1",2007
18,19,"light_rail","T1",2007
19,20,"light_rail","T1",2007
20,22,"light_rail","T1",2007
22,24,"light_rail","T1",2007
24,26,"light_rail","T1",2007
26,28,"light_rail","T1",2007
28,30,"light_rail","T1",2007
30,32,"light_rail","T1",2007
32,34,"light_rail","T1",2007
34,36,"light_rail","T1",2007
36,38,"light_rail","T1",2007
38,40,"light_rail","T1",2007
40,42,"light_rail","T1",2007
42,44,"light_rail","T1",2007
44,46,"light_rail","T1",2007
46,58,"light_rail","T1",2007
58,59,"light_rail","T1",2007
59,60,"light_rail","T1",2007
60,61,"light_rail","T1",2007
61,62,"light_rail","T1",2007
62,63,"light_rail","T1",2007
63,64,"light_rail","T1",2007
64,65,"light_rail","T1",2007
65,66,"light_rail","T1",2007
66,67,"light_rail","T1",2007
67,68,"light_rail","T1",2007
68,69,"light_rail","T1",2007
69,70,"light_rail","T1",2007
20,22,"light_rail","T2",2007
22,24,"light_rail","T2",2007
24,26,"light_rail","T2",2007
26,28,"light_rail","T2",2007
28,30,"light_rail","T2",2007
30,32,"light_rail","T2",2007
32,34,"light_rail","T2",2007
34,36,"light_rail","T2",2007
36,38,"light_rail","T2",2007
38,40,"light_rail","T2",2007
40,42,"light_rail","T2",2007
42,44,"light_rail","T2",2007
44,46,"light_rail","T2",2007
46,48,"light_rail","T2",2007
48,49,"light_rail","T2",2007
49,50,"light_rail","T2",2007
50,51,"light_rail","T2",2007
51,52,"light_rail","T2",2007
52,53,"light_rail","T2",2007
53,54,"light_rail","T2",2007
54,55,"light_rail","T2",2007
55,56,"light_rail","T2",2007
56,57,"light_rail","T2",2007
