"nodeID_from","nodeID_to","mode","line","year"
16,18,"heavy_rail","M1",1983
18,19,"heavy_rail","M1",1983
19,20,"heavy_rail","M1",1983
20,21,"heavy_rail","M1",1983
21,22,"heavy_rail","M1",1983
22,23,"heavy_rail","M1",1984
23,24,"heavy_rail","M1",1984
11,12,"heavy_rail","M2",2000
12,13,"heavy_rail","M2",1999
13,14,"heavy_rail","M2",2000
14,15,"heavy_rail","M2",2000
15,17,"heavy_rail","M2",2000
17,25,"heavy_rail","M2",1989
25,26,"heavy_rail","M2",1989
26,27,"heavy_rail","M2",1989
27,28,"heavy_rail","M2",1989
28,29,"heavy_rail","M2",1989
29,30,"heavy_rail","M2",1989
30,31,"heavy_rail","M2",1989
31,32,"heavy_rail","M2",1989
32,33,"heavy_rail","M2",1989
33,34,"heavy_rail","M2",1989
34,35,"heavy_rail","M2",1995
1,3,"light_rail","R",1909
3,5,"light_rail","R",1909
5,7,"light_rail","R",1909
7,9,"light_rail","R",1909
1,3,"light_rail","T",1909
3,5,"light_rail","T",1909
5,7,"light_rail","T",1909
7,9,"light_rail","T",1909
