"nodeID_from","nodeID_to","mode","line","year"
6,7,"default","Línea 1 (Tramo 1A)",2011
7,9,"default","Línea 1 (Tramo 1A)",2011
9,10,"default","Línea 1 (Tramo 1A)",2011
10,11,"default","Línea 1 (Tramo 1A)",2011
11,12,"default","Línea 1 (Tramo 1A)",2011
12,31,"default","Línea 1 (Tramo 1A)",2011
2,3,"default","Línea 2 (Tramo 1A)",999999
3,4,"default","Línea 2 (Tramo 1A)",999999
4,5,"default","Línea 2 (Tramo 1A)",999999
5,13,"default","Línea 2 (Tramo 1A)",999999
17,20,"default","Línea 1 (Tramo 1B)",2011
20,21,"default","Línea 1 (Tramo 1B)",2011
21,22,"default","Línea 1 (Tramo 1B)",2011
22,23,"default","Línea 1 (Tramo 1B)",2011
23,24,"default","Línea 1 (Tramo 1B)",2011
24,25,"default","Línea 1 (Tramo 1B)",2011
25,26,"default","Línea 1 (Tramo 1B)",2011
26,27,"default","Línea 1 (Tramo 1B)",2011
1,8,"default","Línea 1 (Tramo 2)",2014
8,14,"default","Línea 1 (Tramo 2)",2014
14,15,"default","Línea 1 (Tramo 2)",2014
15,16,"default","Línea 1 (Tramo 2)",2014
16,18,"default","Línea 1 (Tramo 2)",2014
18,19,"default","Línea 1 (Tramo 2)",2014
19,28,"default","Línea 1 (Tramo 2)",2014
28,29,"default","Línea 1 (Tramo 2)",2014
29,30,"default","Línea 1 (Tramo 2)",2014
