"nodeID_from","nodeID_to","mode","line","year"
1,2,"default","Azul",2007
2,3,"default","Azul",1998
3,4,"default","Azul",1959
4,5,"default","Azul",1959
5,6,"default","Azul",1959
6,9,"default","Azul",1959
9,13,"default","Azul",1959
13,14,"default","Azul",2007
14,15,"default","Azul",1959
15,28,"default","Azul",1959
28,29,"default","Azul",1982
29,30,"default","Azul",1997
30,33,"default","Azul",2004
33,34,"default","Azul",1959
34,35,"default","Azul",1959
35,37,"default","Azul",1963
37,38,"default","Azul",1966
38,41,"default","Azul",1972
41,44,"default","Azul",1997
44,45,"default","Azul",2004
45,46,"default","Azul",1982
46,49,"default","Azul",1959
49,51,"default","Azul",1959
51,52,"default","Azul",1966
7,11,"default","Vermelha",1998
11,16,"default","Vermelha",2009
16,19,"default","Vermelha",2012
19,24,"default","Vermelha",2009
8,10,"default","Verde",1998
10,17,"default","Verde",1998
17,18,"default","Verde",1998
18,20,"default","Verde",1998
20,27,"default","Verde",1998
27,36,"default","Verde",2002
36,48,"default","Verde",1998
48,50,"default","Verde",1998
12,21,"default","Amarela",1995
21,22,"default","Amarela",1995
22,23,"default","Amarela",1997
23,25,"default","Amarela",1995
25,26,"default","Amarela",2004
26,31,"default","Amarela",2004
31,32,"default","Amarela",1995
32,42,"default","Amarela",1995
42,43,"default","Amarela",2004
43,47,"default","Amarela",2004
39,55,"default","Cais do Sodré",1928
53,54,"default","Santa Apolónia",1865
