"nodeID_from","nodeID_to","mode","line","year"
48,82,"heavy_rail","Northern",1926
82,83,"heavy_rail","Northern",1926
83,84,"heavy_rail","Northern",1926
84,85,"heavy_rail","Northern",1900
85,87,"heavy_rail","Northern",1890
87,88,"heavy_rail","Northern",1890
88,89,"heavy_rail","Northern",1926
89,90,"heavy_rail","Northern",1926
90,91,"heavy_rail","Northern",1890
91,93,"heavy_rail","Northern",1926
93,94,"heavy_rail","Northern",1926
94,97,"heavy_rail","Northern",1926
97,103,"heavy_rail","Northern",1890
103,106,"heavy_rail","Northern",1890
106,107,"heavy_rail","Northern",1900
107,197,"heavy_rail","Northern",1900
197,198,"heavy_rail","Northern",1907
198,199,"heavy_rail","Northern",1907
199,200,"heavy_rail","Northern",1923
200,201,"heavy_rail","Northern",1924
201,202,"heavy_rail","Northern",1924
202,212,"heavy_rail","Northern",1907
212,213,"heavy_rail","Northern",1867
213,234,"heavy_rail","Northern",1933
234,235,"heavy_rail","Northern",1907
235,237,"heavy_rail","Northern",1907
237,240,"heavy_rail","Northern",1923
240,243,"heavy_rail","Northern",1924
243,252,"heavy_rail","Northern",1907
252,258,"heavy_rail","Northern",1906
258,265,"heavy_rail","Northern",1906
265,266,"heavy_rail","Northern",1907
266,270,"heavy_rail","Northern",1907
270,275,"heavy_rail","Northern",1907
275,276,"heavy_rail","Northern",1907
276,277,"heavy_rail","Northern",1901
277,278,"heavy_rail","Northern",1907
278,279,"heavy_rail","Northern",1907
279,280,"heavy_rail","Northern",1907
280,286,"heavy_rail","Northern",1901
286,287,"heavy_rail","Northern",1867
287,288,"heavy_rail","Northern",1940
288,289,"heavy_rail","Northern",1867
289,290,"heavy_rail","Northern",1872
290,332,"heavy_rail","Northern",1940
332,488,"heavy_rail","Northern",1872
488,512,"heavy_rail","Northern",2020
512,478,"heavy_rail","Northern",2020
478,498,"heavy_rail","Northern",1864
498,319,"heavy_rail","Northern",1863
4,9,"heavy_rail","Central",1947
9,72,"heavy_rail","Central",1900
72,73,"heavy_rail","Central",1947
73,76,"heavy_rail","Central",1947
76,77,"heavy_rail","Central",1948
77,78,"heavy_rail","Central",1947
78,104,"heavy_rail","Central",1948
104,134,"heavy_rail","Central",1947
134,160,"heavy_rail","Central",1948
160,170,"heavy_rail","Central",1947
170,171,"heavy_rail","Central",1947
171,172,"heavy_rail","Central",1947
172,173,"heavy_rail","Central",1948
173,174,"heavy_rail","Central",1948
174,183,"heavy_rail","Central",1948
183,209,"heavy_rail","Central",1947
209,302,"heavy_rail","Central",1865
302,303,"heavy_rail","Central",1900
303,304,"heavy_rail","Central",1900
304,305,"heavy_rail","Central",1900
305,319,"heavy_rail","Central",1900
319,326,"heavy_rail","Central",1898
326,329,"heavy_rail","Central",1856
329,330,"heavy_rail","Central",1900
330,336,"heavy_rail","Central",1900
336,337,"heavy_rail","Central",1900
337,338,"heavy_rail","Central",1900
338,339,"heavy_rail","Central",1900
339,359,"heavy_rail","Central",1900
359,360,"heavy_rail","Central",1920
360,361,"heavy_rail","Central",1947
361,362,"heavy_rail","Central",1923
362,363,"heavy_rail","Central",1923
363,364,"heavy_rail","Central",1947
364,365,"heavy_rail","Central",1948
365,366,"heavy_rail","Central",1948
366,367,"heavy_rail","Central",1946
367,381,"heavy_rail","Central",1946
381,401,"heavy_rail","Central",1906
401,632,"heavy_rail","Central",1946
632,633,"heavy_rail","Central",1856
633,634,"heavy_rail","Central",1865
634,422,"heavy_rail","Central",1865
422,696,"heavy_rail","Central",1838
696,465,"heavy_rail","Central",1903
465,559,"heavy_rail","Central",1875
NA,636,"heavy_rail","Central",NA
461,559,"heavy_rail","Circle",1868
559,750,"heavy_rail","Circle",1884
750,313,"heavy_rail","Circle",1868
313,756,"heavy_rail","Circle",1868
756,758,"heavy_rail","Circle",1868
758,462,"heavy_rail","Circle",1864
462,463,"heavy_rail","Circle",1864
463,464,"heavy_rail","Circle",1864
464,228,"heavy_rail","Circle",1864
228,497,"heavy_rail","Circle",1864
497,465,"heavy_rail","Circle",1863
465,102,"heavy_rail","Circle",1875
102,751,"heavy_rail","Circle",1868
751,141,"heavy_rail","Circle",1868
141,142,"heavy_rail","Circle",1868
142,210,"heavy_rail","Circle",1868
210,472,"heavy_rail","Circle",1863
472,476,"heavy_rail","Circle",1864
476,478,"heavy_rail","Circle",1864
478,498,"heavy_rail","Circle",1864
498,499,"heavy_rail","Circle",1863
499,500,"heavy_rail","Circle",1863
500,117,"heavy_rail","Circle",1863
117,146,"heavy_rail","Circle",1868
146,147,"heavy_rail","Circle",1870
147,148,"heavy_rail","Circle",1870
148,149,"heavy_rail","Circle",1866
149,284,"heavy_rail","Circle",1884
284,150,"heavy_rail","Circle",1884
NA,473,"heavy_rail","Circle",NA
473,501,"heavy_rail","Circle",1876
NA,496,"heavy_rail","Circle",NA
49,319,"heavy_rail","Waterloo & City",1898
1,23,"heavy_rail","District ",1877
23,25,"heavy_rail","District ",1902
25,26,"heavy_rail","District ",1902
26,92,"heavy_rail","District ",1902
92,95,"heavy_rail","District ",1889
95,96,"heavy_rail","District ",1889
96,98,"heavy_rail","District ",1869
98,99,"heavy_rail","District ",1889
99,100,"heavy_rail","District ",1880
100,101,"heavy_rail","District ",1889
101,102,"heavy_rail","District ",1871
