"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","A Line",1991
2,3,"light_rail","A Line",1990
3,4,"light_rail","A Line",1990
4,6,"light_rail","A Line",1990
6,7,"light_rail","A Line",1990
7,8,"light_rail","A Line",1990
8,9,"light_rail","A Line",1990
9,10,"light_rail","A Line",1990
10,11,"light_rail","A Line",1990
11,12,"light_rail","A Line",1990
12,13,"light_rail","A Line",1990
13,14,"light_rail","A Line",1990
14,15,"light_rail","A Line",1990
15,16,"light_rail","A Line",1990
16,17,"light_rail","A Line",1990
17,18,"light_rail","A Line",1990
18,19,"light_rail","A Line",1990
19,20,"light_rail","A Line",1990
20,21,"light_rail","A Line",1990
21,22,"light_rail","A Line",1990
22,23,"light_rail","A Line",1990
23,212,"light_rail","A Line",1990
212,214,"light_rail","A Line",2023
214,216,"light_rail","A Line",2023
216,269,"light_rail","A Line",2023
5,24,"light_rail","E Line",2012
24,25,"light_rail","E Line",2012
25,26,"light_rail","E Line",2012
26,27,"light_rail","E Line",2012
27,28,"light_rail","E Line",2012
28,29,"light_rail","E Line",2016
29,30,"light_rail","E Line",2016
30,31,"light_rail","E Line",2016
31,33,"light_rail","E Line",2016
33,34,"light_rail","E Line",2016
34,36,"light_rail","E Line",2016
36,52,"light_rail","E Line",2016
52,53,"light_rail","E Line",2012
53,54,"light_rail","E Line",2012
54,55,"light_rail","E Line",2012
55,56,"light_rail","E Line",2012
56,1,"light_rail","E Line",2012
1,2,"light_rail","E Line",1991
2,212,"light_rail","E Line",1990
212,214,"light_rail","E Line",2023
214,216,"light_rail","E Line",2023
32,35,"heavy_rail","B Line",1999
35,37,"heavy_rail","B Line",1999
37,38,"heavy_rail","B Line",1993
38,40,"heavy_rail","B Line",1999
40,41,"heavy_rail","B Line",1999
41,43,"heavy_rail","B Line",1996
43,44,"heavy_rail","B Line",2000
44,45,"heavy_rail","B Line",2000
45,46,"heavy_rail","B Line",1999
46,50,"heavy_rail","B Line",2000
50,57,"heavy_rail","B Line",1993
57,47,"heavy_rail","B Line",1993
47,49,"heavy_rail","B Line",1993
39,42,"heavy_rail","D Line",1996
42,47,"heavy_rail","D Line",1996
47,37,"heavy_rail","D Line",1993
37,49,"heavy_rail","D Line",1993
49,50,"heavy_rail","D Line",1993
50,41,"heavy_rail","D Line",1993
41,57,"heavy_rail","D Line",1996
57,224,"heavy_rail","D Line",1993
224,225,"heavy_rail","D Line",2024
225,226,"heavy_rail","D Line",2024
226,227,"heavy_rail","D Line",2024
227,228,"heavy_rail","D Line",2025
228,229,"heavy_rail","D Line",2025
229,230,"heavy_rail","D Line",2027
211,218,"light_rail","K Line",2022
218,219,"light_rail","K Line",2022
219,220,"light_rail","K Line",2022
220,221,"light_rail","K Line",2022
221,222,"light_rail","K Line",2022
222,223,"light_rail","K Line",2022
223,231,"light_rail","K Line",2022
64,65,"light_rail","C Line",1995
65,66,"light_rail","C Line",1995
66,67,"light_rail","C Line",1995
67,68,"light_rail","C Line",1995
68,69,"light_rail","C Line",1995
69,70,"light_rail","C Line",1995
70,71,"light_rail","C Line",1995
71,72,"light_rail","C Line",1995
72,73,"light_rail","C Line",1995
73,74,"light_rail","C Line",1995
74,75,"light_rail","C Line",1995
75,76,"light_rail","C Line",1995
77,78,"brt","G Line",2005
