"nodeID_from","nodeID_to","mode","line","year"
22,23,"default","A",1978
23,24,"default","A",1978
24,25,"default","A",1978
25,29,"default","A",1978
29,30,"default","A",1978
30,31,"default","A",1978
31,32,"default","A",1978
32,33,"default","A",1978
33,34,"default","A",1978
34,35,"default","A",1978
35,37,"default","A",2007
37,38,"default","A",1978
38,39,"default","A",1978
41,44,"default","B",1981
44,47,"default","B",1981
47,48,"default","B",2000
48,49,"default","B",2000
49,50,"default","B",2000
50,57,"default","B",2013
57,58,"default","B",1978
58,59,"default","B",1978
59,64,"default","B",1981
51,60,"default","C",1984
60,61,"default","C",1974
61,62,"default","C",1974
62,63,"default","C",1984
52,53,"default","D",1991
53,54,"default","D",1991
54,55,"default","D",1991
55,65,"default","D",1991
65,67,"default","D",1991
67,68,"default","D",1991
68,69,"default","D",1991
69,70,"default","D",1991
70,71,"default","D",1991
71,72,"default","D",1997
72,73,"default","D",1997
73,74,"default","D",1992
74,75,"default","D",1992
75,76,"default","D",1992
80,81,"default","1",2014
81,82,"default","1",2005
82,83,"default","1",2005
83,84,"default","1",2005
84,85,"default","1",2014
85,86,"default","1",2014
86,88,"default","1",2014
88,92,"default","1",0
92,97,"default","1",0
97,98,"default","1",0
98,99,"default","1",0
99,100,"default","1",0
100,101,"default","1",0
101,102,"default","1",0
102,112,"default","1",0
112,113,"default","1",0
113,114,"default","1",0
114,115,"default","1",0
115,116,"default","1",0
116,117,"default","1",0
117,118,"default","1",0
118,119,"default","1",0
119,120,"default","1",0
120,125,"default","1",0
125,126,"default","1",0
126,142,"default","1",0
3,4,"default","2",0
4,5,"default","2",0
5,6,"default","2",0
6,7,"default","2",0
7,8,"default","2",0
8,9,"default","2",0
9,10,"default","2",0
10,11,"default","2",0
11,12,"default","2",0
12,13,"default","2",0
13,14,"default","2",0
14,15,"default","2",0
15,18,"default","2",0
18,20,"default","2",0
20,146,"default","2",0
146,150,"default","2",0
150,151,"default","2",0
151,152,"default","2",0
152,153,"default","2",0
153,154,"default","2",0
154,155,"default","2",0
155,156,"default","2",0
156,157,"default","2",0
157,158,"default","2",0
158,159,"default","2",0
159,160,"default","2",0
160,161,"default","2",0
161,162,"default","2",0
1,2,"default","4",0
2,121,"default","4",0
121,122,"default","4",0
122,123,"default","4",0
123,124,"default","4",0
124,127,"default","4",0
127,128,"default","4",0
128,129,"default","4",0
129,130,"default","4",0
130,131,"default","4",0
131,132,"default","4",0
132,133,"default","4",0
133,134,"default","4",0
134,135,"default","4",0
135,136,"default","4",0
136,137,"default","4",0
137,138,"default","4",0
138,139,"default","4",0
139,140,"default","4",0
140,141,"default","4",0
141,143,"default","4",0
143,144,"default","4",0
144,145,"default","4",0
145,147,"default","4",0
147,148,"default","4",0
148,149,"default","4",0
16,17,"default","5",0
17,19,"default","5",0
19,21,"default","5",0
43,56,"default","1 Saint-Just",1878
42,45,"default","2 Fourvière",1900
66,77,"default"," Rhonexpress",2010
77,78,"default"," Rhonexpress",2010
78,79,"default"," Rhonexpress",2010
27,28,"default","Rue Terme",1862
26,36,"default","Croix-Paquet",1891
40,46,"default","Saint-Paul - Fourvière",1900
89,94,"default","21",0
94,110,"default","21",0
110,111,"default","21",0
87,90,"default","22",0
90,91,"default","22",0
91,93,"default","22",0
93,95,"default","22",0
95,96,"default","22",0
96,103,"default","22",0
103,104,"default","22",0
104,105,"default","22",0
105,106,"default","22",0
106,107,"default","22",0
107,108,"default","22",0
108,109,"default","22",0
