"nodeID_from","nodeID_to","mode","line","year"
1,4,"heavy_rail","L1",1994
4,6,"heavy_rail","L1",1919
6,7,"heavy_rail","L1",1919
7,8,"heavy_rail","L1",1921
8,9,"heavy_rail","L1",1919
9,10,"heavy_rail","L1",1921
10,11,"heavy_rail","L1",1919
11,12,"heavy_rail","L1",1919
12,20,"heavy_rail","L1",1923
20,21,"heavy_rail","L1",1919
21,22,"heavy_rail","L1",1929
22,25,"heavy_rail","L1",1921
25,27,"heavy_rail","L1",1988
27,28,"heavy_rail","L1",1923
28,29,"heavy_rail","L1",1929
29,30,"heavy_rail","L1",1919
30,31,"heavy_rail","L1",1919
31,35,"heavy_rail","L1",1923
35,61,"heavy_rail","L1",1929
61,63,"heavy_rail","L1",1961
63,72,"heavy_rail","L1",1961
72,73,"heavy_rail","L1",1962
73,217,"heavy_rail","L1",1962
217,218,"heavy_rail","L1",1994
218,219,"heavy_rail","L1",1994
219,220,"heavy_rail","L1",1999
220,262,"heavy_rail","L1",1999
262,263,"heavy_rail","L1",2007
263,264,"heavy_rail","L1",2007
264,268,"heavy_rail","L1",2007
268,278,"heavy_rail","L1",2007
278,281,"heavy_rail","L1",2007
281,292,"heavy_rail","L1",2007
292,314,"heavy_rail","L1",NA
314,318,"heavy_rail","L1",1924
5,13,"heavy_rail","L2",1924
13,14,"heavy_rail","L2",1924
14,15,"heavy_rail","L2",1924
15,16,"heavy_rail","L2",1925
16,17,"heavy_rail","L2",1925
17,18,"heavy_rail","L2",1925
18,19,"heavy_rail","L2",1925
19,23,"heavy_rail","L2",1929
23,24,"heavy_rail","L2",1924
24,26,"heavy_rail","L2",1925
26,33,"heavy_rail","L2",1924
33,34,"heavy_rail","L2",1924
34,69,"heavy_rail","L2",1998
69,70,"heavy_rail","L2",1964
70,71,"heavy_rail","L2",1964
71,172,"heavy_rail","L2",1964
172,266,"heavy_rail","L2",1964
266,282,"heavy_rail","L2",2011
282,283,"heavy_rail","L2",2011
283,284,"heavy_rail","L2",2007
284,285,"heavy_rail","L2",2011
285,314,"heavy_rail","L2",2011
NA,67,"heavy_rail","L2",NA
67,68,"heavy_rail","L2",1932
36,37,"heavy_rail","L3",1936
37,48,"heavy_rail","L3",1936
48,50,"heavy_rail","L3",1941
50,52,"heavy_rail","L3",1949
52,59,"heavy_rail","L3",1951
59,64,"heavy_rail","L3",1941
64,65,"heavy_rail","L3",1941
65,92,"heavy_rail","L3",1949
92,265,"heavy_rail","L3",1963
265,267,"heavy_rail","L3",2007
267,270,"heavy_rail","L3",2007
270,274,"heavy_rail","L3",2007
274,277,"heavy_rail","L3",2007
277,279,"heavy_rail","L3",2007
279,280,"heavy_rail","L3",2007
280,314,"heavy_rail","L3",2007
314,322,"heavy_rail","L3",1924
322,323,"heavy_rail","L3",1941
323,326,"heavy_rail","L3",1995
326,148,"heavy_rail","L3",1944
38,39,"heavy_rail","L4",1944
39,40,"heavy_rail","L4",1944
40,41,"heavy_rail","L4",1944
41,42,"heavy_rail","L4",1944
42,45,"heavy_rail","L4",1944
45,67,"heavy_rail","L4",1944
67,68,"heavy_rail","L4",1932
68,75,"heavy_rail","L4",1932
75,82,"heavy_rail","L4",1979
82,87,"heavy_rail","L4",1979
87,94,"heavy_rail","L4",1973
94,99,"heavy_rail","L4",1973
99,113,"heavy_rail","L4",1973
113,194,"heavy_rail","L4",1979
194,199,"heavy_rail","L4",1998
199,200,"heavy_rail","L4",1998
200,202,"heavy_rail","L4",1998
