"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","Line 1",1984
2,3,"light_rail","Line 1",1984
3,4,"light_rail","Line 1",1984
4,5,"light_rail","Line 1",1984
5,6,"light_rail","Line 1",1984
6,7,"light_rail","Line 1",1984
7,8,"light_rail","Line 1",1984
8,9,"light_rail","Line 1",1984
9,10,"light_rail","Line 1",1985
10,11,"light_rail","Line 1",1985
11,12,"light_rail","Line 1",1985
12,13,"light_rail","Line 1",1985
13,14,"light_rail","Line 1",1985
14,15,"light_rail","Line 1",1985
15,16,"light_rail","Line 1",1985
16,17,"light_rail","Line 1",1985
17,18,"light_rail","Line 1",1985
18,19,"light_rail","Line 1",1985
19,20,"light_rail","Line 1",2010
20,34,"light_rail","Line 1",2010
34,90,"light_rail","Line 1",2024
90,91,"light_rail","Line 1",2025
91,92,"light_rail","Line 1",2025
92,93,"light_rail","Line 1",2025
93,94,"light_rail","Line 1",2025
94,95,"light_rail","Line 1",2025
95,96,"light_rail","Line 1",2027
96,97,"light_rail","Line 1",2027
36,37,"heavy_rail","Line 2",2003
37,38,"heavy_rail","Line 2",2003
38,39,"heavy_rail","Line 2",2003
39,40,"heavy_rail","Line 2",2003
40,41,"heavy_rail","Line 2",2004
41,42,"heavy_rail","Line 2",2004
42,43,"heavy_rail","Line 2",2004
43,44,"heavy_rail","Line 2",2004
44,45,"heavy_rail","Line 2",2004
45,46,"heavy_rail","Line 2",2004
46,85,"heavy_rail","Line 2",2004
85,86,"heavy_rail","Line 2",2021
86,87,"heavy_rail","Line 2",2021
87,88,"heavy_rail","Line 2",2025
88,89,"heavy_rail","Line 2",2025
21,22,"light_rail","Line 3",1999
22,23,"light_rail","Line 3",1999
23,24,"light_rail","Line 3",1999
24,25,"light_rail","Line 3",1999
25,26,"light_rail","Line 3",1999
26,27,"light_rail","Line 3",1999
27,28,"light_rail","Line 3",1999
28,29,"light_rail","Line 3",1999
29,30,"light_rail","Line 3",1999
30,31,"light_rail","Line 3",1999
31,32,"light_rail","Line 3",2000
32,33,"light_rail","Line 3",2000
33,34,"light_rail","Line 3",2000
47,48,"heavy_rail","Line 7",2025
48,49,"heavy_rail","Line 7",2025
49,50,"heavy_rail","Line 7",2025
50,51,"heavy_rail","Line 7",2025
51,52,"heavy_rail","Line 7",2025
52,53,"heavy_rail","Line 7",2025
53,54,"heavy_rail","Line 7",2025
54,55,"heavy_rail","Line 7",2025
55,56,"heavy_rail","Line 7",2025
56,57,"heavy_rail","Line 7",2025
57,58,"heavy_rail","Line 7",2025
58,59,"heavy_rail","Line 7",2025
59,131,"heavy_rail","Line 7",2025
60,98,"commuter_rail","Metro North Commuter",0
98,99,"commuter_rail","Metro North Commuter",0
99,100,"commuter_rail","Metro North Commuter",0
100,101,"commuter_rail","Metro North Commuter",0
101,102,"commuter_rail","Metro North Commuter",0
60,62,"commuter_rail","Metro South Commuter",0
62,63,"commuter_rail","Metro South Commuter",0
63,64,"commuter_rail","Metro South Commuter",0
64,65,"commuter_rail","Metro South Commuter",0
65,66,"commuter_rail","Metro South Commuter",0
66,67,"commuter_rail","Metro South Commuter",0
67,68,"commuter_rail","Metro South Commuter",0
68,69,"commuter_rail","Metro South Commuter",0
69,70,"commuter_rail","Metro South Commuter",0
70,71,"commuter_rail","Metro South Commuter",0
71,72,"commuter_rail","Metro South Commuter",0
72,73,"commuter_rail","Metro South Commuter",0
73,74,"commuter_rail","Metro South Commuter",0
74,75,"commuter_rail","Metro South Commuter",0
75,76,"commuter_rail","Metro South Commuter",0
76,77,"commuter_rail","Metro South Commuter",0
77,78,"commuter_rail","Metro South Commuter",2010
78,79,"commuter_rail","Metro South Commuter",0
79,80,"commuter_rail","Metro South Commuter",0
80,81,"commuter_rail","Metro South Commuter",0
81,82,"commuter_rail","Metro South Commuter",0
82,83,"commuter_rail","Metro South Commuter",0
83,84,"commuter_rail","Metro South Commuter",0
103,104,"heavy_rail","Line 9 (Metro Manila Subway)",2027
104,105,"heavy_rail","Line 9 (Metro Manila Subway)",2027
105,106,"heavy_rail","Line 9 (Metro Manila Subway)",2027
106,107,"heavy_rail","Line 9 (Metro Manila Subway)",2029
107,108,"heavy_rail","Line 9 (Metro Manila Subway)",2029
108,109,"heavy_rail","Line 9 (Metro Manila Subway)",2029
109,110,"heavy_rail","Line 9 (Metro Manila Subway)",2029
110,111,"heavy_rail","Line 9 (Metro Manila Subway)",2029
111,112,"heavy_rail","Line 9 (Metro Manila Subway)",2029
112,113,"heavy_rail","Line 9 (Metro Manila Subway)",2029
113,114,"heavy_rail","Line 9 (Metro Manila Subway)",2029
114,115,"heavy_rail","Line 9 (Metro Manila Subway)",2029
115,116,"heavy_rail","Line 9 (Metro Manila Subway)",2029
116,132,"heavy_rail","Line 9 (Metro Manila Subway)",2029
132,133,"heavy_rail","Line 9 (Metro Manila Subway)",NA
117,118,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
118,119,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
119,120,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
120,121,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
121,122,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
122,123,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
123,124,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
124,125,"ferry","Guadalupe - Plaza Mexico (Intramuros)",2007
125,128,"ferry","Guadalupe - Maybunga",2007
125,129,"ferry","Guadalupe - Pinagbuhatan",2007
129,130,"ferry","Guadalupe - Pinagbuhatan",2007
136,137,"commuter_rail","North–South Commuter Railway",2025
137,138,"commuter_rail","North–South Commuter Railway",2025
138,139,"commuter_rail","North–South Commuter Railway",2025
139,140,"commuter_rail","North–South Commuter Railway",2025
140,141,"commuter_rail","North–South Commuter Railway",2025
141,142,"commuter_rail","North–South Commuter Railway",2025
134,135,"heavy_rail","Line 5 (Makati Subway)",NA
135,143,"heavy_rail","Line 5 (Makati Subway)",NA
