"nodeID_from","nodeID_to","mode","line","year"
59,61,"heavy_rail","Línea 1",1972
61,62,"heavy_rail","Línea 1",1970
62,63,"heavy_rail","Línea 1",1969
63,64,"heavy_rail","Línea 1",1969
64,65,"heavy_rail","Línea 1",1969
65,66,"heavy_rail","Línea 1",1969
66,68,"heavy_rail","Línea 1",1969
68,69,"heavy_rail","Línea 1",1969
69,71,"heavy_rail","Línea 1",1969
71,72,"heavy_rail","Línea 1",1970
72,73,"heavy_rail","Línea 1",1969
73,74,"heavy_rail","Línea 1",1969
74,76,"heavy_rail","Línea 1",1969
76,77,"heavy_rail","Línea 1",1969
77,78,"heavy_rail","Línea 1",1969
78,79,"heavy_rail","Línea 1",1969
79,80,"heavy_rail","Línea 1",1969
80,83,"heavy_rail","Línea 1",1984
83,84,"heavy_rail","Línea 1",1969
67,85,"heavy_rail","Línea 2",1970
85,87,"heavy_rail","Línea 2",1970
87,89,"heavy_rail","Línea 2",1984
89,90,"heavy_rail","Línea 2",1984
90,91,"heavy_rail","Línea 2",1970
91,93,"heavy_rail","Línea 2",1970
93,94,"heavy_rail","Línea 2",1970
94,95,"heavy_rail","Línea 2",1970
95,96,"heavy_rail","Línea 2",1970
96,97,"heavy_rail","Línea 2",1970
97,98,"heavy_rail","Línea 2",1970
98,99,"heavy_rail","Línea 2",1970
99,100,"heavy_rail","Línea 2",1970
100,101,"heavy_rail","Línea 2",1970
101,102,"heavy_rail","Línea 2",1970
102,104,"heavy_rail","Línea 2",1970
104,105,"heavy_rail","Línea 2",1970
105,107,"heavy_rail","Línea 2",1970
107,108,"heavy_rail","Línea 2",1970
108,109,"heavy_rail","Línea 2",1970
109,110,"heavy_rail","Línea 2",1970
110,112,"heavy_rail","Línea 2",1970
112,113,"heavy_rail","Línea 2",1970
82,103,"heavy_rail","Línea 3",1970
103,115,"heavy_rail","Línea 3",1970
115,116,"heavy_rail","Línea 3",1970
116,117,"heavy_rail","Línea 3",1980
117,120,"heavy_rail","Línea 3",1970
120,122,"heavy_rail","Línea 3",1979
122,124,"heavy_rail","Línea 3",1980
124,128,"heavy_rail","Línea 3",1979
128,134,"heavy_rail","Línea 3",1979
134,135,"heavy_rail","Línea 3",1978
135,136,"heavy_rail","Línea 3",1980
136,137,"heavy_rail","Línea 3",1970
137,138,"heavy_rail","Línea 3",1970
138,139,"heavy_rail","Línea 3",1970
139,142,"heavy_rail","Línea 3",1980
142,143,"heavy_rail","Línea 3",1980
143,145,"heavy_rail","Línea 3",1983
145,146,"heavy_rail","Línea 3",1983
146,147,"heavy_rail","Línea 3",1983
147,148,"heavy_rail","Línea 3",1983
170,172,"heavy_rail","Línea 4",1981
172,173,"heavy_rail","Línea 4",1981
173,174,"heavy_rail","Línea 4",1982
174,177,"heavy_rail","Línea 4",1982
177,196,"heavy_rail","Línea 4",1981
196,197,"heavy_rail","Línea 4",1981
197,199,"heavy_rail","Línea 4",1981
199,200,"heavy_rail","Línea 4",1981
200,201,"heavy_rail","Línea 4",1981
133,171,"heavy_rail","Línea 5",1982
171,181,"heavy_rail","Línea 5",1982
181,191,"heavy_rail","Línea 5",1981
191,212,"heavy_rail","Línea 5",1981
212,213,"heavy_rail","Línea 5",1982
213,214,"heavy_rail","Línea 5",1981
214,215,"heavy_rail","Línea 5",1982
215,217,"heavy_rail","Línea 5",1981
217,218,"heavy_rail","Línea 5",1982
218,219,"heavy_rail","Línea 5",1982
219,220,"heavy_rail","Línea 5",1981
220,222,"heavy_rail","Línea 5",1982
2,3,"heavy_rail","Línea 6",1983
3,149,"heavy_rail","Línea 6",1983
149,195,"heavy_rail","Línea 6",1986
