"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","Green Line",1984
2,3,"heavy_rail","Green Line",1984
3,4,"heavy_rail","Green Line",1984
4,5,"heavy_rail","Green Line",1984
5,6,"heavy_rail","Green Line",1984
6,7,"heavy_rail","Green Line",1984
7,8,"heavy_rail","Green Line",1984
8,9,"heavy_rail","Green Line",1985
9,19,"heavy_rail","Green Line",1984
19,21,"heavy_rail","Green Line",1984
21,23,"heavy_rail","Green Line",1984
23,25,"heavy_rail","Green Line",1984
25,27,"heavy_rail","Green Line",1984
27,29,"heavy_rail","Green Line",1984
29,31,"heavy_rail","Green Line",1984
31,33,"heavy_rail","Green Line",1984
33,34,"heavy_rail","Green Line",1985
34,35,"heavy_rail","Green Line",1989
35,36,"heavy_rail","Green Line",1985
36,37,"heavy_rail","Green Line",1985
37,38,"heavy_rail","Green Line",1985
9,7,"heavy_rail","Orange Line",1984
7,6,"heavy_rail","Orange Line",1984
6,5,"heavy_rail","Orange Line",1984
5,4,"heavy_rail","Orange Line",1984
4,3,"heavy_rail","Orange Line",1984
3,2,"heavy_rail","Orange Line",1984
2,1,"heavy_rail","Orange Line",1984
1,18,"heavy_rail","Orange Line",1984
18,19,"heavy_rail","Orange Line",2012
19,21,"heavy_rail","Orange Line",1984
21,23,"heavy_rail","Orange Line",1984
23,25,"heavy_rail","Orange Line",1984
25,27,"heavy_rail","Orange Line",1984
27,29,"heavy_rail","Orange Line",1984
29,31,"heavy_rail","Orange Line",1984
39,42,"people_mover","Inner Loop",1986
42,45,"people_mover","Inner Loop",1986
45,48,"people_mover","Inner Loop",1986
48,51,"people_mover","Inner Loop",1986
51,54,"people_mover","Inner Loop",1986
54,57,"people_mover","Inner Loop",1986
57,60,"people_mover","Inner Loop",1986
60,61,"people_mover","Inner Loop",1986
39,42,"people_mover","Omni Loop",1986
42,45,"people_mover","Omni Loop",1986
45,48,"people_mover","Omni Loop",1986
48,51,"people_mover","Omni Loop",1986
51,54,"people_mover","Omni Loop",1986
54,57,"people_mover","Omni Loop",1986
57,61,"people_mover","Omni Loop",1986
39,42,"people_mover","Brickell Loop",1986
42,45,"people_mover","Brickell Loop",1986
45,48,"people_mover","Brickell Loop",1986
48,51,"people_mover","Brickell Loop",1986
51,54,"people_mover","Brickell Loop",1986
54,57,"people_mover","Brickell Loop",1986
57,61,"people_mover","Brickell Loop",1986
