"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
2,3,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
3,4,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
4,5,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
5,6,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
6,7,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
7,8,"heavy_rail","1 - Maskowskaya (Маскоўская)",1986
8,9,"heavy_rail","1 - Maskowskaya (Маскоўская)",2007
9,28,"heavy_rail","1 - Maskowskaya (Маскоўская)",2007
28,29,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
29,30,"heavy_rail","1 - Maskowskaya (Маскоўская)",1984
30,31,"heavy_rail","1 - Maskowskaya (Маскоўская)",2012
31,32,"heavy_rail","1 - Maskowskaya (Маскоўская)",2012
32,33,"heavy_rail","1 - Maskowskaya (Маскоўская)",2012
10,11,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",2005
11,12,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",2005
12,13,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",2005
13,14,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1995
14,15,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1990
15,16,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1991
16,17,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1990
17,18,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1990
18,19,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1995
19,20,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1990
20,21,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1990
21,22,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",1997
22,23,"heavy_rail","2 - Awtazavodskaya (Аўтазаводская)",2001
24,25,"heavy_rail","3 - Zelenaluzhskaya (Зеленалужская)",2020
25,26,"heavy_rail","3 - Zelenaluzhskaya (Зеленалужская)",2020
26,27,"heavy_rail","3 - Zelenaluzhskaya (Зеленалужская)",2020
