"nodeID_from","nodeID_to","mode","line","year"
3,4,"heavy_rail","Orange",1966
4,5,"heavy_rail","Orange",1966
5,6,"heavy_rail","Orange",1966
6,7,"heavy_rail","Orange",1966
7,8,"heavy_rail","Orange",1966
8,9,"heavy_rail","Orange",1966
9,10,"heavy_rail","Orange",2007
10,11,"heavy_rail","Orange",2007
11,12,"heavy_rail","Orange",2007
12,13,"heavy_rail","Orange",1966
13,14,"heavy_rail","Orange",1966
14,15,"heavy_rail","Orange",1966
15,18,"heavy_rail","Orange",1966
18,19,"heavy_rail","Orange",1966
19,20,"heavy_rail","Orange",1967
20,21,"heavy_rail","Orange",1966
21,22,"heavy_rail","Orange",1980
22,23,"heavy_rail","Orange",1967
23,50,"heavy_rail","Orange",1966
50,32,"heavy_rail","Orange",1980
32,52,"heavy_rail","Orange",1978
52,53,"heavy_rail","Orange",1980
53,54,"heavy_rail","Orange",1981
54,55,"heavy_rail","Orange",1981
55,68,"heavy_rail","Orange",1981
68,69,"heavy_rail","Orange",1982
69,70,"heavy_rail","Orange",1984
70,71,"heavy_rail","Orange",1982
71,72,"heavy_rail","Orange",1984
72,73,"heavy_rail","Orange",1984
15,24,"heavy_rail","Green",1966
24,25,"heavy_rail","Green",1966
25,26,"heavy_rail","Green",1978
26,27,"heavy_rail","Green",1978
27,28,"heavy_rail","Green",1978
28,29,"heavy_rail","Green",1978
29,30,"heavy_rail","Green",1978
30,31,"heavy_rail","Green",1978
31,32,"heavy_rail","Green",1978
32,33,"heavy_rail","Green",1978
33,34,"heavy_rail","Green",1966
34,35,"heavy_rail","Green",1966
35,36,"heavy_rail","Green",1966
36,37,"heavy_rail","Green",1966
37,38,"heavy_rail","Green",1966
38,39,"heavy_rail","Green",1966
39,40,"heavy_rail","Green",1966
40,41,"heavy_rail","Green",1966
41,42,"heavy_rail","Green",1976
42,43,"heavy_rail","Green",1976
43,44,"heavy_rail","Green",1976
44,45,"heavy_rail","Green",1976
45,46,"heavy_rail","Green",1976
46,47,"heavy_rail","Green",1976
47,48,"heavy_rail","Green",1976
48,49,"heavy_rail","Green",1976
55,57,"heavy_rail","Blue",1981
57,58,"heavy_rail","Blue",1988
58,59,"heavy_rail","Blue",1988
59,60,"heavy_rail","Blue",1988
60,61,"heavy_rail","Blue",1988
61,12,"heavy_rail","Blue",1988
12,63,"heavy_rail","Blue",1966
63,64,"heavy_rail","Blue",1987
64,65,"heavy_rail","Blue",1986
65,66,"heavy_rail","Blue",1986
66,67,"heavy_rail","Blue",1986
1,2,"heavy_rail","Yellow",1967
2,15,"heavy_rail","Yellow",1967
74,75,"light_rail","REM",NA
75,76,"light_rail","REM",1943
76,77,"light_rail","REM",NA
77,78,"light_rail","REM",NA
78,79,"light_rail","REM",NA
79,80,"light_rail","REM",NA
80,81,"light_rail","REM",NA
