"nodeID_from","nodeID_to","mode","line","year"
37,42,"light_rail","Ligne 1",2006
42,45,"light_rail","Ligne 1",2006
45,48,"light_rail","Ligne 1",2006
48,53,"light_rail","Ligne 1",2006
53,60,"light_rail","Ligne 1",2006
60,61,"light_rail","Ligne 1",2006
61,62,"light_rail","Ligne 1",2006
62,63,"light_rail","Ligne 1",2006
63,64,"light_rail","Ligne 1",2006
64,65,"light_rail","Ligne 1",2006
65,66,"light_rail","Ligne 1",2006
66,67,"light_rail","Ligne 1",2006
67,68,"light_rail","Ligne 1",2006
68,69,"light_rail","Ligne 1",2006
69,70,"light_rail","Ligne 1",2006
70,71,"light_rail","Ligne 1",2006
71,72,"light_rail","Ligne 1",2006
1,2,"light_rail","Ligne 2",2006
2,3,"light_rail","Ligne 2",2006
3,4,"light_rail","Ligne 2",2006
4,5,"light_rail","Ligne 2",2006
5,6,"light_rail","Ligne 2",2006
6,7,"light_rail","Ligne 2",2006
7,8,"light_rail","Ligne 2",2006
8,9,"light_rail","Ligne 2",2006
9,10,"light_rail","Ligne 2",2006
10,11,"light_rail","Ligne 2",2006
11,12,"light_rail","Ligne 2",2006
12,13,"light_rail","Ligne 2",2006
13,16,"light_rail","Ligne 2",2006
16,19,"light_rail","Ligne 2",2006
19,22,"light_rail","Ligne 2",2006
22,25,"light_rail","Ligne 2",2006
25,28,"light_rail","Ligne 2",2006
28,31,"light_rail","Ligne 2",2006
31,34,"light_rail","Ligne 2",2006
34,38,"light_rail","Ligne 2",2006
38,41,"light_rail","Ligne 2",2006
41,54,"light_rail","Ligne 2",2006
54,55,"light_rail","Ligne 2",2006
55,56,"light_rail","Ligne 2",2006
56,57,"light_rail","Ligne 2",2006
57,58,"light_rail","Ligne 2",2006
58,59,"light_rail","Ligne 2",2006
13,16,"light_rail","Ligne 3",2006
16,19,"light_rail","Ligne 3",2006
19,22,"light_rail","Ligne 3",2006
22,25,"light_rail","Ligne 3",2006
25,28,"light_rail","Ligne 3",2006
28,31,"light_rail","Ligne 3",2006
31,34,"light_rail","Ligne 3",2006
34,38,"light_rail","Ligne 3",2006
38,42,"light_rail","Ligne 3",2006
42,45,"light_rail","Ligne 3",2006
45,48,"light_rail","Ligne 3",2006
48,51,"light_rail","Ligne 3",2006
13,16,"commuter_rail","Tram-train",2006
16,19,"commuter_rail","Tram-train",2006
19,22,"commuter_rail","Tram-train",2006
22,25,"commuter_rail","Tram-train",2006
25,28,"commuter_rail","Tram-train",2006
28,31,"commuter_rail","Tram-train",2006
31,34,"commuter_rail","Tram-train",2006
34,38,"commuter_rail","Tram-train",2006
38,42,"commuter_rail","Tram-train",2006
42,45,"commuter_rail","Tram-train",2006
45,48,"commuter_rail","Tram-train",2006
48,51,"commuter_rail","Tram-train",2006
