"nodeID_from","nodeID_to","mode","line","year"
24,303,"default","20",0
303,305,"default","20",0
305,308,"default","20",0
308,309,"default","20",0
309,312,"default","20",0
312,345,"default","20",0
345,350,"default","20",0
350,353,"default","20",0
353,356,"default","20",0
356,359,"default","20",0
359,362,"default","20",0
362,364,"default","20",0
364,366,"default","20",0
9,10,"default","17",0
10,27,"default","17",0
27,31,"default","17",0
31,33,"default","17",0
33,35,"default","17",0
35,36,"default","17",0
36,37,"default","17",0
37,38,"default","17",0
38,39,"default","17",0
39,40,"default","17",0
40,41,"default","17",0
41,42,"default","17",0
42,43,"default","17",0
43,44,"default","17",0
44,45,"default","17",0
45,46,"default","17",0
46,80,"default","17",0
80,141,"default","17",0
141,144,"default","17",0
144,164,"default","17",0
164,166,"default","17",0
166,168,"default","17",0
168,170,"default","17",0
170,172,"default","17",0
172,174,"default","17",0
174,176,"default","17",0
176,178,"default","17",0
178,180,"default","17",0
180,182,"default","17",0
182,184,"default","17",0
184,201,"default","17",0
201,203,"default","17",0
203,216,"default","17",0
216,218,"default","17",0
218,288,"default","17",0
288,290,"default","17",0
290,292,"default","17",0
292,294,"default","17",0
294,296,"default","17",0
296,317,"default","17",0
317,318,"default","17",0
318,319,"default","17",0
319,320,"default","17",0
320,321,"default","17",0
321,323,"default","17",0
323,325,"default","17",0
325,327,"default","17",0
327,329,"default","17",0
329,331,"default","17",0
331,17,"default","17",0
17,16,"default","17",0
16,369,"default","17",0
369,371,"default","17",0
371,373,"default","17",0
373,374,"default","17",0
374,375,"default","17",0
375,376,"default","17",0
310,311,"default","12",0
311,313,"default","12",0
313,314,"default","12",0
314,315,"default","12",0
315,316,"default","12",0
27,31,"default","16",0
31,33,"default","16",0
33,80,"default","16",0
80,141,"default","16",0
141,144,"default","16",0
144,164,"default","16",0
164,166,"default","16",0
166,168,"default","16",0
168,170,"default","16",0
170,172,"default","16",0
172,174,"default","16",0
174,176,"default","16",0
176,178,"default","16",0
178,180,"default","16",0
180,182,"default","16",0
182,184,"default","16",0
184,201,"default","16",0
201,203,"default","16",0
203,215,"default","16",0
215,216,"default","16",0
216,219,"default","16",0
219,288,"default","16",0
288,290,"default","16",0
290,292,"default","16",0
292,294,"default","16",0
294,296,"default","16",0
296,298,"default","16",0
298,299,"default","16",0
299,300,"default","16",0
300,321,"default","16",0
321,323,"default","16",0
323,325,"default","16",0
325,327,"default","16",0
327,329,"default","16",0
329,331,"default","16",0
331,333,"default","16",0
333,334,"default","16",0
334,335,"default","16",0
335,336,"default","16",0
336,337,"default","16",0
337,338,"default","16",0
338,339,"default","16",0
339,340,"default","16",0
340,341,"default","16",0
341,342,"default","16",0
342,17,"default","16",0
17,16,"default","16",0
16,369,"default","16",0
369,371,"default","16",0
371,376,"default","16",0
137,139,"default","27",0
139,196,"default","27",0
196,198,"default","27",0
378,379,"default","23",0
379,380,"default","23",0
380,381,"default","23",0
381,382,"default","23",0
382,383,"default","23",0
383,384,"default","23",0
384,385,"default","23",0
385,386,"default","23",0
386,387,"default","23",0
387,388,"default","23",0
137,139,"default","28",0
139,196,"default","28",0
196,198,"default","28",0
24,303,"default","21",0
303,305,"default","21",0
305,307,"default","21",0
307,345,"default","21",0
345,350,"default","21",0
350,353,"default","21",0
353,356,"default","21",0
356,359,"default","21",0
359,362,"default","21",0
362,364,"default","21",0
364,366,"default","21",0
366,312,"default","21",0
24,302,"default","22",0
302,345,"default","22",0
345,350,"default","22",0
350,353,"default","22",0
353,356,"default","22",0
356,359,"default","22",0
1,2,"default","19",0
2,3,"default","19",0
3,4,"default","19",0
4,5,"default","19",0
5,6,"default","19",0
6,7,"default","19",0
7,8,"default","19",0
8,11,"default","19",0
11,12,"default","19",0
12,13,"default","19",0
13,14,"default","19",0
14,15,"default","19",0
15,16,"default","19",0
16,17,"default","19",0
17,18,"default","19",0
18,19,"default","19",0
19,47,"default","19",0
47,48,"default","19",0
48,51,"default","19",0
51,52,"default","19",0
52,53,"default","19",0
53,54,"default","19",0
54,55,"default","19",0
55,56,"default","19",0
56,57,"default","19",0
57,58,"default","19",0
58,59,"default","19",0
59,60,"default","19",0
60,61,"default","19",0
61,62,"default","19",0
62,63,"default","19",0
63,64,"default","19",0
64,66,"default","19",0
66,69,"default","19",0
69,70,"default","19",0
