"nodeID_from","nodeID_to","mode","line","year"
9,10,"heavy_rail","Higashiyama Line",1982
10,11,"heavy_rail","Higashiyama Line",1982
11,12,"heavy_rail","Higashiyama Line",1982
12,13,"heavy_rail","Higashiyama Line",1969
13,14,"heavy_rail","Higashiyama Line",1969
14,15,"heavy_rail","Higashiyama Line",1969
15,16,"heavy_rail","Higashiyama Line",1969
16,17,"heavy_rail","Higashiyama Line",1957
17,18,"heavy_rail","Higashiyama Line",1957
18,19,"heavy_rail","Higashiyama Line",1957
19,20,"heavy_rail","Higashiyama Line",1960
20,21,"heavy_rail","Higashiyama Line",1960
21,22,"heavy_rail","Higashiyama Line",1960
22,23,"heavy_rail","Higashiyama Line",1960
23,24,"heavy_rail","Higashiyama Line",1963
24,25,"heavy_rail","Higashiyama Line",1963
25,26,"heavy_rail","Higashiyama Line",1963
26,27,"heavy_rail","Higashiyama Line",1967
27,28,"heavy_rail","Higashiyama Line",1969
28,29,"heavy_rail","Higashiyama Line",1970
29,30,"heavy_rail","Higashiyama Line",1969
31,32,"heavy_rail","Meijō Line",1965
32,33,"heavy_rail","Meijō Line",1989
33,34,"heavy_rail","Meijō Line",1965
34,35,"heavy_rail","Meijō Line",1971
35,36,"heavy_rail","Meijō Line",1971
36,37,"heavy_rail","Meijō Line",1971
37,38,"heavy_rail","Meijō Line",1971
38,39,"heavy_rail","Meijō Line",1971
39,40,"heavy_rail","Meijō Line",2000
40,41,"heavy_rail","Meijō Line",2003
41,42,"heavy_rail","Meijō Line",2003
42,43,"heavy_rail","Meijō Line",2003
43,44,"heavy_rail","Meijō Line",2003
44,45,"heavy_rail","Meijō Line",2004
45,46,"heavy_rail","Meijō Line",2004
46,47,"heavy_rail","Meijō Line",2004
47,48,"heavy_rail","Meijō Line",2004
48,49,"heavy_rail","Meijō Line",1974
49,50,"heavy_rail","Meijō Line",1974
50,51,"heavy_rail","Meijō Line",1974
51,52,"heavy_rail","Meijō Line",1974
52,53,"heavy_rail","Meijō Line",1974
53,54,"heavy_rail","Meijō Line",1974
54,55,"heavy_rail","Meijō Line",1967
55,56,"heavy_rail","Meijō Line",1967
56,57,"heavy_rail","Meijō Line",1967
57,102,"heavy_rail","Meijō Line",1967
102,104,"heavy_rail","Meijō Line",1971
104,106,"heavy_rail","Meijō Line",1971
106,108,"heavy_rail","Meijō Line",1971
108,110,"heavy_rail","Meijō Line",1971
110,101,"heavy_rail","Meijō Line",1971
101,113,"heavy_rail","Meijō Line",1971
58,101,"heavy_rail","Meikō Line",2004
101,102,"heavy_rail","Meikō Line",1971
102,104,"heavy_rail","Meikō Line",1971
104,106,"heavy_rail","Meikō Line",1971
106,108,"heavy_rail","Meikō Line",1971
108,110,"heavy_rail","Meikō Line",1971
59,60,"heavy_rail","Kamiiida Line",2003
61,62,"heavy_rail","Tsurumai Line",1993
62,63,"heavy_rail","Tsurumai Line",1984
63,64,"heavy_rail","Tsurumai Line",1984
64,65,"heavy_rail","Tsurumai Line",1981
65,66,"heavy_rail","Tsurumai Line",1981
66,67,"heavy_rail","Tsurumai Line",1981
67,68,"heavy_rail","Tsurumai Line",1977
68,69,"heavy_rail","Tsurumai Line",1977
69,70,"heavy_rail","Tsurumai Line",1977
70,71,"heavy_rail","Tsurumai Line",1977
71,72,"heavy_rail","Tsurumai Line",1977
72,73,"heavy_rail","Tsurumai Line",1977
73,74,"heavy_rail","Tsurumai Line",1977
