"nodeID_from","nodeID_to","mode","line","year"
1,2,"heavy_rail","M1",2012
2,3,"heavy_rail","M1",1993
3,4,"heavy_rail","M1",1993
4,5,"heavy_rail","M1",1993
5,6,"heavy_rail","M1",1993
6,7,"heavy_rail","M1",1993
7,8,"heavy_rail","M1",1993
8,9,"heavy_rail","M1",1995
9,10,"heavy_rail","M1",1995
10,11,"heavy_rail","M1",1995
11,12,"heavy_rail","M1",2001
12,13,"heavy_rail","M1",2001
13,14,"heavy_rail","M1",2001
14,15,"heavy_rail","M1",2001
15,16,"heavy_rail","M1",2002
16,17,"heavy_rail","M1",2013
17,22,"heavy_rail","M1",2011
22,23,"heavy_rail","M1",2015
23,46,"heavy_rail","M1",2019
46,47,"heavy_rail","M1",2024
47,48,"heavy_rail","M1",2024
48,49,"heavy_rail","M1",2024
49,50,"heavy_rail","M1",2024
50,51,"heavy_rail","M1",2024
51,52,"heavy_rail","M1",2024
52,53,"heavy_rail","M1",2024
18,19,"light_rail","M6",2007
19,20,"light_rail","M6",2007
20,21,"light_rail","M6",2023
21,24,"light_rail","M6",2024
24,25,"light_rail","M6",2007
25,26,"light_rail","M6",2007
26,27,"light_rail","M6",2023
34,35,"commuter_rail","Line 2",1925
35,36,"commuter_rail","Line 2",1925
36,37,"commuter_rail","Line 2",1925
37,38,"commuter_rail","Line 2",1925
38,39,"commuter_rail","Line 2",1927
39,40,"commuter_rail","Line 2",1961
40,41,"commuter_rail","Line 2",1925
41,42,"commuter_rail","Line 2",1926
42,43,"commuter_rail","Line 2",1925
43,44,"commuter_rail","Line 2",1925
44,45,"commuter_rail","Line 2",1927
28,29,"heavy_rail","Line 11",2009
29,30,"heavy_rail","Line 11",2005
30,31,"heavy_rail","Line 11",2005
31,32,"heavy_rail","Line 11",2024
32,33,"heavy_rail","Line 11",2009
33,51,"heavy_rail","Line 11",2009
51,52,"heavy_rail","Line 11",2024
52,53,"heavy_rail","Line 11",2024
53,50,"heavy_rail","Line 11",2024
58,60,"commuter_rail","Ferrovia Cumana",1889
60,61,"commuter_rail","Ferrovia Cumana",1889
61,62,"commuter_rail","Ferrovia Cumana",1889
62,63,"commuter_rail","Ferrovia Cumana",1889
63,64,"commuter_rail","Ferrovia Cumana",1889
64,65,"commuter_rail","Ferrovia Cumana",1889
65,66,"commuter_rail","Ferrovia Cumana",1889
66,67,"commuter_rail","Ferrovia Cumana",1889
67,68,"commuter_rail","Ferrovia Cumana",1889
68,69,"commuter_rail","Ferrovia Cumana",1889
69,78,"commuter_rail","Ferrovia Cumana",1889
78,80,"commuter_rail","Ferrovia Cumana",1890
80,81,"commuter_rail","Ferrovia Cumana",1890
81,82,"commuter_rail","Ferrovia Cumana",1890
58,70,"commuter_rail","Ferrovia Circumflegrea",1889
70,71,"commuter_rail","Ferrovia Circumflegrea",1962
71,72,"commuter_rail","Ferrovia Circumflegrea",1962
72,73,"commuter_rail","Ferrovia Circumflegrea",1965
73,74,"commuter_rail","Ferrovia Circumflegrea",1965
74,75,"commuter_rail","Ferrovia Circumflegrea",1965
75,76,"commuter_rail","Ferrovia Circumflegrea",2023
76,77,"commuter_rail","Ferrovia Circumflegrea",NA
77,78,"commuter_rail","Ferrovia Circumflegrea",NA
78,83,"commuter_rail","Ferrovia Circumflegrea",1890
83,84,"commuter_rail","Ferrovia Circumflegrea",1965
84,85,"commuter_rail","Ferrovia Circumflegrea",1965
85,86,"commuter_rail","Ferrovia Circumflegrea",1965
86,87,"commuter_rail","Ferrovia Circumflegrea",1965
87,88,"commuter_rail","Ferrovia Circumflegrea",1982
89,90,"commuter_rail","Ferrovia Circumvesuviana",1891
90,91,"commuter_rail","Ferrovia Circumvesuviana",1925
91,92,"commuter_rail","Ferrovia Circumvesuviana",1925
92,93,"commuter_rail","Ferrovia Circumvesuviana",1891
93,94,"commuter_rail","Ferrovia Circumvesuviana",1891
94,95,"commuter_rail","Ferrovia Circumvesuviana",2002
95,96,"commuter_rail","Ferrovia Circumvesuviana",2003
96,97,"commuter_rail","Ferrovia Circumvesuviana",2003
97,98,"commuter_rail","Ferrovia Circumvesuviana",2001
98,99,"commuter_rail","Ferrovia Circumvesuviana",2001
99,100,"commuter_rail","Ferrovia Circumvesuviana",1992
100,101,"commuter_rail","Ferrovia Circumvesuviana",2001
101,102,"commuter_rail","Ferrovia Circumvesuviana",2001
102,103,"commuter_rail","Ferrovia Circumvesuviana",2001
