"nodeID_from","nodeID_to","mode","line","year"
3,4,"brt","Metrobus Av. del Trabajador",2019
4,5,"brt","Metrobus Av. del Trabajador",2019
5,6,"brt","Metrobus Av. del Trabajador",2019
6,7,"brt","Metrobus Av. del Trabajador",2019
7,8,"brt","Metrobus Av. del Trabajador",2019
8,9,"brt","Metrobus Av. del Trabajador",2019
9,10,"brt","Metrobus Av. del Trabajador",2019
10,11,"brt","Metrobus Av. del Trabajador",2019
11,12,"brt","Metrobus Av. del Trabajador",2019
12,13,"brt","Metrobus Av. del Trabajador",2019
13,14,"brt","Metrobus Av. del Trabajador",2019
14,15,"brt","Metrobus Av. del Trabajador",2019
1,2,"light_rail","Tren del Valle",2015
