"nodeID_from","nodeID_to","mode","line","year"
97,98,"heavy_rail","1",1904
98,99,"heavy_rail","1",1904
99,100,"heavy_rail","1",1904
100,101,"heavy_rail","1",1904
101,102,"heavy_rail","1",1904
102,103,"heavy_rail","1",1904
103,104,"heavy_rail","1",1904
104,152,"heavy_rail","1",1918
152,153,"heavy_rail","1",1918
153,154,"heavy_rail","1",1918
154,155,"heavy_rail","1",1904
155,156,"heavy_rail","1",1904
156,169,"heavy_rail","1",1904
169,915,"heavy_rail","1",1918
915,1025,"heavy_rail","1",1917
1025,1053,"heavy_rail","1",1917
1053,1055,"heavy_rail","1",1918
1055,1057,"heavy_rail","1",1918
1057,1067,"heavy_rail","1",1918
1067,1139,"heavy_rail","1",1918
1139,1144,"heavy_rail","1",1918
1144,919,"heavy_rail","1",1918
919,1233,"heavy_rail","1",1918
1233,1235,"heavy_rail","1",1904
1235,879,"heavy_rail","1",1904
879,1245,"heavy_rail","1",1904
1245,1247,"heavy_rail","1",1904
1247,1271,"heavy_rail","1",1904
1271,1273,"heavy_rail","1",1908
1273,1275,"heavy_rail","1",1908
1275,1278,"heavy_rail","1",1908
1278,1280,"heavy_rail","1",1907
1280,1282,"heavy_rail","1",1906
1282,1284,"heavy_rail","1",1907
1284,1286,"heavy_rail","1",1907
1286,1288,"heavy_rail","1",1906
1288,1290,"heavy_rail","1",1911
1290,1292,"heavy_rail","1",1906
395,396,"heavy_rail","9th Avenue Elevated",1918
396,397,"heavy_rail","9th Avenue Elevated",1879
397,398,"heavy_rail","9th Avenue Elevated",1918
398,399,"heavy_rail","9th Avenue Elevated",1917
399,400,"heavy_rail","9th Avenue Elevated",1879
400,401,"heavy_rail","9th Avenue Elevated",1879
401,402,"heavy_rail","9th Avenue Elevated",1879
402,403,"heavy_rail","9th Avenue Elevated",1879
403,404,"heavy_rail","9th Avenue Elevated",1879
404,405,"heavy_rail","9th Avenue Elevated",1879
405,406,"heavy_rail","9th Avenue Elevated",1903
406,407,"heavy_rail","9th Avenue Elevated",1879
407,408,"heavy_rail","9th Avenue Elevated",1879
408,409,"heavy_rail","9th Avenue Elevated",1879
409,410,"heavy_rail","9th Avenue Elevated",1879
410,411,"heavy_rail","9th Avenue Elevated",1879
411,412,"heavy_rail","9th Avenue Elevated",1879
412,413,"heavy_rail","9th Avenue Elevated",1879
413,414,"heavy_rail","9th Avenue Elevated",1879
414,415,"heavy_rail","9th Avenue Elevated",1876
415,416,"heavy_rail","9th Avenue Elevated",1878
416,417,"heavy_rail","9th Avenue Elevated",1876
417,418,"heavy_rail","9th Avenue Elevated",1875
418,419,"heavy_rail","9th Avenue Elevated",1873
419,420,"heavy_rail","9th Avenue Elevated",1873
420,421,"heavy_rail","9th Avenue Elevated",1868
421,422,"heavy_rail","9th Avenue Elevated",1873
422,423,"heavy_rail","9th Avenue Elevated",1873
423,424,"heavy_rail","9th Avenue Elevated",1868
424,425,"heavy_rail","9th Avenue Elevated",1872
425,426,"heavy_rail","9th Avenue Elevated",1875
426,427,"heavy_rail","9th Avenue Elevated",1873
427,428,"heavy_rail","9th Avenue Elevated",1873
428,429,"heavy_rail","9th Avenue Elevated",1872
429,430,"heavy_rail","9th Avenue Elevated",1873
430,431,"heavy_rail","9th Avenue Elevated",1873
431,432,"heavy_rail","9th Avenue Elevated",1870
432,433,"heavy_rail","9th Avenue Elevated",1870
433,434,"heavy_rail","9th Avenue Elevated",1868
434,435,"heavy_rail","9th Avenue Elevated",1874
435,436,"heavy_rail","9th Avenue Elevated",1874
436,437,"heavy_rail","9th Avenue Elevated",1872
437,438,"heavy_rail","9th Avenue Elevated",1880
438,457,"heavy_rail","9th Avenue Elevated",1877
439,440,"heavy_rail","6th Avenue Elevated",1881
440,441,"heavy_rail","6th Avenue Elevated",1881
441,442,"heavy_rail","6th Avenue Elevated",1881
442,443,"heavy_rail","6th Avenue Elevated",1881
443,444,"heavy_rail","6th Avenue Elevated",1881
444,445,"heavy_rail","6th Avenue Elevated",1881
445,446,"heavy_rail","6th Avenue Elevated",1881
446,447,"heavy_rail","6th Avenue Elevated",1881
447,448,"heavy_rail","6th Avenue Elevated",1881
448,449,"heavy_rail","6th Avenue Elevated",1881
449,450,"heavy_rail","6th Avenue Elevated",1881
450,451,"heavy_rail","6th Avenue Elevated",1881
451,452,"heavy_rail","6th Avenue Elevated",1881
452,453,"heavy_rail","6th Avenue Elevated",1881
453,454,"heavy_rail","6th Avenue Elevated",1881
454,455,"heavy_rail","6th Avenue Elevated",1881
455,456,"heavy_rail","6th Avenue Elevated",1881
438,459,"heavy_rail","3rd Avenue Elevated",1877
459,458,"heavy_rail","3rd Avenue Elevated",1879
458,490,"heavy_rail","3rd Avenue Elevated",1878
490,491,"heavy_rail","3rd Avenue Elevated",1878
491,492,"heavy_rail","3rd Avenue Elevated",1878
492,493,"heavy_rail","3rd Avenue Elevated",1878
493,494,"heavy_rail","3rd Avenue Elevated",1878
494,495,"heavy_rail","3rd Avenue Elevated",1878
495,496,"heavy_rail","3rd Avenue Elevated",1878
496,497,"heavy_rail","3rd Avenue Elevated",1878
497,521,"heavy_rail","3rd Avenue Elevated",1878
521,522,"heavy_rail","3rd Avenue Elevated",1878
522,523,"heavy_rail","3rd Avenue Elevated",1878
523,524,"heavy_rail","3rd Avenue Elevated",1878
524,525,"heavy_rail","3rd Avenue Elevated",1878
525,526,"heavy_rail","3rd Avenue Elevated",1880
526,529,"heavy_rail","3rd Avenue Elevated",1880
529,549,"heavy_rail","3rd Avenue Elevated",1904
549,550,"heavy_rail","3rd Avenue Elevated",1886
550,551,"heavy_rail","3rd Avenue Elevated",1886
551,552,"heavy_rail","3rd Avenue Elevated",1887
552,553,"heavy_rail","3rd Avenue Elevated",1886
553,554,"heavy_rail","3rd Avenue Elevated",1902
554,555,"heavy_rail","3rd Avenue Elevated",1878
555,556,"heavy_rail","3rd Avenue Elevated",1878
556,557,"heavy_rail","3rd Avenue Elevated",1878
557,558,"heavy_rail","3rd Avenue Elevated",1878
558,559,"heavy_rail","3rd Avenue Elevated",1878
559,560,"heavy_rail","3rd Avenue Elevated",1878
560,561,"heavy_rail","3rd Avenue Elevated",1878
561,562,"heavy_rail","3rd Avenue Elevated",1878
562,563,"heavy_rail","3rd Avenue Elevated",1878
563,564,"heavy_rail","3rd Avenue Elevated",1878
564,565,"heavy_rail","3rd Avenue Elevated",1878
565,566,"heavy_rail","3rd Avenue Elevated",1878
566,567,"heavy_rail","3rd Avenue Elevated",1878
567,568,"heavy_rail","3rd Avenue Elevated",1878
568,633,"heavy_rail","3rd Avenue Elevated",1878
633,634,"heavy_rail","3rd Avenue Elevated",1888
634,635,"heavy_rail","3rd Avenue Elevated",1920
635,636,"heavy_rail","3rd Avenue Elevated",1887
636,637,"heavy_rail","3rd Avenue Elevated",1887
637,638,"heavy_rail","3rd Avenue Elevated",1887
638,545,"heavy_rail","3rd Avenue Elevated",1888
545,544,"heavy_rail","3rd Avenue Elevated",1904
544,543,"heavy_rail","3rd Avenue Elevated",1910
543,542,"heavy_rail","3rd Avenue Elevated",1904
NA,548,"heavy_rail","3rd Avenue Elevated",NA
569,570,"commuter_rail","Mainline",1912
570,571,"commuter_rail","Mainline",1912
571,572,"commuter_rail","Mainline",1912
572,573,"commuter_rail","Mainline",1912
573,574,"commuter_rail","Mainline",1912
574,575,"commuter_rail","Mainline",1912
575,576,"commuter_rail","Mainline",1912
576,577,"commuter_rail","Mainline",1912
577,578,"commuter_rail","Mainline",1912
578,579,"commuter_rail","Mainline",1912
579,580,"commuter_rail","Mainline",1912
580,581,"commuter_rail","Mainline",1912
581,582,"commuter_rail","Mainline",1912
582,583,"commuter_rail","Mainline",1912
583,585,"commuter_rail","Mainline",1912
585,586,"commuter_rail","Mainline",1912
586,587,"commuter_rail","Mainline",1912
587,588,"commuter_rail","Mainline",1912
588,589,"commuter_rail","Mainline",1929
589,590,"commuter_rail","Mainline",1914
590,591,"commuter_rail","Mainline",1912
591,628,"commuter_rail","Mainline",1912
569,570,"commuter_rail","Port Chester",1912
570,571,"commuter_rail","Port Chester",1912
571,572,"commuter_rail","Port Chester",1912
572,573,"commuter_rail","Port Chester",1912
573,574,"commuter_rail","Port Chester",1912
574,575,"commuter_rail","Port Chester",1912
575,576,"commuter_rail","Port Chester",1912
576,577,"commuter_rail","Port Chester",1912
577,578,"commuter_rail","Port Chester",1912
578,579,"commuter_rail","Port Chester",1912
579,580,"commuter_rail","Port Chester",1912
580,581,"commuter_rail","Port Chester",1912
581,582,"commuter_rail","Port Chester",1912
582,583,"commuter_rail","Port Chester",1912
583,608,"commuter_rail","Port Chester",1912
608,609,"commuter_rail","Port Chester",1912
609,610,"commuter_rail","Port Chester",1912
610,611,"commuter_rail","Port Chester",1912
611,612,"commuter_rail","Port Chester",1921
612,614,"commuter_rail","Port Chester",1921
614,615,"commuter_rail","Port Chester",1926
615,628,"commuter_rail","Port Chester",1927
618,619,"commuter_rail","Harlem River",1872
619,620,"commuter_rail","Harlem River",1872
620,621,"commuter_rail","Harlem River",1872
621,622,"commuter_rail","Harlem River",1872
622,623,"commuter_rail","Harlem River",1872
623,624,"commuter_rail","Harlem River",1872
624,625,"commuter_rail","Harlem River",1872
625,626,"commuter_rail","Harlem River",1872
626,627,"commuter_rail","Harlem River",1872
458,459,"heavy_rail","2nd Avenue Elevated",1878
459,460,"heavy_rail","2nd Avenue Elevated",1879
460,461,"heavy_rail","2nd Avenue Elevated",1880
461,462,"heavy_rail","2nd Avenue Elevated",1880
462,463,"heavy_rail","2nd Avenue Elevated",1880
463,464,"heavy_rail","2nd Avenue Elevated",1880
464,465,"heavy_rail","2nd Avenue Elevated",1880
465,466,"heavy_rail","2nd Avenue Elevated",1880
466,467,"heavy_rail","2nd Avenue Elevated",1880
467,468,"heavy_rail","2nd Avenue Elevated",1880
468,469,"heavy_rail","2nd Avenue Elevated",1880
469,470,"heavy_rail","2nd Avenue Elevated",1880
470,471,"heavy_rail","2nd Avenue Elevated",1880
471,472,"heavy_rail","2nd Avenue Elevated",1880
472,473,"heavy_rail","2nd Avenue Elevated",1880
473,474,"heavy_rail","2nd Avenue Elevated",1880
474,475,"heavy_rail","2nd Avenue Elevated",1880
475,476,"heavy_rail","2nd Avenue Elevated",1880
476,477,"heavy_rail","2nd Avenue Elevated",1880
477,478,"heavy_rail","2nd Avenue Elevated",1880
478,479,"heavy_rail","2nd Avenue Elevated",1885
479,480,"heavy_rail","2nd Avenue Elevated",1880
480,481,"heavy_rail","2nd Avenue Elevated",1880
481,482,"heavy_rail","2nd Avenue Elevated",1880
482,513,"heavy_rail","2nd Avenue Elevated",1885
909,910,"heavy_rail","W (2001-2010)",1919
910,911,"heavy_rail","W (2001-2010)",1919
911,912,"heavy_rail","W (2001-2010)",1919
912,913,"heavy_rail","W (2001-2010)",1919
913,818,"heavy_rail","W (2001-2010)",1917
818,819,"heavy_rail","W (2001-2010)",1916
819,820,"heavy_rail","W (2001-2010)",1916
820,821,"heavy_rail","W (2001-2010)",1916
821,822,"heavy_rail","W (2001-2010)",1916
NA,960,"heavy_rail","W (2001-2010)",NA
960,961,"heavy_rail","W (2001-2010)",1918
961,963,"heavy_rail","W (2001-2010)",1917
963,962,"heavy_rail","W (2001-2010)",1917
962,970,"heavy_rail","W (2001-2010)",1917
970,972,"heavy_rail","W (2001-2010)",1918
972,971,"heavy_rail","W (2001-2010)",1918
971,975,"heavy_rail","W (2001-2010)",1918
975,1017,"heavy_rail","W (2001-2010)",1918
1017,1019,"heavy_rail","W (2001-2010)",1917
1019,1018,"heavy_rail","W (2001-2010)",1917
1018,1022,"heavy_rail","W (2001-2010)",1917
1022,1020,"heavy_rail","W (2001-2010)",1917
1020,1021,"heavy_rail","W (2001-2010)",1917
1021,959,"heavy_rail","W (2001-2010)",1917
959,958,"heavy_rail","W (2001-2010)",1918
958,966,"heavy_rail","W (2001-2010)",1918
966,112,"heavy_rail","W (2001-2010)",1918
112,90,"heavy_rail","W (2001-2010)",1920
90,89,"heavy_rail","W (2001-2010)",1924
89,88,"heavy_rail","W (2001-2010)",1915
88,85,"heavy_rail","W (2001-2010)",1915
85,86,"heavy_rail","W (2001-2010)",1915
86,87,"heavy_rail","W (2001-2010)",1915
NA,813,"heavy_rail","W (2001-2010)",NA
813,823,"heavy_rail","W (2001-2010)",1915
823,815,"heavy_rail","W (2001-2010)",1916
815,816,"heavy_rail","W (2001-2010)",1916
816,817,"heavy_rail","W (2001-2010)",1916
817,814,"heavy_rail","W (2001-2010)",1916
814,513,"heavy_rail","W (2001-2010)",1916
503,504,"heavy_rail","7",1928
504,505,"heavy_rail","7",1928
505,506,"heavy_rail","7",1925
506,507,"heavy_rail","7",1917
507,508,"heavy_rail","7",1917
508,509,"heavy_rail","7",1917
509,510,"heavy_rail","7",1917
510,511,"heavy_rail","7",1917
511,512,"heavy_rail","7",1917
512,513,"heavy_rail","7",1917
513,514,"heavy_rail","7",1916
514,515,"heavy_rail","7",1916
515,516,"heavy_rail","7",1916
516,517,"heavy_rail","7",1915
517,518,"heavy_rail","7",1926
518,531,"heavy_rail","7",1915
NA,3,"heavy_rail","7",NA
