"nodeID_from","nodeID_to","mode","line","year"
1,2,"light_rail","T1",2007
2,3,"light_rail","T1",2007
3,4,"light_rail","T1",2007
4,5,"light_rail","T1",2007
5,6,"light_rail","T1",2007
6,7,"light_rail","T1",2007
7,8,"light_rail","T1",2007
8,9,"light_rail","T1",2007
9,10,"light_rail","T1",2007
10,11,"light_rail","T1",2007
11,12,"light_rail","T1",2007
12,13,"light_rail","T1",2007
13,14,"light_rail","T1",2007
14,15,"light_rail","T1",2007
15,16,"light_rail","T1",2007
16,17,"light_rail","T1",2007
17,18,"light_rail","T1",2007
18,19,"light_rail","T1",2007
19,20,"light_rail","T1",2007
20,21,"light_rail","T1",2007
21,22,"light_rail","T1",2007
22,23,"light_rail","T1",2007
23,24,"light_rail","T1",2007
24,25,"light_rail","T1",2007
25,26,"light_rail","T1",2007
26,27,"light_rail","T1",2007
27,28,"light_rail","T1",2007
28,29,"light_rail","T1",2007
29,30,"light_rail","T1",2007
30,31,"light_rail","T1",2013
31,32,"light_rail","T1",2013
32,33,"light_rail","T1",2007
33,34,"light_rail","T1",2007
