"nodeID_from","nodeID_to","mode","line","year"
1,3,"tram","Downtown Loop",2018
3,5,"tram","Downtown Loop",2018
5,7,"tram","Downtown Loop",2018
7,9,"tram","Downtown Loop",2018
9,11,"tram","Downtown Loop",2018
11,13,"tram","Downtown Loop",2018
13,15,"tram","Downtown Loop",2018
15,17,"tram","Downtown Loop",2018
17,19,"tram","Downtown Loop",2018
19,20,"tram","Downtown Loop",2018
20,21,"tram","Downtown Loop",2018
21,22,"tram","Downtown Loop",2018
1,3,"tram","Bricktown Loop",2018
3,5,"tram","Bricktown Loop",2018
5,7,"tram","Bricktown Loop",2018
7,9,"tram","Bricktown Loop",2018
9,11,"tram","Bricktown Loop",2018
11,13,"tram","Bricktown Loop",2018
13,15,"tram","Bricktown Loop",2018
15,17,"tram","Bricktown Loop",2018
